name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Adenocalymma apparicioanum,Bignoniaceae,Adenocalymma,apparicioanum,J.C.Gomes,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 9: [223], fig. 1950 , as 'apparicianum'",Arch. Jard. Bot. Rio de Janeiro,1950,"9: [223], fig",848-2,FALSE,NA,NA,NA,NA,"Ceará (Brazil, Southern America)",NA,4265-2,TRUE,NA,NA,NA,as 'apparicianum',www.ipni.org/n/4265-2,IPNI,NA,NA,NA,NA,
Adenocalymma asperulum,Bignoniaceae,Adenocalymma,asperulum,Bureau & K.Schum.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 8(2): 113. 1896 [15 May 1896] ,Fl. Bras. (Martius),1896,8(2): 113,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,4268-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146034&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,15 May 1896,NA,NA,www.ipni.org/n/4268-2,IPNI,NA,NA,NA,NA,
Adenocalymma cearense,Bignoniaceae,Adenocalymma,cearense,Kraenzl.,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 17: 62. 1921 ,Repert. Spec. Nov. Regni Veg.,1921,17: 62,788-2,FALSE,NA,NA,NA,NA,"Ceará (Brazil, Southern America)",NA,4274-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181244&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/4274-2,IPNI,NA,NA,NA,NA,
Adenocalymma croceum,Bignoniaceae,Adenocalymma,croceum,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 419. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 419",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,4281-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/4281-2,IPNI,NA,NA,NA,NA,
Adenocalymma fruticosum,Bignoniaceae,Adenocalymma,fruticosum,A.H.Gentry,tax_nov,spec.,FALSE,Novon 3: 137. 1993 ,Novon,1993,3: 137,14256-2,FALSE,holotype CEPEC;isotype K;isotype MO,R.M.Harley et al.,29043,NA,"Bahia (Brazil, Southern America)",NA,303765-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/639045&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/303765-2,IPNI,NA,NA,NA,NA,
Adenocalymma gracile,Bignoniaceae,Adenocalymma,gracile,Bureau,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 523. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 523,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,4293-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/4293-2,IPNI,NA,NA,NA,NA,
Adenocalymma guillemini,Bignoniaceae,Adenocalymma,guillemini,DC.,tax_nov,spec.,FALSE,Prodr. [A. P. de Candolle] 9: 202. 1845 [1 Jan 1845] ,Prodr. [A. P. de Candolle],1845,9: 202,1051-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,4297-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/162569&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jan 1845,NA,NA,www.ipni.org/n/4297-2,IPNI,NA,NA,NA,NA,
Adenocalymma heterophyllum,Bignoniaceae,Adenocalymma,heterophyllum,Kraenzl.,tax_nov,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 372. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 372,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,4299-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=372&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/4299-2,IPNI,NA,NA,NA,NA,
Adenocalymma laevigatum,Bignoniaceae,Adenocalymma,laevigatum,Bureau & K.Schum.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 8(2): 113. 1896 [15 May 1896] ,Fl. Bras. (Martius),1896,8(2): 113,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,4309-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146034&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,15 May 1896,NA,NA,www.ipni.org/n/4309-2,IPNI,NA,NA,NA,NA,
Adenocalymma magnoalatum,Bignoniaceae,Adenocalymma,magnoalatum,Scud.,tax_nov,spec.,FALSE,Novon 10(3): 234 (-237; fig. 1)). 2000 [12 Sep 2000] ,Novon,2000,10(3): 234 (-237; fig. 1)),14256-2,FALSE,holotype VIC;isotype MO,V.V.Scudeller,579,NA,"Marliéria: Parque Estadual do Rio Doce (PERD), estrada do Restaurante, Minas Gerais (Brazil, Southern America)",NA,320444-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641558&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,12 Sep 2000,[Gandhi 27 Oct 2000],NA,www.ipni.org/n/320444-2,IPNI,NA,NA,NA,NA,
