name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Aechmea emmerichii,Bromeliaceae,Aechmea,emmerichii,Leme,tax_nov,spec.,FALSE,"Bradea 4(39): 309 (-310), fig. 1987 ",Bradea,1987,"4(39): 309 (-310), fig",1276-2,FALSE,holotype HB,A.Seidel,1048,NA,Brazil (Southern America),NA,271686-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/271686-2,IPNI,NA,NA,NA,NA,
Aechmea limae,Bromeliaceae,Aechmea,limae,Leme,tax_nov,spec.,FALSE,"Phytotaxa 16: 9(-10; fig. 2C-E, 3N-Q). 2011 [4 Feb 2011] ",Phytotaxa,2011,"16: 9(-10; fig. 2C-E, 3N-Q)",20011462-1,FALSE,holotype RB,Leme,6307,Mar 2010,"Bahia (Brazil Northeast, Brazil, Southern America)","Ituberá, Fazenda Michelin, Sapucaia, Mata do Pacangê",77110391-1,TRUE,NA,4 Feb 2011,"Ending of the specific epitet limai was corrected to limae in according with Art. 60.11 Note 4, Ex. 29 and Rec. 60.C.1a of the ICBN (2006)",NA,www.ipni.org/n/77110391-1,IPNI,NA,NA,NA,NA,
Alcantarea roberto-kautskyi,Bromeliaceae,Alcantarea,roberto-kautskyi,Leme,tax_nov,spec.,FALSE,"Harvard Pap. Bot. 4(1): 148 (-150, fig. 10). 1999 [8 Sep 1999] ",Harvard Pap. Bot.,1999,"4(1): 148 (-150, fig. 10)",10651-2,FALSE,holotype HB,R.A.Kautsky,1053,NA,"Baixo Gandu, Espirito Santo (Brazil, Southern America)",NA,318704-2,TRUE,NA,8 Sep 1999,"[Gandhi 27 Sep 1999] The type collection, originally collected by W. Zaslawski & E. Colnago, flowered in cultivation.",NA,www.ipni.org/n/318704-2,IPNI,NA,NA,NA,NA,
Ananas genesio-linesii,Bromeliaceae,Ananas,genesio-linesii,Reitz,tax_nov,spec.,FALSE,"Bull. Bromeliad Soc. 18: 109, figs. 1968 ",Bull. Bromeliad Soc.,1968,"18: 109, figs",5109-2,FALSE,NA,NA,NA,NA,"Distrito Federal (Brazil, Southern America)",NA,12332-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/12332-2,IPNI,NA,NA,NA,NA,
Anoplophytum binoti,Bromeliaceae,Anoplophytum,binoti,É.Morren ex Baker,tax_nov,spec.,FALSE,Handb. Bromel. 200. 1889 [Aug-Oct 1889] In synon,Handb. Bromel.,1889,200,3845-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,14501-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=200&rft_id=http://www.biodiversitylibrary.org/bibliography/51681&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Aug-Oct 1889,NA,In synon,www.ipni.org/n/14501-2,IPNI,NA,NA,NA,NA,
Bakeria tillandsioides,Bromeliaceae,Bakeria,tillandsioides,André,tax_nov,spec.,FALSE,"Rev. Hort. [Paris]. 61: 84, tab. 1889 ",Rev. Hort. [Paris].,1889,"61: 84, tab",1212-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,28762-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=84&rft.volume=61&rft_id=http://www.biodiversitylibrary.org/bibliography/109772&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/28762-2,IPNI,NA,NA,NA,NA,
Billbergia celeriana,Bromeliaceae,Billbergia,celeriana,Baker,tax_nov,spec.,FALSE,Handb. Bromel. 41. 1889 [Aug-Oct 1889] ,Handb. Bromel.,1889,41,3845-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,33114-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=41&rft_id=http://www.biodiversitylibrary.org/bibliography/51681&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Aug-Oct 1889,NA,NA,www.ipni.org/n/33114-2,IPNI,NA,NA,NA,NA,
Billbergia × claudioi,Bromeliaceae,Billbergia,claudioi,Leme,tax_nov,spec.,TRUE,Bradea 4(39): 314 (1987). ,Bradea,1987,4(39): 314 (1987),1276-2,FALSE,NA,NA,NA,NA,Brazil.,NA,933616-1,TRUE,NA,1987,NA,NA,www.ipni.org/n/933616-1,IPNI,NA,NA,NA,NA,
Billbergia richteriana,Bromeliaceae,Billbergia,richteriana,E.Pereira,tax_nov,spec.,FALSE,"Bradea 1(29): 315, fig. 1973 ",Bradea,1973,"1(29): 315, fig",1276-2,FALSE,holotype HB,Rudolph Richter (Germany),s/n,NA,"Amazonas (Brazil, Southern America)",NA,33185-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/33185-2,IPNI,NA,NA,NA,NA,
Billbergia rubicunda,Bromeliaceae,Billbergia,rubicunda,Mez,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 14: 244. 1916 ,Repert. Spec. Nov. Regni Veg.,1916,14: 244,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,33188-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/243871&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/33188-2,IPNI,NA,NA,NA,NA,
