name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Acanthocereus albicaulis,Cactaceae,Acanthocereus,albicaulis,Britton & Rose,tax_nov,spec.,FALSE,"Cactaceae (Britton & Rose) 2: 125, fig. 187. 1920 ",Cactaceae (Britton & Rose),1920,"2: 125, fig. 187",9105-2,FALSE,lectotype US,Rose; Russell,19808,1915,Brazil (Southern America),"Bahia, Barrinha",1633-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/32089033&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1633-2,IPNI,NA,NA,NA,NA,
Acanthocereus brasiliensis,Cactaceae,Acanthocereus,brasiliensis,Britton & Rose,tax_nov,spec.,FALSE,"Cactaceae (Britton & Rose) 2: 125, fig. 1920 ",Cactaceae (Britton & Rose),1920,"2: 125, fig",9105-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1634-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/32089033&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1634-2,IPNI,NA,NA,NA,NA,
Arrojadoa beateae,Cactaceae,Arrojadoa,beateae,P.J.Braun & Esteves,tax_nov,spec.,FALSE,"Kakteen And. Sukk. 40: 254, figs. 1989 ",Kakteen And. Sukk.,1989,"40: 254, figs",3349-2,FALSE,holotype UFG,E.Esteves Pereira,261,NA,Brazil (Southern America),NA,272680-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/272680-2,IPNI,NA,NA,NA,NA,
Arrojadoa canudosensis,Cactaceae,Arrojadoa,canudosensis,Buining & Brederoo,tax_nov,spec.,FALSE,"Cact. Succ. J. (Los Angeles) 44: 111, figs. 1-4. 1972 ",Cact. Succ. J. (Los Angeles),1972,"44: 111, figs. 1-4",1964-2,FALSE,holotype U,NA,NA,NA,"Bahia (Brazil, Southern America)",NA,20428-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/20428-2,IPNI,NA,NA,NA,NA,
Arrojadoa flava,Cactaceae,Arrojadoa,flava,Gonzaga & Engels,tax_nov,spec.,FALSE,Phytotaxa 597(1): 74. 2023 [10 May 2023] [epublished],Phytotaxa,2023,597(1): 74,20011462-1,FALSE,holotype RB 840645;isotype UPCB,Engels &amp; Liebsch.,9.900,7 Sep 2022,"Bahia (Brazil Northeast, Brazil, Southern America)","Ibitiara, Cadeia do Espinhaço, Chapada Diamantina",77319044-1,TRUE,NA,10 May 2023,doi:10.11646/phytotaxa.597.1.8 Etymology: the specific epithet refers to the yellow colour of the flowers.,[epublished],www.ipni.org/n/77319044-1,IPNI,NA,NA,NA,NA,
Arrojadoa heimenii,Cactaceae,Arrojadoa,heimenii,Van Heek & W.Strecker,tax_nov,spec.,FALSE,Kakteen And. Sukk. 50(6): 137 (1999). ,Kakteen And. Sukk.,1999,50(6): 137 (1999),3349-2,FALSE,holotype UFG,P. Braun,20528,NA,Brazil Southeast (Minas Gerais).,Engenheiro Dolabela,1008895-1,TRUE,NA,1999,NA,NA,www.ipni.org/n/1008895-1,IPNI,NA,NA,NA,NA,
Arrojadoa horstiana,Cactaceae,Arrojadoa,horstiana,P.J.Braun & Heimen,tax_nov,spec.,FALSE,"Kakteen And. Sukk. 32: 189, figs. 1981 ",Kakteen And. Sukk.,1981,"32: 189, figs",3349-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,20432-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/20432-2,IPNI,NA,NA,NA,NA,
Arrojadoa santosii,Cactaceae,Arrojadoa,santosii,R.M.King & H.Rob.,tax_nov,spec.,FALSE,"Phytologia 44: 464, fig. 1979 ",Phytologia,1979,"44: 464, fig",1034-2,FALSE,holotype RB,"R.M.King, T.S.dos Santos, S.A.Mori, J.L.Hage",8143,NA,"Bahia (Brazil, Southern America)",NA,20440-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1979&rft.spage=464&rft.volume=44&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/20440-2,IPNI,NA,NA,NA,NA,
Arthrocereus itabiriticola,Cactaceae,Arthrocereus,itabiriticola,P.J.Braun,tax_nov,spec.,FALSE,"Kakteen And. Sukk. 37(11): 237, figs. 1986 ",Kakteen And. Sukk.,1986,"37(11): 237, figs",3349-2,FALSE,holotype ZSS,"L.Horst, W.Uebelmann",330,NA,Brazil (Southern America),NA,272712-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/272712-2,IPNI,NA,NA,NA,NA,
Arthrocereus odorus,Cactaceae,Arthrocereus,odorus,F.Ritter,tax_nov,spec.,FALSE,"Kakteen Südamerika 1: 225, fig. 1979 ",Kakteen Südamerika,1979,"1: 225, fig",11126-2,FALSE,holotype U,F.Ritter,1354,NA,Brazil (Southern America),NA,20864-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/20864-2,IPNI,NA,NA,NA,NA,
