name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Capparis nectaria,Capparaceae,Capparis,nectaria,Vell.,tax_nov,spec.,FALSE,Fl. Flumin. 230. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,Fl. Flumin.,1829,230,932-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,44722-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=230&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1825 publ. 7 Sep-28 Nov 1829,NA,NA,www.ipni.org/n/44722-2,IPNI,NA,NA,NA,NA,
Capparis urens,Capparaceae,Capparis,urens,Barb.Rodr.,tax_nov,spec.,FALSE,"Vellosia 1: 2, pl. 2. 1888 ",Vellosia,1888,"1: 2, pl. 2",3884-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,44777-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=2&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/44777-2,IPNI,NA,NA,NA,NA,
Cleome moricandii,Capparaceae,Cleome,moricandii,Briq.,tax_nov,spec.,FALSE,Annuaire Conserv. Jard. Bot. Genève 17: 376. 1914 ,Annuaire Conserv. Jard. Bot. Genève,1914,17: 376,1145-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,60551-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=376&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/60551-2,IPNI,NA,NA,NA,NA,
Cleome psoraleifolia,Capparaceae,Cleome,psoraleifolia,DC.,tax_nov,spec.,FALSE,Prodr. [A. P. de Candolle] 1: 239. 1824 [mid-Jan 1824] (as psoraleaefolia),Prodr. [A. P. de Candolle],1824,1: 239,1051-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,30228993-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/154195&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,mid-Jan 1824,NA,(as psoraleaefolia),www.ipni.org/n/30228993-2,IPNI,NA,NA,NA,NA,
Crateva bahiana,Capparaceae,Crateva,bahiana,Ule,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 42(2-3): 202. 1908 [29 Dec 1908] ,Bot. Jahrb. Syst.,1908,42(2-3): 202,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,69197-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=202&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,29 Dec 1908,NA,NA,www.ipni.org/n/69197-2,IPNI,NA,NA,NA,NA,
Crateva coriacea,Capparaceae,Crateva,coriacea,Herzog,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 7: 52. 1909 ,Repert. Spec. Nov. Regni Veg.,1909,7: 52,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,69199-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/265260&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/69199-2,IPNI,NA,NA,NA,NA,
Cynophalla grandiflora,Capparaceae,Cynophalla,grandiflora,Luber,tax_nov,spec.,FALSE,Rodriguésia 73(e00342021): 9. 2022 [epublished],Rodriguésia,2022,73(e00342021): 9,1167-2,FALSE,holotype CVRD CVRD15806;isotype RB RB767636,D.A.Folli,7593,20 Nov 2017,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Linhares, Flona de Goytacazes, 21 m",77319980-1,TRUE,NA,NA,doi:10.1590/2175-7860202273015,[epublished],www.ipni.org/n/77319980-1,IPNI,NA,NA,NA,NA,
Mesocapparis minutiflora,Capparaceae,Mesocapparis,minutiflora,Luber,tax_nov,spec.,FALSE,Phytotaxa 638(2): 205. 2024 [29 Feb 2024] [epublished],Phytotaxa,2024,638(2): 205,20011462-1,FALSE,holotype RB;isotype HUEFS,"P.H.Labiack, R.C.Forzza, A.M.A.Amorim &amp; C.Pessoa",5832,4 Mar 2015,"Tocantins (Brazil North, Brazil, Southern America);Piauí (Brazil Northeast, Brazil, Southern America);","Tocantins: Mun. Mateiros, Dunas próximas à Serra do Espírito Santo, Parque Estadual do Jalapão",77337438-1,FALSE,NA,29 Feb 2024,doi:10.11646/phytotaxa.638.2.8,[epublished],www.ipni.org/n/77337438-1,IPNI,NA,NA,NA,NA,
Neocalyptrocalyx atlanticus,Capparaceae,Neocalyptrocalyx,atlanticus,Luber & Cornejo,tax_nov,spec.,FALSE,"Syst. Bot. 46(3): 853. 2021 [25 Oct 2021] , as 'atlanticum' [epublished]",Syst. Bot.,2021,46(3): 853,1295-2,FALSE,holotype RB;isotype NY;isotype CAP;isotype SPF;isotype K,J.Luber &amp; L.Daneu,486,18 Nov 2019,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);",Bahia: Mun. Itororó. Fragmento de floresta atrás do curral de leite na Fazenda do Felipe Palmeira. Lado esqueda da estrada saindo de Itororó,77254994-1,TRUE,NA,25 Oct 2021,doi:10.1600/036364421X16312067913598,as 'atlanticum' [epublished],www.ipni.org/n/77254994-1,IPNI,NA,NA,NA,NA,
Neocalyptrocalyx polycataphyllus,Capparaceae,Neocalyptrocalyx,polycataphyllus,Luber & Cornejo,tax_nov,spec.,FALSE,Syst. Bot. 46(3): 859. 2021 [25 Oct 2021] [epublished],Syst. Bot.,2021,46(3): 859,1295-2,FALSE,holotype INPA;isotype NY,B.W.Nelson &amp; R.P.Lima,1437,24 Aug 1985,"Amazonas (Brazil North, Brazil, Southern America)","Mun. Manaus, estrada Manaus-Caracarai 15 km N da Manaus-Itacoatiara. Capoeira arenosa na beira da estrada",77254995-1,TRUE,NA,25 Oct 2021,doi:10.1600/036364421X16312067913598,[epublished],www.ipni.org/n/77254995-1,IPNI,NA,NA,NA,NA,
