name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Buchenavia × acuminata,Combretaceae,Buchenavia,acuminata,Exell & Stace,tax_nov,spec.,TRUE,"Bull. Brit. Mus. (Nat. Hist.), Bot. 3(1): 29. 1963 ","Bull. Brit. Mus. (Nat. Hist.), Bot.",1963,3(1): 29,1955-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,37618-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1963&rft.issue=1&rft.spage=29&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/2198&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/37618-2,IPNI,NA,NA,NA,NA,
Buchenavia fluminensis,Combretaceae,Buchenavia,fluminensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,37624-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/37624-2,IPNI,NA,NA,NA,NA,
Combretum glaziovianum,Combretaceae,Combretum,glaziovianum,Taub.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 54(Mém. 3c): 204. 1908 ,Bull. Soc. Bot. France,1908,54(Mém. 3c): 204,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,63791-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/63791-2,IPNI,NA,NA,NA,NA,
Grislea bibrachiata,Combretaceae,Grislea,bibrachiata,Hoehne,tax_nov,spec.,FALSE,"Bol. Agric. (Sao Paulo) 625, pl. 13. 1933 ",Bol. Agric. (Sao Paulo),1933,"625, pl. 13",9000-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,113668-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/113668-2,IPNI,NA,NA,NA,NA,
Ramatuela crispialata,Combretaceae,Ramatuela,crispialata,Ducke,tax_nov,spec.,FALSE,Arq. Inst. Biol. Veg. 2(1): 65. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,2(1): 65,851-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,284122-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=65&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Sep 1935,NA,NA,www.ipni.org/n/284122-2,IPNI,NA,NA,NA,NA,
Ramatuela maguirei,Combretaceae,Ramatuela,maguirei,Exell & Stace,tax_nov,spec.,FALSE,"Bull. Brit. Mus. (Nat. Hist.), Bot. 3(1): 41, fig. 4a, b, 5a, b. 1963 ","Bull. Brit. Mus. (Nat. Hist.), Bot.",1963,"3(1): 41, fig. 4a, b, 5a, b",1955-2,FALSE,NA,NA,NA,NA,Venezuela &amp; Brazil,NA,216915-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1963&rft.issue=1&rft.spage=41&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/2198&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/216915-2,IPNI,NA,NA,NA,NA,
Terminalia debilis,Combretaceae,Terminalia,debilis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,250548-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/250548-2,IPNI,NA,NA,NA,NA,
Terminalia excelsa,Combretaceae,Terminalia,excelsa,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,250552-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/250552-2,IPNI,NA,NA,NA,NA,
Terminalia festinata,Combretaceae,Terminalia,festinata,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 352. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 352",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,250556-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/250556-2,IPNI,NA,NA,NA,NA,
Terminalia rotundifolia,Combretaceae,Terminalia,rotundifolia,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 54(Mém. 3c): 203. 1908 ,Bull. Soc. Bot. France,1908,54(Mém. 3c): 203,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,250583-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/250583-2,IPNI,NA,NA,NA,NA,
Terminalia nitidissima,Combretaceae,Terminalia,nitidissima,Rich.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:285914-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:285914-2,
Combretum barbatum,Combretaceae,Combretum,barbatum,G.Don,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:169938-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:169938-1,
