name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Aneilema semifoliatum,Commelinaceae,Aneilema,semifoliatum,C.B.Clarke,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 498. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 498",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,13219-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/13219-2,IPNI,NA,NA,NA,NA,
Athyrocarpus pseudomonosperma,Commelinaceae,Athyrocarpus,pseudomonosperma,Kuntze,tax_nov,spec.,FALSE,Revis. Gen. Pl. 3[3]: 319. 1898 [28 Sep 1898] ,Revis. Gen. Pl.,1898,3[3]: 319,1063-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,26167-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3537&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,28 Sep 1898,NA,NA,www.ipni.org/n/26167-2,IPNI,NA,NA,NA,NA,
Callisia hexandra,Commelinaceae,Callisia,hexandra,DC. ex Hassk.,tax_nov,spec.,FALSE,Commelin. Ind. 40. 1870 [Apr 1870] ,Commelin. Ind.,1870,40,19834-2,FALSE,NA,NA,NA,NA,"Brazil (Southern America);Bolivia (Western South America, Southern America);",NA,30216735-2,TRUE,NA,Apr 1870,NA,NA,www.ipni.org/n/30216735-2,IPNI,NA,NA,NA,NA,
Chamaeanthus wittianus,Commelinaceae,Chamaeanthus,wittianus,Ule,tax_nov,spec.,FALSE,Verh. Bot. Vereins Prov. Brandenburg 50: 71 (-72). 1908 [10 Jun 1908] ,Verh. Bot. Vereins Prov. Brandenburg,1908,50: 71 (-72),823-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,54303-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=71&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,10 Jun 1908,NA,NA,www.ipni.org/n/54303-2,IPNI,NA,NA,NA,NA,
Commelina vilavelhensis,Commelinaceae,Commelina,vilavelhensis,"Corrêa da Maia, Cervi & Tardivo",tax_nov,spec.,FALSE,Fontqueria 56(31): 294. 2012 [26 Nov 2012] ,Fontqueria,2012,56(31): 294,2210-2,FALSE,holotype UPCB;isotype MBM;isotype HUPG,D.Corrêa da Maia,41,26 Nov 2005,"Paraná (Brazil South, Brazil, Southern America)","Municipio de Ponta Grossa, Parque Estadual de Vila Velha",77123767-1,TRUE,NA,26 Nov 2012,NA,NA,www.ipni.org/n/77123767-1,IPNI,NA,NA,NA,NA,
Dichorisandra flesheri,Commelinaceae,Dichorisandra,flesheri,Aona,tax_nov,spec.,FALSE,Phytotaxa 647(2): 200. 2024 [9 May 2024] [epublished],Phytotaxa,2024,647(2): 200,20011462-1,FALSE,holotype HURB,"E.H.Souza, P.L.Ribeiro, R.R.N.França, S.S. Mota, G.M.D.Ferreira, A.Caetité, G.Q.Nascimento",2500,25 Nov 2022,"Bahia (Brazil Northeast, Brazil, Southern America)","Igrapiúna, Reserva Ecológica Michelin, Mata da Vila 5, 132 m",77341608-1,FALSE,NA,9 May 2024,"doi:10.11646/phytotaxa.647.2.6 Etymology: name honours the ecologist Dr. Kevin Michael Flesher, Director of the Reserva Ecológica Michelin (REM), responsible for the conservation, and research management of the area where this new species was discovered.",[epublished],www.ipni.org/n/77341608-1,IPNI,NA,NA,NA,NA,
Dichorisandra macrophylla,Commelinaceae,Dichorisandra,macrophylla,Gleason,tax_nov,spec.,FALSE,Amer. J. Bot. 19: 740. 1932 ,Amer. J. Bot.,1932,19: 740,835-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,79511-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/79511-2,IPNI,NA,NA,NA,NA,
Tradescantia insularis,Commelinaceae,Tradescantia,insularis,Hassemer & Funez,tax_nov,spec.,FALSE,Phytotaxa 458(2): 141. 2020 [1 Sep 2020] [epublished],Phytotaxa,2020,458(2): 141,20011462-1,FALSE,holotype FURB;isotype HTL,L.A. Funez,9180,25 Oct 2019,"Santa Catarina (Brazil South, Brazil, Southern America)",Florianópolis: Parque Municipal da Lagoa do Peri,77211542-1,TRUE,NA,1 Sep 2020,"doi:10.11646/phytotaxa.458.2.2 The specific epithet refers to Santa Catarina Island, on which the only known population is located.",[epublished],www.ipni.org/n/77211542-1,IPNI,NA,NA,NA,NA,
Tradescantia multibracteata,Commelinaceae,Tradescantia,multibracteata,"M.D.Ferrarese, Büneker & Canto-Dorow",tax_nov,spec.,FALSE,Phytotaxa 308(1): 90. 2017 [2 Jun 2017] [epublished],Phytotaxa,2017,308(1): 90,20011462-1,FALSE,holotype HDCF;isotype SMDB!,"H.M.Büneker, R.C.Pontes &amp; L.Witeck",355,26 Sep 2014,"Rio Grande do Sul (Brazil South, Brazil, Southern America)","Júlio de Castilhos, saxícola, às margens do rio Toropi, próximo à antiga Usina de Quebra Dentes",77163257-1,TRUE,NA,2 Jun 2017,"doi:10.11646/phytotaxa.308.1.7 the epithet refers to the remarkable high number of bracts in the inflorescence. From Latin multo = many, bractea = bract",[epublished],www.ipni.org/n/77163257-1,IPNI,NA,NA,NA,NA,
Tradescantia schwirkowskiana,Commelinaceae,Tradescantia,schwirkowskiana,"Funez, Hassemer & J.P.R.Ferreira",tax_nov,spec.,FALSE,Phytotaxa 272(1): 64. 2016 [26 Aug 2016] [epublished],Phytotaxa,2016,272(1): 64,20011462-1,FALSE,holotype FURB 50791;isotype C;isotype HURB,L.A.Funez &amp; P.Schwirkowski,5037,16 Nov 2015,"Santa Catarina (Brazil South, Brazil, Southern America)",São Bento do Sul: Borda da ferrovia às margens do Rio Banhados,77158797-1,TRUE,NA,26 Aug 2016,"oi:10.11646/phytotaxa.272.1.3 the specific epithet is named after Paulo Schwirkowski, a notorious naturalist and plant collector from São Bento do Sul municipality, who for many years has been contributing to the knowledge of the flora of Santa Catarina",[epublished],www.ipni.org/n/77158797-1,IPNI,NA,NA,NA,NA,
