name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Apodanthera bradei,Cucurbitaceae,Apodanthera,bradei,Mart.Crov.,tax_nov,spec.,Notul. Syst. (Paris) 15: 44. 1954 ,Notul. Syst. (Paris),1954,15: 44,1020-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,16685-2,NA,NA,www.ipni.org/n/16685-2,IPNI
Apodanthera hatschbachii,Cucurbitaceae,Apodanthera,hatschbachii,C.Jeffrey,tax_nov,spec.,Kew Bull. 47(3): 521. 1992 [4 Nov 1992] ,Kew Bull.,1992,47(3): 521,987-2,holotype CEPEC;isotype K," R.Kummrow,G.Hatschbach",48074,NA,"Bahia (Brazil, Southern America)",NA,302686-2,4 Nov 1992,NA,www.ipni.org/n/302686-2,IPNI
Apodanthera lasiocalyx,Cucurbitaceae,Apodanthera,lasiocalyx,Cogn.,tax_nov,spec.,"Pflanzenr. (Engler) 4, Fam. 275 1: 58. 1916 ",Pflanzenr. (Engler),1916,"4, Fam. 275 1: 58",3295-2,NA,NA,NA,NA,Brazil (Southern America),NA,16696-2,NA,NA,www.ipni.org/n/16696-2,IPNI
Apodanthera trifoliata,Cucurbitaceae,Apodanthera,trifoliata,Cogn.,tax_nov,spec.,"Pflanzenr. (Engler) IV, Fam. 275, I: 66. 1916 ",Pflanzenr. (Engler),1916,"IV, Fam. 275, I: 66",3295-2,NA,NA,NA,NA,"Piaui (Brazil, Southern America)",NA,16709-2,NA,NA,www.ipni.org/n/16709-2,IPNI
Cayaponia saldanhaei,Cucurbitaceae,Cayaponia,saldanhaei,Cogn.,tax_nov,spec.,"Bull. Acad. Roy. Sci. Belgique ser. 3, 14: 361. 1887 ",Bull. Acad. Roy. Sci. Belgique,1887,"ser. 3, 14: 361",9037-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,50618-2,NA,NA,www.ipni.org/n/50618-2,IPNI
Cayaponia schenckii,Cucurbitaceae,Cayaponia,schenckii,Cogn.,tax_nov,spec.,"Bull. Acad. Roy. Sci. Belgique ser. 3, 16: 244. 1888 ",Bull. Acad. Roy. Sci. Belgique,1888,"ser. 3, 16: 244",9037-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,50619-2,NA,NA,www.ipni.org/n/50619-2,IPNI
Cayaponia ulei,Cucurbitaceae,Cayaponia,ulei,Cogn. ex Harms,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 22: 342. 1926 ,Repert. Spec. Nov. Regni Veg.,1926,22: 342,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,50629-2,NA,NA,www.ipni.org/n/50629-2,IPNI
Cyclanthera kuhlmanniana,Cucurbitaceae,Cyclanthera,kuhlmanniana,Toledo,tax_nov,spec.,"Arq. Bot. Estado Sao Paulo 3: 21, tab 6, fig. B. 1952 ",Arq. Bot. Estado Sao Paulo,1952,"3: 21, tab 6, fig. B",850-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,73618-2,NA,NA,www.ipni.org/n/73618-2,IPNI
Cyclanthera trigonoloba,Cucurbitaceae,Cyclanthera,trigonoloba,Toledo,tax_nov,spec.,"Arq. Bot. Estado Sao Paulo 3: 19, tab. 5. 1952 ",Arq. Bot. Estado Sao Paulo,1952,"3: 19, tab. 5",850-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,73642-2,NA,NA,www.ipni.org/n/73642-2,IPNI
Elaterium pickelii,Cucurbitaceae,Elaterium,pickelii,Harms,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 11: 774. 1933 ,Notizbl. Bot. Gart. Berlin-Dahlem,1933,11: 774,1019-2,NA,NA,NA,NA,"Pernambuco (Brazil, Southern America)",NA,89496-2,NA,NA,www.ipni.org/n/89496-2,IPNI
Fevillea uncipetala,Cucurbitaceae,Fevillea,uncipetala,Kuhlm.,tax_nov,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 365. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,4: 365,848-2,NA,NA,NA,NA,Brazil (Southern America),NA,104439-2,NA,NA,www.ipni.org/n/104439-2,IPNI
Melothria ulei,Cucurbitaceae,Melothria,ulei,Cogn.,tax_nov,spec.,"Pflanzenr. (Engler) IV, Fam. 275 1: 82. 1916 ",Pflanzenr. (Engler),1916,"IV, Fam. 275 1: 82",3295-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,157080-2,NA,NA,www.ipni.org/n/157080-2,IPNI
