name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Curatella glaziovii,Dilleniaceae,Curatella,glaziovii,Gilg,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 25. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 25",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72713-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/209626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,19 Jul 1898,NA,NA,www.ipni.org/n/72713-2,IPNI,NA,NA,NA,NA,
Davilla aymardii,Dilleniaceae,Davilla,aymardii,Fraga,tax_nov,spec.,FALSE,Brittonia 60(4): 359 (-361; fig. 3). 2008 [1 Dec 2008] ,Brittonia,2008,60(4): 359 (-361; fig. 3),561-2,FALSE,holotype IBGE;isotype HBG;isotype NY;isotype RB;isotype WU,F.C.A.Oliveira et al.,898,10 Nov 1997,"Bahia (Brazil Northeast, Brazil, Southern America)","Formosa do Rio Preto, Fazenda Estrondo, ca. 1 km de Córrego Riachão, 505 m",77099654-1,TRUE,NA,1 Dec 2008,NA,NA,www.ipni.org/n/77099654-1,IPNI,NA,NA,NA,NA,
Davilla bilobata,Dilleniaceae,Davilla,bilobata,Aymard,tax_nov,spec.,FALSE,Novon 17(3): 284 (fig. 2). 2007 [10 Sep 2007] ,Novon,2007,17(3): 284 (fig. 2),14256-2,FALSE,holotype CEPEC;isotype NY;isotype PORT,"A. M. V. Carvalho, A. M. Amorim, S. C. Sant'Ana &amp; J. G. Jardim",4463,6 Apr 1994,"Bahia (Brazil, Southern America)","Porto seguro, Reserva da Brasil/Holanda ...",77083941-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11159358&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,10 Sep 2007,NA,NA,www.ipni.org/n/77083941-1,IPNI,NA,NA,NA,NA,
Davilla cuatrecasasii,Dilleniaceae,Davilla,cuatrecasasii,Aymard,tax_nov,spec.,FALSE,Acta Bot. Venez. 25(2): 153 (-159; fig. 1). 2002 ,Acta Bot. Venez.,2002,25(2): 153 (-159; fig. 1),1342-2,FALSE,holotype NY;isotype US,J.Cuatrecasas,26615,NA,"Piraçununga, Cerrado de Cachoeira-Emas, Sao Paulo (Brazil, Southern America)",NA,328428-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/328428-2,IPNI,NA,NA,NA,NA,
Davilla emarginata,Dilleniaceae,Davilla,emarginata,Sleumer,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 39: 274. 1936 ,Repert. Spec. Nov. Regni Veg.,1936,39: 274,788-2,FALSE,NA,NA,NA,NA,"Sergipe (Brazil, Southern America)",NA,77017-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=274&rft.volume=39&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/77017-2,IPNI,NA,NA,NA,NA,
Davilla kubitzkii,Dilleniaceae,Davilla,kubitzkii,Aymard,tax_nov,spec.,FALSE,"Brittonia 50: 51, fig. 1998 ",Brittonia,1998,"50: 51, fig.",561-2,FALSE,holotype INPA;isotype NY," R.Callejas, M.R.dos Santos,D.C.Daly, E.L.Taylor, M.G.da Silva, C.Rosario",1112,NA,"Ca. 30-35 km from Tucurui; 25 km on old BR 422, then 5-10 km E on old railroad bed, edge of 'campinarana,' 3°58'S, 49°37'W, Pará (Brazil, Southern America)",NA,315369-2,TRUE,NA,NA,[Gandhi 8 Apr 1998],NA,www.ipni.org/n/315369-2,IPNI,NA,NA,NA,NA,
Davilla morii,Dilleniaceae,Davilla,morii,Aymard,tax_nov,spec.,FALSE,"Brittonia 50: 53, fig. 1998 ",Brittonia,1998,"50: 53, fig.",561-2,FALSE,holotype CEPEC;isotype MO;isotype NY," A.Carvalho, J.Jardim, S.Sant'Ana,W.W.Thomas, T.S.dos Santos",9916,NA,"Mun. Belmonte: Barrolandia, Estacao Experimental 'Gregorio Bondar' CEPLAC, 48 km E of BR 101 on rd. to Belmonte, S Bahian wet forest, 16°8'S, 39°15'W, Bahia (Brazil, Southern America)",NA,315370-2,TRUE,NA,NA,[Gandhi 9 Apr 1998],NA,www.ipni.org/n/315370-2,IPNI,NA,NA,NA,NA,
Davilla neurophylla,Dilleniaceae,Davilla,neurophylla,Gilg,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 24. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 24",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,77024-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/209625&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,19 Jul 1898,NA,NA,www.ipni.org/n/77024-2,IPNI,NA,NA,NA,NA,
Davilla papyracea,Dilleniaceae,Davilla,papyracea,Aymard,tax_nov,spec.,FALSE,Kew Bull. 57(2): 487 (-490; fig. 1). 2002 [7 Aug 2002] ,Kew Bull.,2002,57(2): 487 (-490; fig. 1),987-2,FALSE,holotype BHCH;isotype PORT," M.A.Lopez,P.M.Andrade",168,NA,"Montes Claros-Caratinga, Minas Gerais (Brazil, Southern America)",NA,324378-2,TRUE,NA,7 Aug 2002,NA,NA,www.ipni.org/n/324378-2,IPNI,NA,NA,NA,NA,
Davilla pygmaea,Dilleniaceae,Davilla,pygmaea,M.J.Silva,tax_nov,spec.,FALSE,Phytotaxa 560(2): 188. 2022 [1 Sep 2022] [epublished],Phytotaxa,2022,560(2): 188,20011462-1,FALSE,holotype UFG,"M. J. Silva , I. S. Santos &amp; B. R. Pereira",11815,18 Feb 2021,"Goiás (Brazil West-Central, Brazil, Southern America)","Niquelândia, Reserva Particular de Desenvolvimento Sustentável Legado Verdes do Cerrado, Núcleo Engenho, Área do Mirante, cerca de 600 metros a leste do Mirante, campo limpo, 690 m",77304608-1,TRUE,NA,1 Sep 2022,"doi:10.11646/phytotaxa.560.2.3 Etymology: name derived from the Latin meaning 'dwarf', alludes to the fact that the species is a dwarf subshrub habit.",[epublished],www.ipni.org/n/77304608-1,IPNI,NA,NA,NA,NA,
Doliocarpus lasiogyne,Dilleniaceae,Doliocarpus,lasiogyne,Benoist,tax_nov,spec.,FALSE,Notul. Syst. (Paris) 2: 337. 1913 ,Notul. Syst. (Paris),1913,2: 337,1020-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,82928-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1913&rft.spage=337&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/314&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/82928-2,IPNI,NA,NA,NA,NA,
