name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Agarista revolutissima,Ericaceae,Agarista,revolutissima,A.A.Samp. & R.P.Oliveira,tax_nov,spec.,Phytotaxa 583(1): 82. 2023 [31 Jan 2023] [epublished],Phytotaxa,2023,583(1): 82,20011462-1,holotype HUEFS HUEFS000049756;isotype HUEFS HUEFS000042289,E. Melo et al.,6002,6 Nov 2008,"Bahia (Brazil Northeast, Brazil, Southern America)","Morro do Chapéu, Morrão",77313378-1,31 Jan 2023,"doi:10.11646/phytotaxa.583.1.8 Etymology: name from the word 'revolutus', which means turned backwards, combined with the suffix '-issima', a superlative that denotes superior quality to the adjective, expressing the leaf characteristics that differentiates this species from others in the genus.",www.ipni.org/n/77313378-1,IPNI
Andromeda revoluta,Ericaceae,Andromeda,revoluta,Spreng.,tax_nov,spec.,Neue Entdeck. Pflanzenk. 2: 131. 1821 ,Neue Entdeck. Pflanzenk.,1821,2: 131,1457-2,lectotype B;isotype BM;isotype BR;isotype E;isotype G;isotype K;isotype L;isotype M;isotype P;isotype W;isotype F;isotype GH,F.Sellow,NA,NA,"Restinga de Cabo Frio, Rio de Janeiro (Brazil, Southern America)",NA,304326-2,NA,NA,www.ipni.org/n/304326-2,IPNI
Ceratostema ulei,Ericaceae,Ceratostema,ulei,Mansf.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 438. 1925 ,Notizbl. Bot. Gart. Berlin-Dahlem,1925,9: 438,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,52601-2,NA,NA,www.ipni.org/n/52601-2,IPNI
Gaultheria glaziovii,Ericaceae,Gaultheria,glaziovii,Warm.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 429. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 429,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,107640-2,NA,NA,www.ipni.org/n/107640-2,IPNI
Gaultheria willisiana,Ericaceae,Gaultheria,willisiana,R.C.Davie,tax_nov,spec.,J. Bot. 55: 219. 1917 ,J. Bot.,1917,55: 219,678-2,NA,NA,NA,NA,Brazil (Southern America),NA,107726-2,NA,NA,www.ipni.org/n/107726-2,IPNI
Gaylussacia duartei,Ericaceae,Gaylussacia,duartei,Sleumer,tax_nov,spec.,Bot. Jahrb. Syst. 86(1-4): 363. 1967 [1 Feb 1967] ,Bot. Jahrb. Syst.,1967,86(1-4): 363,553-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,107883-2,1 Feb 1967,NA,www.ipni.org/n/107883-2,IPNI
Gaylussacia insignis,Ericaceae,Gaylussacia,insignis,Sleumer,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 130. 1934 ,Notizbl. Bot. Gart. Berlin-Dahlem,1934,12: 130,1019-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,107899-2,NA,NA,www.ipni.org/n/107899-2,IPNI
Leucothoë acicularis,Ericaceae,Leucothoë,acicularis,Sleumer,tax_nov,spec.,Bot. Jahrb. Syst. 78(4): 451. 1959 [31 Jul 1959] ,Bot. Jahrb. Syst.,1959,78(4): 451,553-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,139220-2,31 Jul 1959,NA,www.ipni.org/n/139220-2,IPNI
Leucothoë angustissima,Ericaceae,Leucothoë,angustissima,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 430. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 430,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,139230-2,NA,NA,www.ipni.org/n/139230-2,IPNI
Leucothoë bradei,Ericaceae,Leucothoë,bradei,Sleumer,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 13: 213. 1936 ,Notizbl. Bot. Gart. Berlin-Dahlem,1936,13: 213,1019-2,holotype RB,A.C.Brade,13614,NA,Brazil (Southern America),NA,139239-2,NA,NA,www.ipni.org/n/139239-2,IPNI
