name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Actinocephalus brevifolius,Eriocaulaceae,Actinocephalus,brevifolius,Trovó & Echtern.,tax_nov,spec.,FALSE,Eur. J. Taxon. 834: 61. 2022 [10 Aug 2022] [epublished],Eur. J. Taxon.,2022,834: 61,20016745-1,FALSE,holotype RB RB1405306;isotype B;isotype CEN;isotype NY;isotype P;isotype SPF,M.L.O.Trovó et al.,774,9 May 2018,"Goiás (Brazil West-Central, Brazil, Southern America)","Alto Paraíso de Goiás, Parque Nacional da Chapada dos Veadeiros, Beira da estrada de terra para a Vereda do Mulungu",77302846-1,TRUE,NA,10 Aug 2022,doi:10.5852/ejt.2022.834.1899 Etymology: 'The epithet 'brevifolius' is related to the species’ small leaf size both when compared to the morphologically similar species and also in relation to the size of its paraclades'.,[epublished],www.ipni.org/n/77302846-1,IPNI,NA,NA,NA,NA,
Eriocaulon longipedunculatum,Eriocaulaceae,Eriocaulon,longipedunculatum,Silveira,tax_nov,spec.,FALSE,Floral. Mont. 15. 1928 ,Floral. Mont.,1928,15,5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,94409-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/94409-2,IPNI,NA,NA,NA,NA,
Leiothrix turbinata,Eriocaulaceae,Leiothrix,turbinata,Gleason,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 58: 331. 1931 ,Bull. Torrey Bot. Club,1931,58: 331,586-2,FALSE,holotype NY,G.H.H.Tate,775,NA,"Amazonas (Brazil, Southern America)",NA,279387-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1931&rft.spage=331&rft.volume=58&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/279387-2,IPNI,NA,NA,NA,NA,
Paepalanthus avacanoeiro,Eriocaulaceae,Paepalanthus,avacanoeiro,Trovó & R.Silva-Oliveira,tax_nov,spec.,FALSE,Phytotaxa 636(2): 140. 2024 [7 Feb 2024] [epublished],Phytotaxa,2024,636(2): 140,20011462-1,FALSE,holotype RB;isotype CEN;isotype NY,R.S.Oliveira,674,28 Dec 2022,"Goiás (Brazil West-Central, Brazil, Southern America)","Alto Paraíso de Goiás. [Morro dentro da propriedade da Aldeia Multiétnica, em campo pedregoso quartzítico recentemente queimado]",77336000-1,FALSE,NA,7 Feb 2024,"doi:10.11646/phytotaxa.636.2.3 Etymology: the specific epithet pays tribute to one of the indigenous groups that once lived in the cerrados of central Brazil. Like many of Brazil's original peoples, the Avacanoeiros suffered violent massacres and were forcibly expelled from their ancestral lands. Today, only two families of Avacanoeiros remain, residing in Goias and Tocantins.",[epublished],www.ipni.org/n/77336000-1,IPNI,NA,NA,NA,NA,
Paepalanthus benedicti,Eriocaulaceae,Paepalanthus,benedicti,Silveira,tax_nov,spec.,FALSE,"Floral. Mont. 238, tab. 159. 1928 ",Floral. Mont.,1928,"238, tab. 159",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180130-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/180130-2,IPNI,NA,NA,NA,NA,
Paepalanthus brifrons,Eriocaulaceae,Paepalanthus,brifrons,Silveira,tax_nov,spec.,FALSE,"Floral. Mont. 206, tab. 136. 1928 ",Floral. Mont.,1928,"206, tab. 136",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180135-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/180135-2,IPNI,NA,NA,NA,NA,
Paepalanthus burle-marxii,Eriocaulaceae,Paepalanthus,burle-marxii,Trovó,tax_nov,spec.,FALSE,Phytotaxa 636(2): 144. 2024 [7 Feb 2024] [epublished],Phytotaxa,2024,636(2): 144,20011462-1,FALSE,holotype RB;isotype CEN;isotype NY,M.L.O.Trovó et al.,810,20 May 2022,"Brasília Distrito Federal (Brazil West-Central, Brazil, Southern America)","Parque Nacional de Brasília, entrada pela portaria 6 em campo limpo, pedregoso, c. 1250 m",77336110-1,FALSE,NA,7 Feb 2024,"doi:10.11646/phytotaxa.636.2.3 Etymology: the specific epithet celebrates Roberto Burle Marx, a brilliant Brazilian landscape architect and visual artist, whose designs include famous parks and gardens in Brasilia.",[epublished],www.ipni.org/n/77336110-1,IPNI,NA,NA,NA,NA,
Paepalanthus cabaralensis,Eriocaulaceae,Paepalanthus,cabaralensis,Silveira,tax_nov,spec.,FALSE,"Floral. Mont. 220, tab. 146. 1928 ",Floral. Mont.,1928,"220, tab. 146",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180150-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/180150-2,IPNI,NA,NA,NA,NA,
Paepalanthus diffisus,Eriocaulaceae,Paepalanthus,diffisus,Silveira,tax_nov,spec.,FALSE,"Floral. Mont. 208, tab. 137. 1928 ",Floral. Mont.,1928,"208, tab. 137",5697-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,180251-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/180251-2,IPNI,NA,NA,NA,NA,
Paepalanthus ferrugineus,Eriocaulaceae,Paepalanthus,ferrugineus,Andrino & Echtern.,tax_nov,spec.,FALSE,Phytotaxa 505(2): 188. 2021 [31 May 2021] [epublished],Phytotaxa,2021,505(2): 188,20011462-1,FALSE,holotype OUPR 29438;isotype B;isotype HUFU;isotype NY;isotype P;isotype RB;isotype SPF,"L.Echternacht, T.V.Bastos, M.S.Freitas &amp; A.P.L.Werlang",2415,19 Apr 2014,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Rio Pardo de Minas, Parque Estadual da Serra Nova. Alto da serra, passando pela estrada até Gerais Santana, 1257 m",77219861-1,TRUE,NA,31 May 2021,"doi:10.11646/phytotaxa.505.2.5 The epithet ferrugineus, Latin for rusty, refers to the distinctive rust-coloured involucral bracts.",[epublished],www.ipni.org/n/77219861-1,IPNI,NA,NA,NA,NA,
