name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Acalypha amphigyne,Euphorbiaceae,Acalypha,amphigyne,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 467. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 467",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1098-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/1098-2,IPNI,NA,NA,NA,NA,
Acalypha ampliata,Euphorbiaceae,Acalypha,ampliata,Pax & K.Hoffm.,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 147, xvi: 138. 1924 ",Pflanzenr. (Engler),1924,"4, Fam. 147, xvi: 138",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1099-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/1099-2,IPNI,NA,NA,NA,NA,
Acalypha fragilis,Euphorbiaceae,Acalypha,fragilis,Pax & K.Hoffm.,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 41: 226. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,41: 226,788-2,FALSE,NA,NA,NA,NA,"Ceará (Brazil, Southern America)",NA,1263-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=226&rft.volume=41&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1263-2,IPNI,NA,NA,NA,NA,
Acalypha goyazensis,Euphorbiaceae,Acalypha,goyazensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 623. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 623,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1277-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/1277-2,IPNI,NA,NA,NA,NA,
Acalypha humilis,Euphorbiaceae,Acalypha,humilis,Pax & K.Hoffm.,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 8: 162. 1910 ,Repert. Spec. Nov. Regni Veg.,1910,8: 162,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1318-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/231880&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1318-2,IPNI,NA,NA,NA,NA,
Acalypha juruana,Euphorbiaceae,Acalypha,juruana,Ule,tax_nov,spec.,FALSE,Verh. Bot. Vereins Prov. Brandenburg 50: 78. 1908 ,Verh. Bot. Vereins Prov. Brandenburg,1908,50: 78,823-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1329-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=78&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1329-2,IPNI,NA,NA,NA,NA,
Acalypha macularis,Euphorbiaceae,Acalypha,macularis,Pax & K.Hoffm.,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 147, xvi: 138. 1924 ",Pflanzenr. (Engler),1924,"4, Fam. 147, xvi: 138",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1369-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/1369-2,IPNI,NA,NA,NA,NA,
Acalypha noronhae,Euphorbiaceae,Acalypha,noronhae,Ridl.,tax_nov,spec.,FALSE,"J. Linn. Soc., Bot. 27: 59. 1890 ","J. Linn. Soc., Bot.",1890,27: 59,682-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1400-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=59&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1400-2,IPNI,NA,NA,NA,NA,
Acalypha omissa,Euphorbiaceae,Acalypha,omissa,Pax & K.Hoffm.,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 147, xvi: 111. 1924 ",Pflanzenr. (Engler),1924,"4, Fam. 147, xvi: 111",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1410-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/1410-2,IPNI,NA,NA,NA,NA,
Acalypha prunifolia,Euphorbiaceae,Acalypha,prunifolia,Nees & Mart.,tax_nov,spec.,FALSE,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 11(1): 37 (-38). 1823 ,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.,1823,11(1): 37 (-38),1025-2,FALSE,holotype BR?,M. A. P. Wied-Neuwied,s.n.,Dec 1816,"Minas Gerais (Brazil, Southern America)",NA,1455-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=1&rft.spage=37&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/65147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1455-2,IPNI,NA,NA,NA,NA,
