name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Abarema barnebyana,Fabaceae,Abarema,barnebyana,Iganci & M.P.Lima,tax_nov,spec.,FALSE,"Kew Bull. 64(2): 272 (274, 276; fig. 2). 2009 [Aug 2009] ",Kew Bull.,2009,"64(2): 272 (274, 276; fig. 2)",987-2,FALSE,holotype RB;isotype CVRD,D.A.Folli,755,8 Jul 1988,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",Regência. Reserva Biológica de Comboio - IBDF,77100692-1,TRUE,NA,Aug 2009,NA,NA,www.ipni.org/n/77100692-1,IPNI,NA,NA,NA,NA,
Abrus tenuiflorus,Fabaceae,Abrus,tenuiflorus,Benth.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 15(1): 216. 1859 [30 Jul 1859] ,Fl. Bras. (Martius),1859,15(1): 216,629-2,FALSE,holotype K;isotype BM;isotype C;isotype G;isotype NY,R.Spruce,786,NA,"Santarem, Brazil (Southern America)",NA,320076-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/147523&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,30 Jul 1859,[Gandhi 14 Jul 2000],NA,www.ipni.org/n/320076-2,IPNI,NA,NA,NA,NA,
Acacia catharinensis,Fabaceae,Acacia,catharinensis,Burkart,tax_nov,spec.,FALSE,Mem. Inst. Oswaldo Cruz 64: 96. 1966 ,Mem. Inst. Oswaldo Cruz,1966,64: 96,2517-2,FALSE,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,469954-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/469954-1,IPNI,NA,NA,NA,NA,
Acacia ibirocayensis,Fabaceae,Acacia,ibirocayensis,Marchiori,tax_nov,spec.,FALSE,Ci. & Nat. [Santa Maria] 6: 104. 1984 ,Ci. & Nat. [Santa Maria],1984,6: 104,11300-2,FALSE,holotype HDCF,J.N.C.Marchiori,1403,1 Dec 1983,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",Alegrete,77114995-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/77114995-1,IPNI,NA,NA,NA,NA,
Acacia lewisii,Fabaceae,Acacia,lewisii,Bocage & Miotto,tax_nov,spec.,FALSE,Bradea 11(1): 12 (15; fig. 1). 2005 [20 August 2005] ,Bradea,2005,11(1): 12 (15; fig. 1),1276-2,FALSE,holotype ICN;isotype IPA,A.Bocage,930,19 Nov 2003,"Bahia (Brazil Northeast, Brazil, Southern America)",mun. Vitória da Conquista,77069759-1,TRUE,NA,20 August 2005,NA,NA,www.ipni.org/n/77069759-1,IPNI,NA,NA,NA,NA,
Acacia piptadenioides,Fabaceae,Acacia,piptadenioides,G.P.Lewis,tax_nov,spec.,FALSE,"Kew Bull. 44(1): 171, fig. 1989 [20 Mar 1989] ",Kew Bull.,1989,"44(1): 171, fig.",987-2,FALSE,holotype CEPEC,dos Santos,746,NA,Brazil (Southern America),NA,271494-2,TRUE,NA,20 Mar 1989,NA,NA,www.ipni.org/n/271494-2,IPNI,NA,NA,NA,NA,
Acacia platyacantha,Fabaceae,Acacia,platyacantha,Bertol.,tax_nov,spec.,FALSE,et Giorn. Arcad. 29: 342 (1826);. ,et Giorn. Arcad.,1826,29: 342 (1826);,NA,FALSE,NA,NA,NA,NA,Brazil.,NA,2927724-1,FALSE,NA,1826,NA,NA,www.ipni.org/n/2927724-1,IPNI,NA,NA,NA,NA,
Acacia ricoae,Fabaceae,Acacia,ricoae,Bocage & Miotto,tax_nov,spec.,FALSE,"Bradea 11(1): 13 (-14,16; fig. 2). 2005 [20 August 2005] ",Bradea,2005,"11(1): 13 (-14,16; fig. 2)",1276-2,FALSE,holotype ICN;isotype IPA,A.Bocage et al.,873,5 Oct 2003,"Bahia (Brazil Northeast, Brazil, Southern America)",mun. Palmeiras,77069760-1,TRUE,NA,20 August 2005,NA,NA,www.ipni.org/n/77069760-1,IPNI,NA,NA,NA,NA,
Acosmium stirtonii,Fabaceae,Acosmium,stirtonii,Aymard & Val.González,tax_nov,spec.,FALSE,Harvard Pap. Bot. 7(2): 399 (2003). ,Harvard Pap. Bot.,2003,7(2): 399 (2003),10651-2,FALSE,holotype VEN;isotype MO;isotype NY,J.Steyermark; B.Holst; B.Manara,131496,7 Sep 1985,Venezuela;Brazil North (Roraima);Guyana;,"Amazonas:  Municipio Atures:  along raudales de Atures, 10 km S of Puerto Ayacucho, 75 m",20012597-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/20012597-1,IPNI,NA,NA,NA,NA,
Acosmium trichonema,Fabaceae,Acosmium,trichonema,Rizzini,tax_nov,spec.,FALSE,"Rodriguésia 29: 149, fig. 1977 ",Rodriguésia,1977,"29: 149, fig",1167-2,FALSE,holotype RB,E.P.Heringer,2750,NA,Brazil (Southern America),NA,3455-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/3455-2,IPNI,NA,NA,NA,NA,
