name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Calolisianthus macranthus,Gentianaceae,Calolisianthus,macranthus,Gilg,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 22(2): 346. 1896 [22 May 1896] ,Bot. Jahrb. Syst.,1896,22(2): 346,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,42699-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/206722&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,22 May 1896,NA,NA,www.ipni.org/n/42699-2,IPNI,NA,NA,NA,NA,
Chelonanthus candidus,Gentianaceae,Chelonanthus,candidus,Malme,tax_nov,spec.,FALSE,"Ark. Bot. 3, no. 12: 13, pl. 2, fig.3. 1904 ",Ark. Bot.,1904,"3, no. 12: 13, pl. 2, fig.3",536-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,55940-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/55940-2,IPNI,NA,NA,NA,NA,
Erythraea brasiliensis,Gentianaceae,Erythraea,brasiliensis,Gilg-Ben.,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 11: 903. 1933 ,Notizbl. Bot. Gart. Berlin-Dahlem,1933,11: 903,1019-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,96507-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=903&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/96507-2,IPNI,NA,NA,NA,NA,
Helia loeseneriana,Gentianaceae,Helia,loeseneriana,Gilg,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 22(2): 346. 1896 [22 May 1896] ,Bot. Jahrb. Syst.,1896,22(2): 346,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,118837-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.issue=2&rft.spage=346&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,22 May 1896,NA,NA,www.ipni.org/n/118837-2,IPNI,NA,NA,NA,NA,
Lisianthius acutangulus,Gentianaceae,Lisianthius,acutangulus,Mart.,tax_nov,spec.,FALSE,"Flora 21(2, Beibl.): 49). 1838 ",Flora,1838,"21(2, Beibl.): 49)",648-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,141384-2,TRUE,NA,NA,later homonym (non Ruiz & Pav. 1799).,NA,www.ipni.org/n/141384-2,IPNI,NA,NA,NA,NA,
Lisianthius albus,Gentianaceae,Lisianthius,albus,Spruce ex Progel,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 6(1): 237. 1865 [1 Dec 1865] ,Fl. Bras. (Martius),1865,6(1): 237,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,141389-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139511&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Dec 1865,NA,NA,www.ipni.org/n/141389-2,IPNI,NA,NA,NA,NA,
Lisianthius amoenus,Gentianaceae,Lisianthius,amoenus,Miq.,tax_nov,spec.,FALSE,Linnaea 19: 139. 1846 ,Linnaea,1846,19: 139,703-2,FALSE,NA,NA,NA,NA,"Pará (Brazil, Southern America)",NA,141391-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/108513&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/141391-2,IPNI,NA,NA,NA,NA,
Lisianthius arboreus,Gentianaceae,Lisianthius,arboreus,Spruce ex Progel,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 6(1): 240. 1865 [1 Dec 1865] ,Fl. Bras. (Martius),1865,6(1): 240,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,315857-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139512&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Dec 1865,NA,NA,www.ipni.org/n/315857-2,IPNI,NA,NA,NA,NA,
Lisianthius martii,Gentianaceae,Lisianthius,martii,Griseb.,tax_nov,spec.,FALSE,Gen. Sp. Gent. 187. 1838 [1839 publ. Oct 1838] ,Gen. Sp. Gent.,1838,187,4925-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,141449-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35366553&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1839 publ. Oct 1838,NA,NA,www.ipni.org/n/141449-2,IPNI,NA,NA,NA,NA,
Lisianthius obtusifolius,Gentianaceae,Lisianthius,obtusifolius,Griseb.,tax_nov,spec.,FALSE,Gen. Sp. Gent. 175. 1838 [1839 publ. Oct 1838] ,Gen. Sp. Gent.,1838,175,4925-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,141456-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35366541&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1839 publ. Oct 1838,NA,NA,www.ipni.org/n/141456-2,IPNI,NA,NA,NA,NA,
