name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Alloplectus dimorphobracteatus,Gesneriaceae,Alloplectus,dimorphobracteatus,Hoehne,tax_nov,spec.,Sellowia no. 9: 46. 1958 ,Sellowia,1958,no. 9: 46,1217-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,9233-2,NA,NA,www.ipni.org/n/9233-2,IPNI
Alloplectus sylvarum,Gesneriaceae,Alloplectus,sylvarum,S.Moore,tax_nov,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 411. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 411",1084-2,NA,NA,NA,NA,Brazil (Southern America),NA,9290-2,NA,NA,www.ipni.org/n/9290-2,IPNI
Alloplectus tomentosus,Gesneriaceae,Alloplectus,tomentosus,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 515. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 515,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,9294-2,NA,NA,www.ipni.org/n/9294-2,IPNI
Besleria bonodora,Gesneriaceae,Besleria,bonodora,Vell.,tax_nov,spec.,Fl. Flumin. 261. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,Fl. Flumin.,1829,261,932-2,NA,NA,NA,NA,Brazil (Southern America),NA,31866-2,1825 publ. 7 Sep-28 Nov 1829,[Gandhi; LT],www.ipni.org/n/31866-2,IPNI
Codonanthe florida,Gesneriaceae,Codonanthe,florida,Pamp.,tax_nov,spec.,Nuovo Giorn. Bot. Ital. 14: 597. 1907 ,Nuovo Giorn. Bot. Ital.,1907,14: 597,763-2,NA,NA,NA,NA,Brazil (Southern America),NA,62659-2,NA,NA,www.ipni.org/n/62659-2,IPNI
Corytholoma calcareum,Gesneriaceae,Corytholoma,calcareum,Dusén ex Malme,tax_nov,spec.,Ark. Bot. 29A(3): 7 (fig. 3.). 1937 ,Ark. Bot.,1937,29A(3): 7 (fig. 3.),536-2,holotype S,P.K.H.Dusén,8711,NA,"Paraná (Brazil, Southern America)",NA,275147-2,NA,NA,www.ipni.org/n/275147-2,IPNI
Corytholoma oliganthum,Gesneriaceae,Corytholoma,oliganthum,Malme,tax_nov,spec.,"Ark. Bot. 29A(3): 7, fig. 4. 1937 ",Ark. Bot.,1937,"29A(3): 7, fig. 4",536-2,NA,NA,NA,NA,"Paraná (Brazil, Southern America)",NA,66696-2,NA,NA,www.ipni.org/n/66696-2,IPNI
Drymonia maculata,Gesneriaceae,Drymonia,maculata,S.Moore,tax_nov,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 410. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 410",1084-2,NA,NA,NA,NA,Brazil (Southern America),NA,84449-2,NA,NA,www.ipni.org/n/84449-2,IPNI
Gasteranthus glaber,Gesneriaceae,Gasteranthus,glaber,Poit. ex Meisn.,tax_nov,spec.,Fl. Bras. (Martius) 7: 206. 1869 [1 Aug 1869] ,Fl. Bras. (Martius),1869,7: 206,629-2,lectotype G,P.A.Poiteau,s.n.,NA,Brazil (Southern America),NA,107509-2,1 Aug 1869,NA,www.ipni.org/n/107509-2,IPNI
Gesnera fruticulosa,Gesneriaceae,Gesnera,fruticulosa,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 514. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 514,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,109650-2,NA,NA,www.ipni.org/n/109650-2,IPNI
