name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Asterolepidion elatum,Icacinaceae,Asterolepidion,elatum,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 3: 207. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,3: 207,848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,24354-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/24354-2,IPNI,NA,NA,NA,NA,
Citronella toledoi,Icacinaceae,Citronella,toledoi,Hashim.,tax_nov,spec.,FALSE,"Rodriguésia 13, no. 25: [265], tab. 2. 1951 ",Rodriguésia,1951,"13, no. 25: [265], tab. 2",1167-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,59583-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/59583-2,IPNI,NA,NA,NA,NA,
Dendrobangia tenuis,Icacinaceae,Dendrobangia,tenuis,Ducke,tax_nov,spec.,FALSE,Bol. Tecn. Inst. Agron. N. no. 4: 15. 1945 ,Bol. Tecn. Inst. Agron. N.,1945,no. 4: 15,860-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,77584-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/77584-2,IPNI,NA,NA,NA,NA,
Discophora froesii,Icacinaceae,Discophora,froesii,Pires,tax_nov,spec.,FALSE,Bol. Tecn. Inst. Agron. N. no. 38: 28. 1960 ,Bol. Tecn. Inst. Agron. N.,1960,no. 38: 28,860-2,FALSE,NA,NA,NA,NA,Brazil (Amazonas) &amp; Colombia,NA,82164-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/82164-2,IPNI,NA,NA,NA,NA,
Emmotum faia,Icacinaceae,Emmotum,faia,Kuhlm.,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 26: 45 (-47; fig.). 1982 ,Arch. Jard. Bot. Rio de Janeiro,1982,26: 45 (-47; fig.),848-2,FALSE,holotype RB,J. G. Kuhlmann,177 (Jard. Bot. 34161),12 Apr 1934,"Espirito Santo (Brazil, Southern America)","asd marginis Lagoa do Durao, Rio Doce",60444554-2,TRUE,NA,NA,"A posthumous publication of João Geraldo Kuhlmann (1882-1958). Hilda Manhã Ferrerira and Cordélia Luiza Benavides de Abreu, who published the article, ascribed the specific name, validating Latin description, and type citation to J. G. Kuhlmann.",NA,www.ipni.org/n/60444554-2,IPNI,NA,NA,NA,NA,
Emmotum holosericeum,Icacinaceae,Emmotum,holosericeum,Ducke,tax_nov,spec.,FALSE,Arq. Inst. Biol. Veg. 4(1): 45. 1938 [Jun 1938] ,Arq. Inst. Biol. Veg.,1938,4(1): 45,851-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,90511-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.issue=1&rft.spage=45&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jun 1938,NA,NA,www.ipni.org/n/90511-2,IPNI,NA,NA,NA,NA,
Emmotum nudum,Icacinaceae,Emmotum,nudum,R.A.Howard,tax_nov,spec.,FALSE,"J. Arnold Arbor. 23: 485, tab. 1. 1942 ",J. Arnold Arbor.,1942,"23: 485, tab. 1",981-2,FALSE,NA,NA,NA,NA,"Para &amp; Amazonas, Brazil (Southern America)",NA,90513-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=485&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/90513-2,IPNI,NA,NA,NA,NA,
Humirianthera rupestris,Icacinaceae,Humirianthera,rupestris,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 4: 118. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,4: 118,848-2,FALSE,NA,A.Ducke,9969,NA,"Pará (Brazil, Southern America)",NA,310544-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/310544-2,IPNI,NA,NA,NA,NA,
Lasianthera amazonica,Icacinaceae,Lasianthera,amazonica,Barb.Rodr.,tax_nov,spec.,FALSE,"Vellosia 1: 13, pl. 7. 1888 ",Vellosia,1888,"1: 13, pl. 7",3884-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,135763-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=13&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/135763-2,IPNI,NA,NA,NA,NA,
Leretia glabrata,Icacinaceae,Leretia,glabrata,Sleumer,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 15: 245. 1940 ,Notizbl. Bot. Gart. Berlin-Dahlem,1940,15: 245,1019-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,138615-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=245&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/138615-2,IPNI,NA,NA,NA,NA,
Leretia parviflora,Icacinaceae,Leretia,parviflora,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 4: 119. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,4: 119,848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,138617-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/138617-2,IPNI,NA,NA,NA,NA,
