name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Cypella aurinegra,Iridaceae,Cypella,aurinegra,Deble & Andrès González,tax_nov,spec.,Phytotaxa 236(2): 102. 2015 [27 Nov 2015] [epublished],Phytotaxa,2015,236(2): 102,20011462-1,holotype MVFA,A.González,2250,7 Apr 2014,"Uruguay (Southern South America, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);","Uruguay: Cerro Largo, Cañada Yerba Sola, 11 km al norte de Puntas del Parao",77151631-1,27 Nov 2015,doi:10.11646/phytotaxa.236.2.1,www.ipni.org/n/77151631-1,IPNI
Herbertia guyunusae,Iridaceae,Herbertia,guyunusae,Deble,tax_nov,spec.,Phytotaxa 570(1): 56. 2022 [25 Oct 2022] [epublished],Phytotaxa,2022,570(1): 56,20011462-1,holotype PACA;isotype ICN;isotype SI,L.P.Deble &amp; B.P.Moreira,19622,7 Nov 2019,"Rio Grande do Sul (Brazil South, Brazil, Southern America)","São Gabriel, RS473, Cerro do Ouro",77307321-1,25 Oct 2022,"doi:10.11646/phytotaxa.570.1.5 Etymology: 'a tribute to María Micaela Guyunusa (1806–1834). Guyunusa was one of the last Charrúa women; she was born in Paysandú and was one of the four Charrúas sent by Francois de Curel to France. She died in Lyon in the year 1834 (Rivet 1930, Asenjo 2007)'.",www.ipni.org/n/77307321-1,IPNI
Marica helenae,Iridaceae,Marica,helenae,Worsley,tax_nov,spec.,J. Roy. Hort. Soc. 28: 530. 1904 ,J. Roy. Hort. Soc.,1904,28: 530,4808-2,NA,NA,NA,NA,Brazil (Southern America),NA,153135-2,NA,NA,www.ipni.org/n/153135-2,IPNI
Pseudotrimezia brevistaminea,Iridaceae,Pseudotrimezia,brevistaminea,Chukr,tax_nov,spec.,"Cadernos Estud. Pesquisas, UNIP (São Paulo) 7: 3 (2001). ","Cadernos Estud. Pesquisas, UNIP (São Paulo)",2001,7: 3 (2001),20000078-1,holotype SPF,A.M.Giulietti; J.R.Pirani; L.R.Parra; M.T.V.Campos,NA,26 Aug 1991,Brazil Southeast (Minas Gerais),"Santana do Riacho, Serra das Bandeirinhas",20010277-1,NA,NA,www.ipni.org/n/20010277-1,IPNI
Pseudotrimezia pauli,Iridaceae,Pseudotrimezia,pauli,Chukr,tax_nov,spec.,"Cadernos Estud. Pesquisas, UNIP (São Paulo) 7: 5 (2001). ","Cadernos Estud. Pesquisas, UNIP (São Paulo)",2001,7: 5 (2001),20000078-1,holotype SPF;isotype K,N.S.Chukr,NA,NA,Brazil Southeast (Minas Gerais),"Diamantina, near Cachoeira da Sentinela",20010279-1,NA,NA,www.ipni.org/n/20010279-1,IPNI
Sisyrinchium caratuvense,Iridaceae,Sisyrinchium,caratuvense,C.D.Inácio & E.D.Lozano,tax_nov,spec.,Phytotaxa 541(2): 154. 2022 [25 Mar 2022] [epublished],Phytotaxa,2022,541(2): 154,20011462-1,holotype MBM;isotype ICN;isotype RB;isotype SPF,E.D.Lozano et al.,4314,15 Jan 2019,"Paraná (Brazil South, Brazil, Southern America)","Campina Grande do Sul, Cume do Pico Caratuva",77296873-1,25 Mar 2022,"doi:10.11646/phytotaxa.541.2.5 Etymology: 'The species epithet refers to the type locality, the Caratuva peak in the Paraná state'.",www.ipni.org/n/77296873-1,IPNI
Sisyrinchium iguazuanum,Iridaceae,Sisyrinchium,iguazuanum,"C.D.Inácio, L.Eggers & Chauveau",tax_nov,spec.,Phytotaxa 541(2): 162. 2022 [25 Mar 2022] [epublished],Phytotaxa,2022,541(2): 162,20011462-1,holotype ICN;isotype MBM,L.Eggers &amp; T.T.Souza-Chies,612,19 Nov 2010,"Misiones (Argentina Northeast, Southern South America, Southern America);Paraná (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);","Paraná: Abelardo Luz, BR 280, aprox. km 153 (23 km da cidade de Palmas), 988 m",77296875-1,25 Mar 2022,doi:10.11646/phytotaxa.541.2.5,www.ipni.org/n/77296875-1,IPNI
Sisyrinchium pumillum,Iridaceae,Sisyrinchium,pumillum,Larrañaga,tax_nov,spec.,Escritos Damaso Antonio Larranaga 1: 413. 1922 Pub. Inst. Hist. Geog. Uruguay,Escritos Damaso Antonio Larranaga,1922,1: 413,1322-2,NA,NA,NA,NA,Brazil (Southern America),NA,237751-2,NA,NA,www.ipni.org/n/237751-2,IPNI
Sisyrinchium usneoides,Iridaceae,Sisyrinchium,usneoides,C.D.Inácio & Antunes,tax_nov,spec.,Phytotaxa 541(2): 158. 2022 [25 Mar 2022] [epublished],Phytotaxa,2022,541(2): 158,20011462-1,holotype SPF;isotype CESJ;isotype ICN,P.L.Krieger &amp; C.Urbano,9020,31 Jul 1970,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",Santa Rita de Jacutinga,77296874-1,25 Mar 2022,"doi:10.11646/phytotaxa.541.2.5 Etymology: 'The species epithet is a reference to the general appearance of the vegetative parts of the plant that resemble the habit of lichens of the genus Usnea Dill. ex Adans., as well as the bromeliad Tillandsia usneoides (L.) L.'.",www.ipni.org/n/77296874-1,IPNI
Sphenostigma polycephala,Iridaceae,Sphenostigma,polycephala,Baker,tax_nov,spec.,Handb. Irid. 107. 1892 [Aug-Nov 1892] ,Handb. Irid.,1892,107,7289-2,NA,NA,NA,NA,Brazil (Southern America),NA,242079-2,Aug-Nov 1892,NA,www.ipni.org/n/242079-2,IPNI
Trimezia itamarazuensis,Iridaceae,Trimezia,itamarazuensis,Ravenna,tax_nov,spec.,Onira 1: 3. 1988 ,Onira,1988,1: 3,10041-2,holotype hb. Ravenna,"A.M.de Carvalho, G.P.Lewis",896,NA,"Bahia (Brazil, Southern America)",NA,286370-2,NA,NA,www.ipni.org/n/286370-2,IPNI
Alophia medusa,Iridaceae,Alophia,medusa,(Baker) Goldblatt,NA,Species,Brittonia 27: 384 (1975 publ. 1976),NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,9616-2,NA,NA,https://powo.science.kew.org/taxon/9616-2,POWO
Sisyrinchium aquidaunicum,Iridaceae,Sisyrinchium,aquidaunicum,Ravenna,NA,Species,Onira 1: 44 (1988),NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,936525-1,NA,NA,https://powo.science.kew.org/taxon/936525-1,POWO
Trimezia mauroi,Iridaceae,Trimezia,mauroi,(A.Gil & M.C.E.Amaral) Govaerts,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77205606-1,NA,NA,https://powo.science.kew.org/taxon/77205606-1,POWO
Trimezia sancti-vicentei,Iridaceae,Trimezia,sancti-vicentei,(A.Gil & M.C.E.Amaral) Govaerts,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77205576-1,NA,NA,https://powo.science.kew.org/taxon/77205576-1,POWO
Trimezia warmingii,Iridaceae,Trimezia,warmingii,(Klatt) Christenh. & Byng,NA,Species,Global Fl. 4: 58 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183107-1,NA,NA,https://powo.science.kew.org/taxon/77183107-1,POWO
Trimezia liebmannii,Iridaceae,Trimezia,liebmannii,Govaerts,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77205586-1,NA,NA,https://powo.science.kew.org/taxon/77205586-1,POWO
Cypella lapidosa,Iridaceae,Cypella,lapidosa,Ravenna,NA,Species,Wrightia 7: 21 (1981),NA,1981,NA,NA,NA,NA,NA,NA,NA,NA,74421-2,NA,NA,https://powo.science.kew.org/taxon/74421-2,POWO
Cypella opalina,Iridaceae,Cypella,opalina,(Ravenna) Deble,NA,Species,Balduinia 66: 19 (2020),NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,77212857-1,NA,NA,https://powo.science.kew.org/taxon/77212857-1,POWO
Trimezia sabini,Iridaceae,Trimezia,sabini,(Lindl.) Ravenna,NA,Species,"G.T.Prance & T.S.Elias, Extinction Is Forever: 257 (1977)",NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,1045777-2,NA,NA,https://powo.science.kew.org/taxon/1045777-2,POWO
Trimezia coerulea,Iridaceae,Trimezia,coerulea,(G.Lodd.) Ravenna,NA,Species,"G.T.Prance & T.S.Elias, Extinction Is Forever: 258 (1977)",NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,441647-1,NA,NA,https://powo.science.kew.org/taxon/441647-1,POWO
