name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Aegiphila amazonica,Lamiaceae,Aegiphila,amazonica,Moldenke,tax_nov,spec.,FALSE,"Geogr. Distr. Avicenn. 24. 1939 Nomen²Phytologia, 1: 378. 1940",Geogr. Distr. Avicenn.,1939,24,14523-2,FALSE,NA,NA,NA,NA,"Amazonas &amp; Para, Brazil (Southern America)",NA,5661-2,FALSE,NA,NA,NA,"Nomen²Phytologia, 1: 378. 1940",www.ipni.org/n/5661-2,IPNI,NA,NA,NA,NA,
Aegiphila aracaensis,Lamiaceae,Aegiphila,aracaensis,Aymard & Cuello,tax_nov,spec.,FALSE,Novon 14(1): 20 (-22; fig. 1). 2004 [23 Mar 2004] ,Novon,2004,14(1): 20 (-22; fig. 1),14256-2,FALSE,"holotype MG;isotype NY, US",I. Cordeiro,150,4 Jul 1985,Brazil (Southern America),"Amazonas: Barcelos, Rio Aracá, próximo a foz do Rio Jauari",60429813-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/643678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Mar 2004,NA,NA,www.ipni.org/n/60429813-2,IPNI,NA,NA,NA,NA,
Aegiphila brasiliensis,Lamiaceae,Aegiphila,brasiliensis,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 33: 115. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,33: 115,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,5673-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=115&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/5673-2,IPNI,NA,NA,NA,NA,
Aegiphila conturbata,Lamiaceae,Aegiphila,conturbata,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 37: 210. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,37: 210,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,5684-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=210&rft.volume=37&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/5684-2,IPNI,NA,NA,NA,NA,
Aegiphila coriacea,Lamiaceae,Aegiphila,coriacea,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 33: 118. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,33: 118,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,5689-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=118&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/5689-2,IPNI,NA,NA,NA,NA,
Aegiphila crenata,Lamiaceae,Aegiphila,crenata,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 33: 119. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,33: 119,788-2,FALSE,NA,NA,NA,NA,"Paraná (Brazil, Southern America)",NA,5692-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=119&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/5692-2,IPNI,NA,NA,NA,NA,
Aegiphila dentata,Lamiaceae,Aegiphila,dentata,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 33: 120. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,33: 120,788-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,5698-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=120&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/5698-2,IPNI,NA,NA,NA,NA,
Aegiphila ferruginea,Lamiaceae,Aegiphila,ferruginea,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 546. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 546,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,5709-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/5709-2,IPNI,NA,NA,NA,NA,
Aegiphila glandulifera,Lamiaceae,Aegiphila,glandulifera,Moldenke,tax_nov,spec.,FALSE,Brittonia 1: 187. 1932 ,Brittonia,1932,1: 187,561-2,FALSE,NA,NA,NA,NA,Costa Rica to Peru and Northern Brazil,NA,5715-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/5715-2,IPNI,NA,NA,NA,NA,
Aegiphila intermedia,Lamiaceae,Aegiphila,intermedia,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 33: 128. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,33: 128,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,5743-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=128&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/5743-2,IPNI,NA,NA,NA,NA,
