name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Allantoma caudata,Lecythidaceae,Allantoma,caudata,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) Heft 105, 4, Fam. 219a: 42. 1939 ",Pflanzenr. (Engler),1939,"Heft 105, 4, Fam. 219a: 42",3295-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,8542-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/8542-2,IPNI,NA,NA,NA,NA,
Allantoma dilatata,Lecythidaceae,Allantoma,dilatata,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) Heft 105, 4, Fam. 219a: 42. 1939 ",Pflanzenr. (Engler),1939,"Heft 105, 4, Fam. 219a: 42",3295-2,FALSE,NA,NA,NA,NA,"Para &amp; Amazonas, Brazil (Southern America)",NA,8543-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/8543-2,IPNI,NA,NA,NA,NA,
Allantoma impressa,Lecythidaceae,Allantoma,impressa,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) Heft 105, 4, Fam. 219a: 42. 1939 ",Pflanzenr. (Engler),1939,"Heft 105, 4, Fam. 219a: 42",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,8544-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/8544-2,IPNI,NA,NA,NA,NA,
Cariniana decandra,Lecythidaceae,Cariniana,decandra,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 4: 153, pl. 16. 1925 ",Arch. Jard. Bot. Rio de Janeiro,1925,"4: 153, pl. 16",848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,47515-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/47515-2,IPNI,NA,NA,NA,NA,
Cariniana integrifolia,Lecythidaceae,Cariniana,integrifolia,Ducke,tax_nov,spec.,FALSE,Trop. Woods 31: 18. 1932 ,Trop. Woods,1932,31: 18,1085-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,47519-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/47519-2,IPNI,NA,NA,NA,NA,
Cariniana kuhlmannii,Lecythidaceae,Cariniana,kuhlmannii,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 4: 154, pl. 16. 1925 ",Arch. Jard. Bot. Rio de Janeiro,1925,"4: 154, pl. 16",848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,47521-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/47521-2,IPNI,NA,NA,NA,NA,
Cariniana multiflora,Lecythidaceae,Cariniana,multiflora,Ducke,tax_nov,spec.,FALSE,Arq. Inst. Biol. Veg. 2(1): 65. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,2(1): 65,851-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,47523-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=65&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Sep 1935,NA,NA,www.ipni.org/n/47523-2,IPNI,NA,NA,NA,NA,
Cariniana pachyantha,Lecythidaceae,Cariniana,pachyantha,A.C.Sm.,tax_nov,spec.,FALSE,Amer. J. Bot. 26: 411. 1939 ,Amer. J. Bot.,1939,26: 411,835-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,47524-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/47524-2,IPNI,NA,NA,NA,NA,
Cariniana pauciramosa,Lecythidaceae,Cariniana,pauciramosa,W.A.Rodrigues,tax_nov,spec.,FALSE,"Acta Amazonica 4: 8, fig. 2. 1974 ",Acta Amazonica,1974,"4: 8, fig. 2",1144-2,FALSE,holotype INPA," O.P.Monteiro, E.Lleras, D.Coelho, W.A.Rodrigues,G.T.Prance",17516,NA,"Amazonas (Brazil, Southern America)",NA,47526-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/47526-2,IPNI,NA,NA,NA,NA,
Chytroma brancoensis,Lecythidaceae,Chytroma,brancoensis,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) IV, fam. 219a: 84. 1939 ",Pflanzenr. (Engler),1939,"IV, fam. 219a: 84",3295-2,FALSE,neotype MO,Silva,179,NA,Brazil (Southern America),NA,58533-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/58533-2,IPNI,NA,NA,NA,NA,
Chytroma mexiana,Lecythidaceae,Chytroma,mexiana,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 105], 4, Fam. 219a: 136. 1939 ",Pflanzenr. (Engler),1939,"[Heft 105], 4, Fam. 219a: 136",3295-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,58549-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/58549-2,IPNI,NA,NA,NA,NA,
Chytroma miersii,Lecythidaceae,Chytroma,miersii,R.Knuth,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 38: 114. 1935 ,Repert. Spec. Nov. Regni Veg.,1935,38: 114,788-2,FALSE,NA,NA,NA,NA,"Amazonas &amp; Para, Brazil (Southern America)",NA,58550-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=114&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/58550-2,IPNI,NA,NA,NA,NA,
Chytroma rhododendrifolia,Lecythidaceae,Chytroma,rhododendrifolia,R.Knuth,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 38: 116. 1935 ,Repert. Spec. Nov. Regni Veg.,1935,38: 116,788-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,58552-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=116&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/58552-2,IPNI,NA,NA,NA,NA,
Couratari estrellensis,Lecythidaceae,Couratari,estrellensis,Raddi,tax_nov,spec.,FALSE,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis. 18: 408. 1820 ","Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis.",1820,18: 408,3885-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,67254-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/67254-2,IPNI,NA,NA,NA,NA,
Couratari glaziovii,Lecythidaceae,Couratari,glaziovii,Taub.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 54(Mém. 3c): 240. 1908 ,Bull. Soc. Bot. France,1908,54(Mém. 3c): 240,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,67257-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/67257-2,IPNI,NA,NA,NA,NA,
Couratari krukovii,Lecythidaceae,Couratari,krukovii,A.C.Sm.,tax_nov,spec.,FALSE,"Bull. Torrey Bot. Club 60: 384, pl. 22, figs. 3, 4. 1933 ",Bull. Torrey Bot. Club,1933,"60: 384, pl. 22, figs. 3, 4",586-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,67260-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=384&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/67260-2,IPNI,NA,NA,NA,NA,
Couratari pedicellaris,Lecythidaceae,Couratari,pedicellaris,Rizzini,tax_nov,spec.,FALSE,Rodriguésia no. 41: 178. 1976 ,Rodriguésia,1976,no. 41: 178,1167-2,FALSE,holotype RB,Kuhlmann,394,NA,Brazil (Southern America),NA,67268-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/67268-2,IPNI,NA,NA,NA,NA,
Couratari stellulata,Lecythidaceae,Couratari,stellulata,Rizzini,tax_nov,spec.,FALSE,Rodriguésia no. 41: 178. 1976 ,Rodriguésia,1976,no. 41: 178,1167-2,FALSE,holotype RB,Duarte,9760,NA,Brazil (Southern America),NA,67277-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/67277-2,IPNI,NA,NA,NA,NA,
Couroupita acreensis,Lecythidaceae,Couroupita,acreensis,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 105], 4, Fam. 219a: 46. 1939 ",Pflanzenr. (Engler),1939,"[Heft 105], 4, Fam. 219a: 46",3295-2,FALSE,NA,NA,NA,NA,"Amazonas &amp; Acre Territory, Brazil (Southern America)",NA,67279-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/67279-2,IPNI,NA,NA,NA,NA,
Couroupita amazonica,Lecythidaceae,Couroupita,amazonica,R.Knuth,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 35: 340. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,35: 340,788-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,67280-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=340&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/67280-2,IPNI,NA,NA,NA,NA,
Couroupita elata,Lecythidaceae,Couroupita,elata,A.C.Sm.,tax_nov,spec.,FALSE,Brittonia 2: 157. 1936 ,Brittonia,1936,2: 157,561-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,67283-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/67283-2,IPNI,NA,NA,NA,NA,
Couroupita froesii,Lecythidaceae,Couroupita,froesii,R.Knuth,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 35: 341. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,35: 341,788-2,FALSE,NA,NA,NA,NA,"Maranhao (Brazil, Southern America)",NA,67284-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=341&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/67284-2,IPNI,NA,NA,NA,NA,
Eschweilera alba,Lecythidaceae,Eschweilera,alba,R.Knuth,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 38: 115. 1935 ,Repert. Spec. Nov. Regni Veg.,1935,38: 115,788-2,FALSE,NA,NA,NA,NA,"Para &amp; Amazonas, Brazil (Southern America)",NA,97364-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=115&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/97364-2,IPNI,NA,NA,NA,NA,
Eschweilera brancoensis,Lecythidaceae,Eschweilera,brancoensis,R.Knuth,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 38: 115. 1935 ,Repert. Spec. Nov. Regni Veg.,1935,38: 115,788-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,97374-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=115&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/97374-2,IPNI,NA,NA,NA,NA,
Eschweilera fracta,Lecythidaceae,Eschweilera,fracta,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 105], 4, Fam. 219a: 110, fig. 4C. 1939 ",Pflanzenr. (Engler),1939,"[Heft 105], 4, Fam. 219a: 110, fig. 4C",3295-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,97396-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/97396-2,IPNI,NA,NA,NA,NA,
Eschweilera iquitosensis,Lecythidaceae,Eschweilera,iquitosensis,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 105], 4, Fam. 219a: 111. 1939 ",Pflanzenr. (Engler),1939,"[Heft 105], 4, Fam. 219a: 111",3295-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,97408-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/97408-2,IPNI,NA,NA,NA,NA,
Eschweilera krukovii,Lecythidaceae,Eschweilera,krukovii,A.C.Sm.,tax_nov,spec.,FALSE,Phytologia 1: 124. 1935 ,Phytologia,1935,1: 124,1034-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,97417-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=124&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/97417-2,IPNI,NA,NA,NA,NA,
Eschweilera lurida,Lecythidaceae,Eschweilera,lurida,Miers,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London 30(2): 262, pl. 1874 ",Trans. Linn. Soc. London,1874,"30(2): 262, pl",815-2,FALSE,lectotype P,W.J.Burchell,1000,NA,Brazil (Southern America),NA,97423-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1874&rft.issue=2&rft.spage=262&rft.volume=30&rft_id=http://www.biodiversitylibrary.org/bibliography/683&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/97423-2,IPNI,NA,NA,NA,NA,
Eschweilera manaosensis,Lecythidaceae,Eschweilera,manaosensis,R.Knuth,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 38: 116. 1935 ,Repert. Spec. Nov. Regni Veg.,1935,38: 116,788-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,97425-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=116&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/97425-2,IPNI,NA,NA,NA,NA,
Eschweilera montana,Lecythidaceae,Eschweilera,montana,A.C.Sm.,tax_nov,spec.,FALSE,Amer. J. Bot. 26: 407. 1939 ,Amer. J. Bot.,1939,26: 407,835-2,FALSE,NA,NA,NA,NA,Brazil-British Guiana Boundary,NA,97431-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/97431-2,IPNI,NA,NA,NA,NA,
Eschweilera obidosensis,Lecythidaceae,Eschweilera,obidosensis,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 105], 4, Fam. 219a: 112. 1939 ",Pflanzenr. (Engler),1939,"[Heft 105], 4, Fam. 219a: 112",3295-2,FALSE,NA,NA,NA,NA,"Pará (Brazil, Southern America)",NA,97434-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/97434-2,IPNI,NA,NA,NA,NA,
Eschweilera polyantha,Lecythidaceae,Eschweilera,polyantha,A.C.Sm.,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 60: 381. 1933 ,Bull. Torrey Bot. Club,1933,60: 381,586-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,97446-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=381&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/97446-2,IPNI,NA,NA,NA,NA,
Eschweilera rodriguesiana,Lecythidaceae,Eschweilera,rodriguesiana,S.A.Mori,tax_nov,spec.,FALSE,Fl. Neotrop. Monogr. 21(2): 255. 1990 ,Fl. Neotrop. Monogr.,1990,21(2): 255,944-2,FALSE,NA,NA,NA,NA,Brazil.,NA,939651-1,TRUE,NA,1990,NA,NA,www.ipni.org/n/939651-1,IPNI,NA,NA,NA,NA,
Goeldinia ovatifolia,Lecythidaceae,Goeldinia,ovatifolia,Huber,tax_nov,spec.,FALSE,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 438. 1902 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,3: 438,858-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,111580-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/111580-2,IPNI,NA,NA,NA,NA,
Goeldinia riparia,Lecythidaceae,Goeldinia,riparia,Huber,tax_nov,spec.,FALSE,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 439. 1902 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,3: 439,858-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,111581-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/111581-2,IPNI,NA,NA,NA,NA,
Gustavia brasiliana,Lecythidaceae,Gustavia,brasiliana,DC.,tax_nov,spec.,FALSE,Prodr. [A. P. de Candolle] 3: 290. 1828 [Mar 1828] ,Prodr. [A. P. de Candolle],1828,3: 290,1051-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,114921-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/153092&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Mar 1828,NA,NA,www.ipni.org/n/114921-2,IPNI,NA,NA,NA,NA,
