name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Spigelia hurleyi,Loganiaceae,Spigelia,hurleyi,Fern.Casas,tax_nov,spec.,Fontqueria 55(5): 23 (2001). ,Fontqueria,2001,55(5): 23 (2001),2210-2,holotype MO 3487201;isotype NY,"S.F.da Fonsêca; H.S.Irwin; R.Reis dos Santos, R.Souza",22551,24 Jan 1969,Brazil Southeast (Minas Gerais),"Serra do Espinhaço, vicinity of Datas, 1300 m",20002791-1,NA,NA,www.ipni.org/n/20002791-1,IPNI
Strychnos blumenaviensis,Loganiaceae,Strychnos,blumenaviensis,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 36. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 36",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,247285-2,19 Jul 1898,NA,www.ipni.org/n/247285-2,IPNI
Strychnos calophylla,Loganiaceae,Strychnos,calophylla,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 37. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 37",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,247292-2,19 Jul 1898,NA,www.ipni.org/n/247292-2,IPNI
Strychnos concinna,Loganiaceae,Strychnos,concinna,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 39. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 39",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,247296-2,19 Jul 1898,NA,www.ipni.org/n/247296-2,IPNI
Strychnos ericetina,Loganiaceae,Strychnos,ericetina,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 34, pl. 3, fig. B. 1891 ",Vellosia,1891,"ed. 2, 1: 34, pl. 3, fig. B",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247304-2,NA,NA,www.ipni.org/n/247304-2,IPNI
Strychnos gigantea,Loganiaceae,Strychnos,gigantea,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 37, pl. 3, fig. A. 1891 ",Vellosia,1891,"ed. 2, 1: 37, pl. 3, fig. A",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247309-2,NA,NA,www.ipni.org/n/247309-2,IPNI
Strychnos kauichana,Loganiaceae,Strychnos,kauichana,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 37. 1891 ",Vellosia,1891,"ed. 2, 1: 37",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247315-2,NA,NA,www.ipni.org/n/247315-2,IPNI
Strychnos lethalis,Loganiaceae,Strychnos,lethalis,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 38. 1891 ",Vellosia,1891,"ed. 2, 1: 38",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247317-2,NA,NA,www.ipni.org/n/247317-2,IPNI
Strychnos manaoensis,Loganiaceae,Strychnos,manaoensis,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 36, pl. 5. 1891 ",Vellosia,1891,"ed. 2, 1: 36, pl. 5",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247323-2,NA,NA,www.ipni.org/n/247323-2,IPNI
Strychnos oblonga,Loganiaceae,Strychnos,oblonga,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 37. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 37",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,247331-2,19 Jul 1898,NA,www.ipni.org/n/247331-2,IPNI
Strychnos oligoneura,Loganiaceae,Strychnos,oligoneura,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 41. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 41",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,247333-2,19 Jul 1898,NA,www.ipni.org/n/247333-2,IPNI
Strychnos papilosa,Loganiaceae,Strychnos,papilosa,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 36, pl. 4, fig. B. 1891 as papillosa",Vellosia,1891,"ed. 2, 1: 36, pl. 4, fig. B",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247337-2,NA,NA,www.ipni.org/n/247337-2,IPNI
Strychnos petrophila,Loganiaceae,Strychnos,petrophila,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 39. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 39",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,247339-2,19 Jul 1898,NA,www.ipni.org/n/247339-2,IPNI
Strychnos rivularia,Loganiaceae,Strychnos,rivularia,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 35, pl. fig. B, & 4, fig. C. 1891 ",Vellosia,1891,"ed. 2, 1: 35, pl. fig. B, & 4, fig. C",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247346-2,NA,NA,www.ipni.org/n/247346-2,IPNI
Strychnos tonantinensis,Loganiaceae,Strychnos,tonantinensis,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 38. 1891 ",Vellosia,1891,"ed. 2, 1: 38",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247361-2,NA,NA,www.ipni.org/n/247361-2,IPNI
Strychnos urbani,Loganiaceae,Strychnos,urbani,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 38, pl. 4, fig. A. 1891 ",Vellosia,1891,"ed. 2, 1: 38, pl. 4, fig. A",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,247366-2,NA,NA,www.ipni.org/n/247366-2,IPNI
Strychnos urbaniana,Loganiaceae,Strychnos,urbaniana,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 38. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 38",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,247365-2,19 Jul 1898,NA,www.ipni.org/n/247365-2,IPNI
Spigelia heliotropioides,Loganiaceae,Spigelia,heliotropioides,(Pohl) E.F.Guim. & Fontella,NA,Species,Loefgrenia 29: 2 (1969),NA,1969,NA,NA,NA,NA,NA,NA,NA,NA,242200-2,NA,NA,https://powo.science.kew.org/taxon/242200-2,POWO
Strychnos gubleri,Loganiaceae,Strychnos,gubleri,G.Planch.,NA,Species,"J. Pharm. Chim., sér. 5, 1: 295 (1880)",NA,1880,NA,NA,NA,NA,NA,NA,NA,NA,547217-1,NA,NA,https://powo.science.kew.org/taxon/547217-1,POWO
