name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Balsamona pinto,Lythraceae,Balsamona,pinto,Vand.,tax_nov,spec.,FALSE,Fasc. Pl. 15 (lam. 3). 1771 ,Fasc. Pl.,1771,15 (lam. 3),18920-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,28816-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/28816-2,IPNI,NA,NA,NA,NA,
Cuphea affinitatum,Lythraceae,Cuphea,affinitatum,Koehne,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 20. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 20",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72282-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207933&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,27 Aug 1897,NA,NA,www.ipni.org/n/72282-2,IPNI,NA,NA,NA,NA,
Cuphea andersonii,Lythraceae,Cuphea,andersonii,S.A.Graham,tax_nov,spec.,FALSE,"Brittonia 42: 16 (-18), fig. 1990 ",Brittonia,1990,"42: 16 (-18), fig",561-2,FALSE,holotype IAN,W.R.Anderson,10899,NA,Brazil (Southern America),NA,275407-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/275407-2,IPNI,NA,NA,NA,NA,
Cuphea brachyantha,Lythraceae,Cuphea,brachyantha,Koehne,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 216: 132. 1903 ",Pflanzenr. (Engler),1903,"4, Fam. 216: 132",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72307-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/72307-2,IPNI,NA,NA,NA,NA,
Cuphea burchellii,Lythraceae,Cuphea,burchellii,Koehne,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 216: 131. 1903 ",Pflanzenr. (Engler),1903,"4, Fam. 216: 131",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72311-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/72311-2,IPNI,NA,NA,NA,NA,
Cuphea carunculata,Lythraceae,Cuphea,carunculata,Koehne,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 42(2-3, Beibl. 97): 49. 1908 [29 Dec 1908] ",Bot. Jahrb. Syst.,1908,"42(2-3, Beibl. 97): 49",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72327-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/13982&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,29 Dec 1908,NA,NA,www.ipni.org/n/72327-2,IPNI,NA,NA,NA,NA,
Cuphea concinna,Lythraceae,Cuphea,concinna,Koehne,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 41(2): 85. 1907 [20 Dec 1907] ,Bot. Jahrb. Syst.,1907,41(2): 85,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72331-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/214598&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,20 Dec 1907,NA,NA,www.ipni.org/n/72331-2,IPNI,NA,NA,NA,NA,
Cuphea costata,Lythraceae,Cuphea,costata,Koehne,tax_nov,spec.,FALSE,"Fl. Bras. (Martius) 13(2): 298 (lam. 55, 1). 1877 [1 Oct 1877] ",Fl. Bras. (Martius),1877,"13(2): 298 (lam. 55, 1)",629-2,FALSE,lectotype C;isotype G;isotype P;isotype S;isotype W,J.E.B.Warming,s.n.,NA,"Lagia Santa, Minas Gerais (Brazil, Southern America)",NA,321262-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142960&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Oct 1877,[Gandhi 19 Jun 2001],NA,www.ipni.org/n/321262-2,IPNI,NA,NA,NA,NA,
Cuphea crulsiana,Lythraceae,Cuphea,crulsiana,Koehne,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 23. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 23",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72338-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207936&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,27 Aug 1897,NA,NA,www.ipni.org/n/72338-2,IPNI,NA,NA,NA,NA,
Cuphea decipiens,Lythraceae,Cuphea,decipiens,Koehne,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 216: 130. 1903 ",Pflanzenr. (Engler),1903,"4, Fam. 216: 130",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,72344-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/72344-2,IPNI,NA,NA,NA,NA,
