name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Banisteria prostrata,Malpighiaceae,Banisteria,prostrata,Mart.,tax_nov,spec.,"Stigmatoph. [Niedenzu, 1899] pt. 2, 10. 1900 ","Stigmatoph. [Niedenzu, 1899]",1900,"pt. 2, 10",14697-2,NA,NA,NA,NA,Brazil (Southern America),NA,29101-2,NA,NA,NA,www.ipni.org/n/29101-2,IPNI,NA
Banisteria ternata,Malpighiaceae,Banisteria,ternata,Vell.,tax_nov,spec.,Fl. Flumin. 190. 1829 [dt. 1825; issued. 7 Sep-28 Nov 1829] ; later publ.: Fl. Flumin. Icon. 4: t. 159. 1831 [dt. 1827; issued 29 Oct 1831],Fl. Flumin.,1829,190,932-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,1062178-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=190&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,dt. 1825; issued. 7 Sep-28 Nov 1829,NA,www.ipni.org/n/1062178-2,IPNI,NA
Banisteria versicolor,Malpighiaceae,Banisteria,versicolor,Mart. ex Nied.,tax_nov,spec.,"Pflanzenr. (Engler) [Heft 93] 4, Fam. 141: 420. 1928 In synon",Pflanzenr. (Engler),1928,"[Heft 93] 4, Fam. 141: 420",3295-2,NA,NA,NA,NA,Brazil (Southern America),NA,29156-2,NA,NA,NA,www.ipni.org/n/29156-2,IPNI,NA
Banisteriopsis macedoana,Malpighiaceae,Banisteriopsis,macedoana,L.B.Sm.,tax_nov,spec.,"J. Wash. Acad. Sci. 45: 198, fig. 10-12. 1955 ",J. Wash. Acad. Sci.,1955,"45: 198, fig. 10-12",686-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,29224-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.spage=198&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/29224-2,IPNI,NA
Byrsonima cornifolia,Malpighiaceae,Byrsonima,cornifolia,Nied.,tax_nov,spec.,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 206. 1897 ,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 206,17977-2,NA,NA,NA,NA,Brazil (Southern America),NA,38817-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=206&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/38817-2,IPNI,NA
Byrsonima cretacea,Malpighiaceae,Byrsonima,cretacea,Nied.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 33: 71. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,33: 71,788-2,NA,NA,NA,NA,Brazil (Amazonas) or Venezuela,NA,38833-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=71&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/38833-2,IPNI,NA
Byrsonima decipiens,Malpighiaceae,Byrsonima,decipiens,Nied.,tax_nov,spec.,"Byrsonima pt. 2, 35. 1901 ",Byrsonima,1901,"pt. 2, 35",14507-2,NA,NA,NA,NA,Brazil (Southern America),NA,38841-2,NA,NA,NA,www.ipni.org/n/38841-2,IPNI,NA
Byrsonima glazioviana,Malpighiaceae,Byrsonima,glazioviana,Nied.,tax_nov,spec.,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 206. 1897 ,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 206,17977-2,NA,NA,NA,NA,Brazil (Southern America),NA,38860-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=206&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/38860-2,IPNI,NA
Byrsonima grisebachiana,Malpighiaceae,Byrsonima,grisebachiana,Nied.,tax_nov,spec.,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 207. 1897 ,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 207,17977-2,NA,NA,NA,NA,Brazil (Southern America),NA,38861-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=207&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/38861-2,IPNI,NA
Byrsonima hoehneana,Malpighiaceae,Byrsonima,hoehneana,Nied.,tax_nov,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 64. 1926 ,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1926,8: 64,8771-2,NA,NA,NA,NA,Brazil (Southern America),NA,38865-2,NA,NA,NA,www.ipni.org/n/38865-2,IPNI,NA
Byrsonima karstenii,Malpighiaceae,Byrsonima,karstenii,W.R.Anderson,tax_nov,spec.,Contr. Univ. Michigan Herb. 17: 43 (-44). 1990 ,Contr. Univ. Michigan Herb.,1990,17: 43 (-44),1151-2,holotype US,T.Lasser,1074,NA,"Distrito Federal (Brazil, Southern America)",NA,273578-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12875042&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/273578-2,IPNI,NA
Byrsonima rubrobracteata,Malpighiaceae,Byrsonima,rubrobracteata,W.R.Anderson,tax_nov,spec.,"Mem. New York Bot. Gard. 32: 105 (-106), fig. 1981 ",Mem. New York Bot. Gard.,1981,"32: 105 (-106), fig",719-2,holotype MICH," R.Boyan,S.S.Tillett, C.L.Tillett",45128,NA,"Thompson Camp, Mt. Ayanganna, upper Mazaruni River basin, 1418 m, Brazil (Southern America)",NA,38927-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=105&rft.volume=32&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/38927-2,IPNI,NA
Byrsonima spruceana,Malpighiaceae,Byrsonima,spruceana,Kralik,tax_nov,spec.,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 207. 1897 ,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 207,17977-2,NA,NA,NA,NA,Brazil (Southern America),NA,38941-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=207&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/38941-2,IPNI,NA
Byrsonima steyermarkii,Malpighiaceae,Byrsonima,steyermarkii,W.R.Anderson,tax_nov,spec.,"Mem. New York Bot. Gard. 32: 105 (-106), fig. 1981 ",Mem. New York Bot. Gard.,1981,"32: 105 (-106), fig",719-2,holotype VEN,J.A.Steyermark,97979,NA,Brazil (Southern America),NA,38942-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=105&rft.volume=32&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/38942-2,IPNI,NA
Byrsonima uvulifera,Malpighiaceae,Byrsonima,uvulifera,Spruce in Nied.,tax_nov,spec.,"Byrsonima pt. 2, 37. 1901 ",Byrsonima,1901,"pt. 2, 37",14507-2,NA,NA,NA,NA,Brazil (Southern America),NA,38950-2,NA,NA,NA,www.ipni.org/n/38950-2,IPNI,NA
