name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Abutilon rufivelum,Malvaceae,Abutilon,rufivelum,K.Schum. ex Baker f.,tax_nov,spec.,J. Bot. 31: 271. 1893 ,J. Bot.,1893,31: 271,678-2,null G,A.F.M.Glaziou,18136,NA,"Rio de Janeiro (Brazil, Southern America)",NA,323590-2,NA,nom. nud. (invalid); As A. rufivellum,www.ipni.org/n/323590-2,IPNI
Abutilon schenckii,Malvaceae,Abutilon,schenckii,K.Schum.,tax_nov,spec.,Fl. Bras. (Martius) 12(3): 412. 1891 [15 Jul 1891] ,Fl. Bras. (Martius),1891,12(3): 412,629-2,lectotype P,L.Riedel,1316,NA,"Madre de Dios, Brazil (Southern America)",NA,331-2,15 Jul 1891,NA,www.ipni.org/n/331-2,IPNI
Abutilon spicatum,Malvaceae,Abutilon,spicatum,Kunth,tax_nov,spec.,Nov. Gen. Sp. [H.B.K.] 5(quarto): 271. 1822 ,Nov. Gen. Sp. [H.B.K.],1822,5(quarto): 271,1023-2,holotype P-HUMB.," A.J.A.Bonpland,F.W.H.A.Humboldt",s.n.,NA,"prope San Carlos del Rio Negro, Brazil (Southern America)",NA,317982-2,NA,[Gandhi 2 Jun 1999[ SBMonogr. 25: 136. 1988],www.ipni.org/n/317982-2,IPNI
Bakeridesia andradelimae,Malvaceae,Bakeridesia,andradelimae,Monteiro,tax_nov,spec.,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 121. 1973 [1972 publ. 1973] ","An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,121,NA,NA,NA,NA,NA,Brazil.,NA,895960-1,1972 publ. 1973,NA,www.ipni.org/n/895960-1,IPNI
Bakeridesia bezerrae,Malvaceae,Bakeridesia,bezerrae,Monteiro,tax_nov,spec.,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 118. 1973 [1972 publ. 1973] ","An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,118,NA,NA,NA,NA,NA,Brazil.,NA,895961-1,1972 publ. 1973,NA,www.ipni.org/n/895961-1,IPNI
Bakeridesia pickelii,Malvaceae,Bakeridesia,pickelii,Monteiro,tax_nov,spec.,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 116. 1973 [1972 publ. 1973] ","An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,116,NA,NA,NA,NA,NA,Brazil.,NA,895962-1,1972 publ. 1973,NA,www.ipni.org/n/895962-1,IPNI
Bakeridesia rufivela,Malvaceae,Bakeridesia,rufivela,Hochr.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 21: 419. 1920 ,Annuaire Conserv. Jard. Bot. Genève,1920,21: 419,1145-2,null G,A.F.M.Glaziou,18136,NA,"Rio de Janeiro (Brazil, Southern America)",NA,28779-2,NA,Inadvertently published as a sp. nov.,www.ipni.org/n/28779-2,IPNI
Bakeridesia torrendii,Malvaceae,Bakeridesia,torrendii,Monteiro,tax_nov,spec.,"An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot. 125. 1973 [1972 publ. 1973] ","An. Soc. Bot. Brasil, XXIII Congr. Nac. Bot.",1973,125,NA,NA,NA,NA,NA,Brazil.,NA,895963-1,1972 publ. 1973,NA,www.ipni.org/n/895963-1,IPNI
Bastardia macrophylla,Malvaceae,Bastardia,macrophylla,Ulbr.,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 324. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 324,3558-2,null B,E.H.G.Ule,3630,NA,"Rio de Janeiro (Brazil, Southern America)",NA,29856-2,NA,NA,www.ipni.org/n/29856-2,IPNI
Carolinea villosa,Malvaceae,Carolinea,villosa,Mart. & Zucc.,tax_nov,spec.,Flora 8(1): 27. 1825 [14 Jan 1825] ,Flora,1825,8(1): 27,648-2,NA,NA,NA,NA,Brazil (Southern America),NA,77216102-1,14 Jan 1825,NA,www.ipni.org/n/77216102-1,IPNI
Cienfuegosia cuyabensis,Malvaceae,Cienfuegosia,cuyabensis,Pilg.,tax_nov,spec.,Bot. Jahrb. Syst. 30(2): 171. 1901 [2 Jul 1901] ,Bot. Jahrb. Syst.,1901,30(2): 171,553-2,neotype S,G.O.A.Malme,1666,NA,Brazil (Southern America),NA,58655-2,2 Jul 1901,NA,www.ipni.org/n/58655-2,IPNI
Cienfuegosia glauca,Malvaceae,Cienfuegosia,glauca,Brandão & Laca-B.,tax_nov,spec.,"Daphne 3(4): 35 (1993), without latin descr. ",Daphne,1993,"3(4): 35 (1993), without latin descr.",18436-2,NA,NA,NA,NA,Brazil Southeast (Minas Gerais).,NA,995469-1,1993,NA,www.ipni.org/n/995469-1,IPNI
Cienfuegosia ituiutabensis,Malvaceae,Cienfuegosia,ituiutabensis,Brandão & Laca-B.,tax_nov,spec.,"Daphne 3(4): 35 (1993), without latin descr. ",Daphne,1993,"3(4): 35 (1993), without latin descr.",18436-2,NA,NA,NA,NA,Brazil Southeast (Minas Gerais).,NA,995470-1,1993,NA,www.ipni.org/n/995470-1,IPNI
Cienfuegosia longifolia,Malvaceae,Cienfuegosia,longifolia,Brandão & Laca-B.,tax_nov,spec.,"Daphne 3(4): 38 (1993), without latin descr. ",Daphne,1993,"3(4): 38 (1993), without latin descr.",18436-2,NA,NA,NA,NA,Brazil Southeast (Minas Gerais).,NA,995471-1,1993,NA,www.ipni.org/n/995471-1,IPNI
Cienfuegosia uberabensis,Malvaceae,Cienfuegosia,uberabensis,Brandão & Laca-B.,tax_nov,spec.,"Daphne 3(4): 40 (1993), without latin descr. ",Daphne,1993,"3(4): 40 (1993), without latin descr.",18436-2,NA,NA,NA,NA,Brazil Southeast (Minas Gerais).,NA,995472-1,1993,NA,www.ipni.org/n/995472-1,IPNI
Codonochlamys glaziovii,Malvaceae,Codonochlamys,glaziovii,Ulbr.,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 331. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 331,3558-2,holotype B;isotype C;isotype P,A.F.M.Glaziou,15842,NA,"Mendanha, Minas Gerais (Brazil, Southern America)",NA,62682-2,NA,NA,www.ipni.org/n/62682-2,IPNI
Cristaria ecristata,Malvaceae,Cristaria,ecristata,A.Gray,tax_nov,spec.,"U.S. Expl. Exped., Phan. 15: 165. 1854 ; C. Wilkes Expl. Exped.","U.S. Expl. Exped., Phan.",1854,15: 165,10212-2,NA,NA,NA,NA,Brazil (Southern America),NA,69484-2,NA,NA,www.ipni.org/n/69484-2,IPNI
Fugosia phlomidifolia,Malvaceae,Fugosia,phlomidifolia,A.St.-Hil.,tax_nov,spec.,Fl. Bras. Merid. (A. St.-Hil.). 1: 253 (-254; t. 50). 1828 ,Fl. Bras. Merid. (A. St.-Hil.).,1828,1: 253 (-254; t. 50),8262-2,null P,A.F.C.P.de Saint-Hilaire,s.n.,NA,"Minas Gerais (Brazil, Southern America)",NA,106320-2,NA,NA,www.ipni.org/n/106320-2,IPNI
Gaya elingulata,Malvaceae,Gaya,elingulata,"Krapov., Tressens & A.Fernández",tax_nov,spec.,"Bol. Soc. Argent. Bot. 16: 97[-99], f. 2. 1974 ",Bol. Soc. Argent. Bot.,1974,"16: 97[-99], f. 2",1242-2,holotype CTES,A.Krapovickas,12882,NA,"Bahia (Brazil, Southern America)",NA,107819-2,NA,NA,www.ipni.org/n/107819-2,IPNI
Gossypium brasiliense,Malvaceae,Gossypium,brasiliense,Macfad.,tax_nov,spec.,Fl. Jamaica [Macfadyen] 1: 72 (-73). 1837 ,Fl. Jamaica [Macfadyen],1837,1: 72 (-73),16046-2,NA,NA,NA,NA,Brazil (Southern America),NA,112665-2,NA,NA,www.ipni.org/n/112665-2,IPNI
Gossypium caicoense,Malvaceae,Gossypium,caicoense,"C.Aranha, Leitão & Gridi-Papp",tax_nov,spec.,"Bragantia 28(no. 23): 274, figs. 1-7. 1969 [Aug 1969] ",Bragantia,1969,"28(no. 23): 274, figs. 1-7",1910-2,holotype IAC,"C. Aranha, H.P. Leitão Filho &amp; I.L. Gridi-Papp",s.n.,NA,"Rio Grande do Norte (Brazil, Southern America)","Serra da Formiga, município de Caicó — cultivado no Instituto Agronômico do Estado de São Paulo, em casa de vegetação, sob o número Am. 450 — Seção de Algodão",559686-1,Aug 1969,"Species name authorship cited as: Condorcet, Hermógenes et Imre",www.ipni.org/n/559686-1,IPNI
Gossypium guyanense,Malvaceae,Gossypium,guyanense,Raf.,tax_nov,spec.,Sylva Tellur. 16. 1838 [Oct-Dec 1838] ,Sylva Tellur.,1838,16,1074-2,NA,NA,NA,NA,"Brazil (Southern America);Guyana (Northern South America, Southern America);",NA,30102416-2,Oct-Dec 1838,NA,www.ipni.org/n/30102416-2,IPNI
