name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Calathea gracilis,Marantaceae,Calathea,gracilis,Petersen,tax_nov,spec.,FALSE,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1889: 328. 1890 ,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1890,1889: 328,1089-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,41027-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=328&rft.volume=1889&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/41027-2,IPNI,NA,NA,NA,NA,
Calathea picta,Marantaceae,Calathea,picta,Hook.f.,tax_nov,spec.,FALSE,Bot. Mag. 125: t. 7674. 1899 ,Bot. Mag.,1899,125: t. 7674,864-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,41103-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/41103-2,IPNI,NA,NA,NA,NA,
Calathea rodeckiana,Marantaceae,Calathea,rodeckiana,K.Schum.,tax_nov,spec.,FALSE,Pflanzenr. (Engler) IV. 48(Heft 11): 115. 1902 [8 Jul 1902] ,Pflanzenr. (Engler),1902,IV. 48(Heft 11): 115,3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,41120-2,TRUE,NA,8 Jul 1902,NA,NA,www.ipni.org/n/41120-2,IPNI,NA,NA,NA,NA,
Calathea subtilis,Marantaceae,Calathea,subtilis,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 487. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 487",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,41145-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/41145-2,IPNI,NA,NA,NA,NA,
Ischnosiphon argenteus,Marantaceae,Ischnosiphon,argenteus,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 485. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 485",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,130256-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/130256-2,IPNI,NA,NA,NA,NA,
Ischnosiphon concinnus,Marantaceae,Ischnosiphon,concinnus,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 484. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 484",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,130264-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/130264-2,IPNI,NA,NA,NA,NA,
Ischnosiphon flagellatus,Marantaceae,Ischnosiphon,flagellatus,Gleason,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 60: 351. 1933 ,Bull. Torrey Bot. Club,1933,60: 351,586-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,130270-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=351&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/130270-2,IPNI,NA,NA,NA,NA,
Ischnosiphon nemorosus,Marantaceae,Ischnosiphon,nemorosus,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 483. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 483",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,130294-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/130294-2,IPNI,NA,NA,NA,NA,
Ischnosiphon obliquiformis,Marantaceae,Ischnosiphon,obliquiformis,Loes.,tax_nov,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 272 (-273). 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 272 (-273),3558-2,FALSE,holotype B-destroyed,E.H.G.Ule,8106,NA,Brazil (Southern America),NA,130296-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=272&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/130296-2,IPNI,NA,NA,NA,NA,
Ischnosiphon simplex,Marantaceae,Ischnosiphon,simplex,Huber,tax_nov,spec.,FALSE,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 411. 1902 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,3: 411,858-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,130308-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/130308-2,IPNI,NA,NA,NA,NA,
