name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Aciotis aequatorialis,Melastomataceae,Aciotis,aequatorialis,Cogn.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 14(3): 464. 1885 [1 May 1885] ,Fl. Bras. (Martius),1885,14(3): 464,629-2,FALSE,lectotype M,R.Spruce,1152,NA,"vicinibus Barra, Prov. Rio Negro, Amazonas (Brazil, Southern America)",NA,323189-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146852&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 May 1885,NA,NA,www.ipni.org/n/323189-2,IPNI,NA,NA,NA,NA,
Aciotis amazonica,Melastomataceae,Aciotis,amazonica,Cogn.,tax_nov,spec.,FALSE,"Fl. Bras. (Martius) 14(3): 461, t. 105, fig. 1. 1885 [1 May 1885] ",Fl. Bras. (Martius),1885,"14(3): 461, t. 105, fig. 1",629-2,FALSE,null BR,E.F.Poeppig,2919,NA,"Amazonas (Brazil, Southern America)",NA,325231-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146851&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 May 1885,NA,NA,www.ipni.org/n/325231-2,IPNI,NA,NA,NA,NA,
Aciotis anomala,Melastomataceae,Aciotis,anomala,Brade,tax_nov,spec.,FALSE,"Publ. Inst. Nac. Pesq. Amazonia Bot. no. 8: 8, tab. 2. 1958 ",Publ. Inst. Nac. Pesq. Amazonia Bot.,1958,"no. 8: 8, tab. 2",14457-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,3192-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/3192-2,IPNI,NA,NA,NA,NA,
Aciotis martiana,Melastomataceae,Aciotis,martiana,Cogn.,tax_nov,spec.,FALSE,"Fl. Bras. (Martius) 14(3): 463, t. 104, fig. 2. 1885 [1 May 1885] ",Fl. Bras. (Martius),1885,"14(3): 463, t. 104, fig. 2",629-2,FALSE,null P,C.F.P.Martius,490,NA,"Bahia (Brazil, Southern America)",NA,325228-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146852&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 May 1885,NA,NA,www.ipni.org/n/325228-2,IPNI,NA,NA,NA,NA,
Aciotis spiritusanctensis,Melastomataceae,Aciotis,spiritusanctensis,Brade,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 16: 11 (t. 6). 1959 ,Arch. Jard. Bot. Rio de Janeiro,1959,16: 11 (t. 6),848-2,FALSE,null RB,"J.Mendonça, J.Vieira",28,NA,"Espirito Santo (Brazil, Southern America)",NA,3219-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/3219-2,IPNI,NA,NA,NA,NA,
Acisanthera gracilis,Melastomataceae,Acisanthera,gracilis,Ule,tax_nov,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 349. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 349,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,3237-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=349&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/3237-2,IPNI,NA,NA,NA,NA,
Acisanthera nana,Melastomataceae,Acisanthera,nana,Ule,tax_nov,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 349. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 349,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,3242-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=349&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/3242-2,IPNI,NA,NA,NA,NA,
Acisanthera rosulans,Melastomataceae,Acisanthera,rosulans,Huber,tax_nov,spec.,FALSE,Bol. Mus. Paraense Hist. Nat. Ethnogr. 2: 509. 1898 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1898,2: 509,858-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,3247-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/3247-2,IPNI,NA,NA,NA,NA,
Acisanthera saxatilis,Melastomataceae,Acisanthera,saxatilis,Almeda & R.B.Pacifico,tax_nov,spec.,FALSE,"Acta Bot. Brasil. 36-e2021abb0281: 2, figs. 1-5. 2022 [2 May 2022] [epublished]",Acta Bot. Brasil.,2022,"36-e2021abb0281: 2, figs. 1-5",1225-2,FALSE,holotype HUEM;isotype CAS;isotype CEPEC;isotype K;isotype RB,R. B. Pacifico,416,5 Jul 2018,"Mato Grosso (Brazil, Southern America)","'Chapada dos Guimarães, Parque Nacional da Chapada dos Guimarães, Trilha para o Morro São Jerônimo, (-15.4405, -55.83825), elev. 704 m'",77299428-1,TRUE,NA,2 May 2022,"Etymology: 'The specific epithet, saxatilis, which means living among rocks, highlights the habitat preference of this species on exposed rocky outcrops of the Chapada dos Guimarães' doi:10.1590/0102-33062021abb0281",[epublished],www.ipni.org/n/77299428-1,IPNI,NA,NA,NA,NA,
Adelobotrys acreanus,Melastomataceae,Adelobotrys,acreanus,Wurdack,tax_nov,spec.,FALSE,Phytologia 24: 195. 1972 ,Phytologia,1972,24: 195,1034-2,FALSE,holotype US," P.J.M.Maas, J.F.Lima, K.Kubitzki, W.C.Steward,G.T.Prance, J.F.Ramos, W.S.Pinheiro",12564,NA,"Acre (Brazil, Southern America)",NA,4218-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.spage=195&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/4218-2,IPNI,NA,NA,NA,NA,
