name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Cabralea cauliflora,Meliaceae,Cabralea,cauliflora,Harms,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 13: 501. 1937 ,Notizbl. Bot. Gart. Berlin-Dahlem,1937,13: 501,1019-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,39045-2,NA,NA,www.ipni.org/n/39045-2,IPNI
Cabralea floribunda,Meliaceae,Cabralea,floribunda,Harms,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 13: 502. 1937 ,Notizbl. Bot. Gart. Berlin-Dahlem,1937,13: 502,1019-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,39048-2,NA,NA,www.ipni.org/n/39048-2,IPNI
Cabralea humilis,Meliaceae,Cabralea,humilis,C.DC.,tax_nov,spec.,"Bull. Herb. Boissier ser. 2, 1: 365. 1901 ",Bull. Herb. Boissier,1901,"ser. 2, 1: 365",573-2,NA,NA,NA,NA,Brazil (Southern America),NA,39049-2,NA,NA,www.ipni.org/n/39049-2,IPNI
Cabralea microcalyx,Meliaceae,Cabralea,microcalyx,Harms,tax_nov,spec.,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 34. 1901 [12 Mar 1901] ",Bot. Jahrb. Syst.,1901,"30(1, Beibl. 67): 34",553-2,NA,NA,NA,NA,"Goiás (Brazil, Southern America)",NA,39054-2,12 Mar 1901,NA,www.ipni.org/n/39054-2,IPNI
Cabralea schwackei,Meliaceae,Cabralea,schwackei,C.DC.,tax_nov,spec.,"Bull. Herb. Boissier ser. 2, 1: 365. 1901 ",Bull. Herb. Boissier,1901,"ser. 2, 1: 365",573-2,NA,NA,NA,NA,Brazil (Southern America),NA,39068-2,NA,NA,www.ipni.org/n/39068-2,IPNI
Cabralea villosa,Meliaceae,Cabralea,villosa,C.DC.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 10: 134. 1907 ,Annuaire Conserv. Jard. Bot. Genève,1907,10: 134,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,39070-2,NA,NA,www.ipni.org/n/39070-2,IPNI
Cedrela barbata,Meliaceae,Cedrela,barbata,C.DC.,tax_nov,spec.,Bull. Herb. Boissier 2: 575. 1894 ,Bull. Herb. Boissier,1894,2: 575,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,50979-2,NA,NA,www.ipni.org/n/50979-2,IPNI
Cedrela caldasana,Meliaceae,Cedrela,caldasana,C.DC.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 10: 170. 1907 ,Annuaire Conserv. Jard. Bot. Genève,1907,10: 170,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,50984-2,NA,NA,www.ipni.org/n/50984-2,IPNI
Cedrela longiflora,Meliaceae,Cedrela,longiflora,C.DC.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 10: 173. 1907 ,Annuaire Conserv. Jard. Bot. Genève,1907,10: 173,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,50999-2,NA,NA,www.ipni.org/n/50999-2,IPNI
Cedrela mourae,Meliaceae,Cedrela,mourae,C.DC.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 10: 171. 1907 ,Annuaire Conserv. Jard. Bot. Genève,1907,10: 171,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,51007-2,NA,NA,www.ipni.org/n/51007-2,IPNI
Cedrela pachyrhachis,Meliaceae,Cedrela,pachyrhachis,C.DC.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 10: 174. 1907 ,Annuaire Conserv. Jard. Bot. Genève,1907,10: 174,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,51012-2,NA,NA,www.ipni.org/n/51012-2,IPNI
Cedrela palustris,Meliaceae,Cedrela,palustris,Handro,tax_nov,spec.,"Arq. Bot. Estado Sao Paulo (n. s.) 3: 223, tab. 54A. 1962 ",Arq. Bot. Estado Sao Paulo,1962,"(n. s.) 3: 223, tab. 54A",850-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,51013-2,NA,NA,www.ipni.org/n/51013-2,IPNI
Cedrela pilgeri,Meliaceae,Cedrela,pilgeri,C.DC.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 10: 175. 1907 ,Annuaire Conserv. Jard. Bot. Genève,1907,10: 175,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,51018-2,NA,NA,www.ipni.org/n/51018-2,IPNI
Cedrela regnellii,Meliaceae,Cedrela,regnellii,C.DC.,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 10: 174. 1907 ,Annuaire Conserv. Jard. Bot. Genève,1907,10: 174,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,51020-2,NA,NA,www.ipni.org/n/51020-2,IPNI
Cedrela tubiflora,Meliaceae,Cedrela,tubiflora,Bertoni,tax_nov,spec.,"Anales Ci. Parag. ser. 2, 2: 135. 1918 ",Anales Ci. Parag.,1918,"ser. 2, 2: 135",1346-2,NA,NA,NA,NA,"Paraguay, Brazil &amp; Argentina (Misiones)",NA,51029-2,NA,NA,www.ipni.org/n/51029-2,IPNI
Guarea bilocularis,Meliaceae,Guarea,bilocularis,C.DC.,tax_nov,spec.,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 435. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,5: 435,4221-2,NA,NA,NA,NA,Brazil (Southern America),NA,114017-2,NA,NA,www.ipni.org/n/114017-2,IPNI
Guarea jaeggiana,Meliaceae,Guarea,jaeggiana,C.DC.,tax_nov,spec.,Bull. Herb. Boissier 2: 570. 1894 ,Bull. Herb. Boissier,1894,2: 570,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,114067-2,NA,NA,www.ipni.org/n/114067-2,IPNI
Guarea mucronulata,Meliaceae,Guarea,mucronulata,C.DC.,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 499. 1917 ,Notizbl. Königl. Bot. Gart. Berlin,1917,6: 499,3558-2,NA,NA,NA,NA,Brazil (Southern America),NA,114090-2,NA,NA,www.ipni.org/n/114090-2,IPNI
Guarea odorata,Meliaceae,Guarea,odorata,C.DC.,tax_nov,spec.,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 239. 1901 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1901,3: 239,858-2,NA,NA,NA,NA,Brazil (Southern America),NA,114094-2,NA,NA,www.ipni.org/n/114094-2,IPNI
