name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Bracteanthus atlanticus,Monimiaceae,Bracteanthus,atlanticus,Jangoux,tax_nov,spec.,FALSE,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 118, figs. 1, 4a. 1991 ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 118, figs. 1, 4a",1871-2,FALSE,holotype CEPEC;isotype IAN;isotype MG;isotype NY,"R.P.Belém, R.S.Pinheiro",2207,NA,"Bahia (Brazil, Southern America)",NA,301886-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/301886-2,IPNI,NA,NA,NA,NA,
Mollinedia aphanantha,Monimiaceae,Mollinedia,aphanantha,Perkins,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 27(5): 658. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,27(5): 658,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163065-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=658&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Feb 1900,NA,NA,www.ipni.org/n/163065-2,IPNI,NA,NA,NA,NA,
Mollinedia arianeae,Monimiaceae,Mollinedia,arianeae,Lírio & M.Pignal,tax_nov,spec.,FALSE,"Adansonia sér. 3, 45(6): 86. 2023 [13 Mar 2023] ",Adansonia,2023,"sér. 3, 45(6): 86",833-2,FALSE,"holotype P P01167582;isotype F;isotype E;isotype GH;isotype K;isotype L;isotype MA;isotype LZ LZ177460;isotype MO MO100910703;isotype NY NY02692301;isotype W W20150005057, W20150005058","I.Gottsberger, G.Gottsberger &amp; W.Morawetz",15-13878,13 Aug 1978,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)","Serra da Mantiqueira, Maciço do Itatiaia, Parque Nacional do Itatiaia; entre a cascata de Maromba e cascata Véu de Noiva",77308394-1,TRUE,NA,13 Mar 2023,doi:10.5252/adansonia2023v45a6 Etymology: In honour of Dr Ariane Luna Peixoto (Instituto Jardim Botânico do Rio de Janeiro).,NA,www.ipni.org/n/77308394-1,IPNI,NA,NA,NA,NA,
Mollinedia blumenaviana,Monimiaceae,Mollinedia,blumenaviana,Perkins,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 27(5): 669. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,27(5): 669,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163068-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=669&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Feb 1900,NA,NA,www.ipni.org/n/163068-2,IPNI,NA,NA,NA,NA,
Mollinedia calodonta,Monimiaceae,Mollinedia,calodonta,Perkins,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 27(5): 678, pl. 10. 1900 [23 Feb 1900] ",Bot. Jahrb. Syst.,1900,"27(5): 678, pl. 10",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163070-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=678&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Feb 1900,NA,NA,www.ipni.org/n/163070-2,IPNI,NA,NA,NA,NA,
Mollinedia canfieldiae,Monimiaceae,Mollinedia,canfieldiae,Perkins,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 27(5): 676, pl. 9. 1900 [23 Feb 1900] ",Bot. Jahrb. Syst.,1900,"27(5): 676, pl. 9",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163073-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=676&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Feb 1900,NA,NA,www.ipni.org/n/163073-2,IPNI,NA,NA,NA,NA,
Mollinedia chrysolaena,Monimiaceae,Mollinedia,chrysolaena,Perkins,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 31(4-5): 744. 1902 [29 Aug 1902] ,Bot. Jahrb. Syst.,1902,31(4-5): 744,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163076-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=744&rft.volume=31&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,29 Aug 1902,NA,NA,www.ipni.org/n/163076-2,IPNI,NA,NA,NA,NA,
Mollinedia chrysophylla,Monimiaceae,Mollinedia,chrysophylla,Perkins,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 27(5): 651, pl. 9. 1900 [23 Feb 1900] ",Bot. Jahrb. Syst.,1900,"27(5): 651, pl. 9",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163077-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=651&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Feb 1900,NA,NA,www.ipni.org/n/163077-2,IPNI,NA,NA,NA,NA,
Mollinedia chrysorrachis,Monimiaceae,Mollinedia,chrysorrachis,Perkins,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 27(5): 665. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,27(5): 665,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163078-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=665&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Feb 1900,NA,NA,www.ipni.org/n/163078-2,IPNI,NA,NA,NA,NA,
Mollinedia corcovadensis,Monimiaceae,Mollinedia,corcovadensis,Perkins,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 27(5): 666. 1900 [23 Feb 1900] ,Bot. Jahrb. Syst.,1900,27(5): 666,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,163082-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=5&rft.spage=666&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,23 Feb 1900,NA,NA,www.ipni.org/n/163082-2,IPNI,NA,NA,NA,NA,
