name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Artocarpus brasiliensis,Moraceae,Artocarpus,brasiliensis,Gomes,tax_nov,spec.,FALSE,"Observ. Bot.-Med. Nonnullis Bras. Pl. 2: 34, t. 5. 1803 ",Observ. Bot.-Med. Nonnullis Bras. Pl.,1803,"2: 34, t. 5",18395-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,60458788-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/60458788-2,IPNI,NA,NA,NA,NA,
Brosimum microcarpum,Moraceae,Brosimum,microcarpum,Schott,tax_nov,spec.,FALSE,"Syst. Veg., ed. 16 [Sprengel] 4(2, Cur. Post.): 403. 1827 [Jan-Jun 1827] ","Syst. Veg., ed. 16 [Sprengel]",1827,"4(2, Cur. Post.): 403",14620-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,850835-1,TRUE,NA,Jan-Jun 1827,NA,NA,www.ipni.org/n/850835-1,IPNI,NA,NA,NA,NA,
Brosimum uleanum,Moraceae,Brosimum,uleanum,Mildbr.,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 10: 191. 1927 ,Notizbl. Bot. Gart. Berlin-Dahlem,1927,10: 191,1019-2,FALSE,NA,NA,NA,NA,"Peru, Brazil",NA,37314-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1927&rft.spage=191&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/37314-2,IPNI,NA,NA,NA,NA,
Dorstenia albertii,Moraceae,Dorstenia,albertii,"Carauta, C.Valente & Sucre",tax_nov,spec.,FALSE,Atas Soc. Biol. Rio de Janeiro 17: 63-67. 1974 ,Atas Soc. Biol. Rio de Janeiro,1974,17: 63-67,11858-2,FALSE,holotype RB;isotype GUA,"D.B.Sucre, T.R.Soderstrom",8920,NA,"Mpio. de Mimoso do Sul: vertente suleste de morro, ca. 30¹m, Espirito Santo (Brazil, Southern America)",NA,306634-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/306634-2,IPNI,NA,NA,NA,NA,
Dorstenia macahensis,Moraceae,Dorstenia,macahensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 640. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 640,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,83086-2,FALSE,NA,NA,nom. nud.?,NA,www.ipni.org/n/83086-2,IPNI,NA,NA,NA,NA,
Dorstenia mariae,Moraceae,Dorstenia,mariae,"Carauta, J.M.Albuq. & R.M.Castro",tax_nov,spec.,FALSE,Albertoa 8: 54 (53-56; fig.). 2002 [Jun 2002] ,Albertoa,2002,8: 54 (53-56; fig.),3517-2,FALSE,holotype R;isotype GUA;isotype HB;isotype RB;isotype UNB," E.Cramasco, D.Assumpçao, B.E.Diaz,J.P.P.Carauta, R.A.Kaustky",7130,NA,"Mun. de Guarapari, 20°31'27S, 40°39'14W, Espirito Santo (Brazil, Southern America)",NA,323485-2,TRUE,NA,Jun 2002,Eponymy: specific epithet honors: Maria Werneck de Castro (1905-2000),NA,www.ipni.org/n/323485-2,IPNI,NA,NA,NA,NA,
Dorstenia pseudo-opifera,Moraceae,Dorstenia,pseudo-opifera,Hassl.,tax_nov,spec.,FALSE,Annuaire Conserv. Jard. Bot. Genève 21: 117. 1919 ,Annuaire Conserv. Jard. Bot. Genève,1919,21: 117,1145-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,83107-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=117&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/83107-2,IPNI,NA,NA,NA,NA,
Ficus carautia,Moraceae,Ficus,carautia,L.J.Neves & Emygdio,tax_nov,spec.,FALSE,"Bradea 6: 37, fig. 2. 1992 ",Bradea,1992,"6: 37, fig. 2",1276-2,FALSE,holotype R,L.Emygdio de Mello Filho,5078,NA,"Mato Grosso (Brazil, Southern America)",NA,306768-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/306768-2,IPNI,NA,NA,NA,NA,
Ficus doratophylla,Moraceae,Ficus,doratophylla,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104506-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104506-2,IPNI,NA,NA,NA,NA,
Ficus erubescens,Moraceae,Ficus,erubescens,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,104519-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/104519-2,IPNI,NA,NA,NA,NA,
