name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Cathedra rupestris,Olacaceae,Cathedra,rupestris,D.S.Lucena & M.Alves,tax_nov,spec.,FALSE,Syst. Bot. 46(3): 709. 2021 [25 Oct 2021] [epublished],Syst. Bot.,2021,46(3): 709,1295-2,FALSE,holotype CEPEC 18843;isotype L L1665078;isotype NY NY00396123;isotype RB RB00268638,S.A.Mori &amp; F.P.Benton,13097,21 Dec 1979,"Bahia (Brazil Northeast, Brazil, Southern America)","Andaraí, Nova Rodovia Andaraí/Mucugê",77254925-1,TRUE,NA,25 Oct 2021,doi:10.1600/036364421X16312067913336,[epublished],www.ipni.org/n/77254925-1,IPNI,NA,NA,NA,NA,
Heisteria longipedicellata,Olacaceae,Heisteria,longipedicellata,D.S.Lucena & M.Alves,tax_nov,spec.,FALSE,Acta Bot. Brasil. 35(4): 563. 2022 [4 Feb 2022] [epublished],Acta Bot. Brasil.,2022,35(4): 563,1225-2,FALSE,holotype M 0244279,"G.Hatschbach, M.Hatschbbach &amp; J.M.Silva",71534,23 Oct 2000,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Itapemirim, região do Gomes",77299359-1,TRUE,NA,4 Feb 2022,doi:10.1590/0102-33062020abb0433,[epublished],www.ipni.org/n/77299359-1,IPNI,NA,NA,NA,NA,
Pogopetalum nitens,Olacaceae,Pogopetalum,nitens,Benth.,tax_nov,spec.,FALSE,London J. Bot. 2: 377. 1843 ,London J. Bot.,1843,2: 377,704-2,FALSE,lectotype K;isolectotype G;isolectotype K;isolectotype NY,George Gardner,3309,NA,"Goiás (Brazil, Southern America)",NA,608249-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1843&rft.spage=377&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/608249-1,IPNI,NA,NA,NA,NA,
Olax singularis,Olacaceae,Olax,singularis,(Vell.) Christenh. & Byng,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77183934-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77183934-1,
Olax egleri,Olacaceae,Olax,egleri,(Bastos) Christenh. & Byng,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77184011-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77184011-1,
Olax redmondii,Olacaceae,Olax,redmondii,(Steyerm.) Christenh. & Byng,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77183913-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77183913-1,
Olax papillosa,Olacaceae,Olax,papillosa,(Bastos) Christenh. & Byng,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77183766-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77183766-1,
Olax inopiflora,Olacaceae,Olax,inopiflora,(Miers) Christenh. & Byng,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77183948-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77183948-1,
Olax guianensis,Olacaceae,Olax,guianensis,(Engl.) Christenh. & Byng,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77184192-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77184192-1,
Olax candida,Olacaceae,Olax,candida,(Poepp.) Christenh. & Byng,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77183600-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77183600-1,
