name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Biophytum peruvianum,Oxalidaceae,Biophytum,peruvianum,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 95] 4, Fam. 130: 402. 1930 ",Pflanzenr. (Engler),1930,"[Heft 95] 4, Fam. 130: 402",3295-2,FALSE,NA,NA,NA,NA,"Peru, Brazil (Amazonas), Bolivia",NA,33263-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/33263-2,IPNI,NA,NA,NA,NA,
Oxalis alta,Oxalidaceae,Oxalis,alta,R.Knuth,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 7: 294. 1919 ,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 294,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,177730-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=294&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177730-2,IPNI,NA,NA,NA,NA,
Oxalis amara,Oxalidaceae,Oxalis,amara,A.St.-Hil.,tax_nov,spec.,FALSE,Fl. Bras. Merid. (A. St.-Hil.). 1: 119 (-120). 1825 ,Fl. Bras. Merid. (A. St.-Hil.).,1825,1: 119 (-120),8262-2,FALSE,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,177731-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=119&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177731-2,IPNI,NA,NA,NA,NA,
Oxalis argentina,Oxalidaceae,Oxalis,argentina,R.Knuth,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 7: 313. 1919 ,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 313,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,177758-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=313&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177758-2,IPNI,NA,NA,NA,NA,
Oxalis arrojadoi,Oxalidaceae,Oxalis,arrojadoi,R.Knuth,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 8: 425. 1923 ,Notizbl. Bot. Gart. Berlin-Dahlem,1923,8: 425,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,177759-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1923&rft.spage=425&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177759-2,IPNI,NA,NA,NA,NA,
Oxalis bialata,Oxalidaceae,Oxalis,bialata,Fredr. ex Norlind,tax_nov,spec.,FALSE,"Ark. Bot. 14, no. 6: 5, pl. 1. 1915 ",Ark. Bot.,1915,"14, no. 6: 5, pl. 1",536-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,177789-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/177789-2,IPNI,NA,NA,NA,NA,
Oxalis blanchetii,Oxalidaceae,Oxalis,blanchetii,R.Knuth,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 95] 4, Fam. 130: 83. 1930 ",Pflanzenr. (Engler),1930,"[Heft 95] 4, Fam. 130: 83",3295-2,FALSE,NA,NA,NA,NA,"Bahia (Brazil, Southern America)",NA,177798-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/177798-2,IPNI,NA,NA,NA,NA,
Oxalis brevipes,Oxalidaceae,Oxalis,brevipes,Fredr.,tax_nov,spec.,FALSE,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 22(Afd. 3, no. 10): 8. 1897 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1897,"22(Afd. 3, no. 10): 8",546-2,FALSE,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,177808-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/177808-2,IPNI,NA,NA,NA,NA,
Oxalis caespitosa,Oxalidaceae,Oxalis,caespitosa,A.St.-Hil.,tax_nov,spec.,FALSE,Fl. Bras. Merid. (A. St.-Hil.). 1: 97. 1825 ,Fl. Bras. Merid. (A. St.-Hil.).,1825,1: 97,8262-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,177827-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=97&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177827-2,IPNI,NA,NA,NA,NA,
Oxalis calcicola,Oxalidaceae,Oxalis,calcicola,Fiaschi,tax_nov,spec.,FALSE,Brittonia 66(2): 138. 2013 [10 Sep 2013] [epublished],Brittonia,2013,66(2): 138,561-2,FALSE,holotype SPF;isotype BHCB;isotype NY,"A.Conceição, A.A.Grillo &amp; M.Sztutman",CFSC13985,10 Apr 1995,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Mun. Santana do Riacho, Serra do Cipó",60466863-2,TRUE,NA,10 Sep 2013,doi:10.1007/s12228-013-9315-z,[epublished],www.ipni.org/n/60466863-2,IPNI,NA,NA,NA,NA,
