name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Passiflora acreana,Passifloraceae,Passiflora,acreana,Mezzonato & Marc.Silveira,tax_nov,spec.,FALSE,Phytotaxa 579(1): 40. 2023 [13 Jan 2023] [epublished],Phytotaxa,2023,579(1): 40,20011462-1,FALSE,holotype CESJ;isotype UFACPZ,"M.Oliveira, M.Silveira, I.Oliveira, C.Gonçalves, L.Guimarães &amp; M.Caniso",105,25 Jan 2020,"Acre (Brazil North, Brazil, Southern America)","Rio Branco, APA Lago do Amapá. Bacia do rio Acre, margem direita do rio Acre, 147 m",77311967-1,TRUE,NA,13 Jan 2023,doi:10.11646/phytotaxa.579.1.4,[epublished],www.ipni.org/n/77311967-1,IPNI,NA,NA,NA,NA,
Passiflora bacabensis,Passifloraceae,Passiflora,bacabensis,"Mezzonato, E.O.Silva & E.A.Oliveira",tax_nov,spec.,FALSE,Nordic J. Bot. 39(8)-e03279: 2. 2021 [1 Sep 2021] [epublished],Nordic J. Bot.,2021,39(8)-e03279: 2,2633-2,FALSE,holotype CESJ;isotype CESJ,"N.C.C.S.Prestes, E.L.Oliveira &amp; E.A.Oliveira",1217,22 Aug 2019,"Mato Grosso (Brazil West-Central, Brazil, Southern America)","Nova Xavantina: Parque Municipal do Bacaba (Bacaba Municipal Park), 333 m",77295664-1,TRUE,NA,1 Sep 2021,doi:10.1111/njb.03279,[epublished],www.ipni.org/n/77295664-1,IPNI,NA,NA,NA,NA,
Passiflora cabedelensis,Passifloraceae,Passiflora,cabedelensis,Barb.Rodr.,tax_nov,spec.,FALSE,"Vellosia ed. 2, 1: 30, pl. 13c. 1891 ",Vellosia,1891,"ed. 2, 1: 30, pl. 13c",3884-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,184826-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/184826-2,IPNI,NA,NA,NA,NA,
Passiflora campestris,Passifloraceae,Passiflora,campestris,Barb.Rodr.,tax_nov,spec.,FALSE,"Pl. Mattogross. 25, pl. 9. 1898 ",Pl. Mattogross.,1898,"25, pl. 9",16449-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,184834-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/184834-2,IPNI,NA,NA,NA,NA,
Passiflora caparaoensis,Passifloraceae,Passiflora,caparaoensis,"Magro-Moraes, M.A.M.Azevedo & Gelli de Faria",tax_nov,spec.,FALSE,Phytotaxa 545(2): 141. 2022 [10 May 2022] [epublished],Phytotaxa,2022,545(2): 141,20011462-1,FALSE,holotype CESJ,A.M.Moraes &amp; A.P.G.Faria,376,24 Jan 2019,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Alto Caparaó, Parque Nacional do Caparaó, Tronqueira, 2000 m",77297580-1,TRUE,NA,10 May 2022,"doi:10.11646/phytotaxa.545.2.3 Etymology: The specific epithet refers to the type locality, the region of Caparaó (between Minas Gerais and Espírito Santo states), and that gives the name to Caparaó National Park.",[epublished],www.ipni.org/n/77297580-1,IPNI,NA,NA,NA,NA,
Passiflora carajasensis,Passifloraceae,Passiflora,carajasensis,A.K.Koch & Ilk.-Borg.,tax_nov,spec.,FALSE,Nordic J. Bot. 39(3)-e03033: 2. 2021 [17 Mar 2021] [epublished],Nordic J. Bot.,2021,39(3)-e03033: 2,2633-2,FALSE,holotype MG MG216046,A.Gil &amp; A.L.Ilkiu-Borges,547,4 Sep 2015,"Pará (Brazil North, Brazil, Southern America)","Parauapebas, Serra dos Carajás, urban nucleus of Vale",77216647-1,TRUE,NA,17 Mar 2021,doi:10.1111/njb.03033,[epublished],www.ipni.org/n/77216647-1,IPNI,NA,NA,NA,NA,
Passiflora cearaensis,Passifloraceae,Passiflora,cearaensis,Barb.Rodr.,tax_nov,spec.,FALSE,"Contr. Jard. Bot. Rio de Janeiro 4: 92, tab. 16. 1907 ",Contr. Jard. Bot. Rio de Janeiro,1907,"4: 92, tab. 16",3500-2,FALSE,NA,NA,NA,NA,"Ceará (Brazil, Southern America)",NA,184847-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=92&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/184847-2,IPNI,NA,NA,NA,NA,
Passiflora coelestis,Passifloraceae,Passiflora,coelestis,Parteka & A.Silvério,tax_nov,spec.,FALSE,Phytotaxa 516(2): 148. 2021 [24 Aug 2021] [epublished],Phytotaxa,2021,516(2): 148,20011462-1,FALSE,holotype HCF HCF6355;isotype MBM 397156,A.Suchoronczek &amp; A.Silvério,s.n.,20 Nov 2014,"Paraná (Brazil South, Brazil, Southern America)",Pinhão: Faxinal do Céu,77221259-1,TRUE,NA,24 Aug 2021,"doi:10.11646/phytotaxa.516.2.2 The specific epithet refers to Faxinal do Céu, the place where the plant was found, with 'Céu' meaning 'heaven' in Portuguese.",[epublished],www.ipni.org/n/77221259-1,IPNI,NA,NA,NA,NA,
Passiflora curumbaensis,Passifloraceae,Passiflora,curumbaensis,Barb.Rodr.,tax_nov,spec.,FALSE,"Pl. Mattogross. 27, pl. 10. 1898 ",Pl. Mattogross.,1898,"27, pl. 10",16449-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,184889-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/184889-2,IPNI,NA,NA,NA,NA,
Passiflora hydrophila,Passifloraceae,Passiflora,hydrophila,Barb.Rodr.,tax_nov,spec.,FALSE,"Vellosia 1: 30, pl. 13. 1888 ",Vellosia,1888,"1: 30, pl. 13",3884-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,185004-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=30&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/185004-2,IPNI,NA,NA,NA,NA,
Passiflora ita,Passifloraceae,Passiflora,ita,"Mezzonato, R.S.Ribeiro & Gonella",tax_nov,spec.,FALSE,Willdenowia 51(3): 372. 2021 [14 Dec 2021] [epublished],Willdenowia,2021,51(3): 372,3087-2,FALSE,holotype CESJ;isotype MBML,P.M.Gonella et al.,1565,21 Aug 2020,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);","Minas Gerais, Conselheiro Pena, Serra do Padre Ângelo, Pico do Padre Ângelo, 1480 m",77254941-1,TRUE,NA,14 Dec 2021,"doi:10.3372/wi.51.51305 The specific epithet is a noun in apposition, originating in the noun itá of the Tupi-Guarani language, meaning 'rock' (Carvalho 1987). The epithet alludes to the rupicolous habit of the species, growing among and over rocks.",[epublished],www.ipni.org/n/77254941-1,IPNI,NA,NA,NA,NA,
Passiflora jorgeana,Passifloraceae,Passiflora,jorgeana,Mezzonato,tax_nov,spec.,FALSE,Novon 29: 2. 2021 [5 Feb 2021] [epublished],Novon,2021,29: 2,14256-2,FALSE,holotype RB,"L.S.B. Calazans, R.T.Valadares &amp; J.G.Rando",592,20 Mar 2016,"Bahia (Brazil Northeast, Brazil, Southern America)","Barreiras, estrada de terra de acesso à Cachoeira do Acaba-Vidas, 724 m",77254961-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2021&rft.spage=2&rft.volume=29&rft_id=http://www.biodiversitylibrary.org/bibliography/744&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,5 Feb 2021,"doi:10.3417/2020630 Named in memory of Jorge Mário Pires, the first author’s father and her eternal personal and professional inspiration. Additionally, 'Jorge' comes from the Greek, meaning 'one who works on the land', which is appropriate for a Passiflora that survives in the very narrow Cerrado from Barreiras, surrounded by extensive crops.",[epublished],www.ipni.org/n/77254961-1,IPNI,NA,NA,NA,NA,
Passiflora lonchophora,Passifloraceae,Passiflora,lonchophora,Harms,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 10: 813. 1929 ,Notizbl. Bot. Gart. Berlin-Dahlem,1929,10: 813,1019-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,185032-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.spage=813&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/185032-2,IPNI,NA,NA,NA,NA,
Passiflora maguirei,Passifloraceae,Passiflora,maguirei,Killip,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 75: 415. 1948 ,Bull. Torrey Bot. Club,1948,75: 415,586-2,FALSE,NA,NA,NA,NA,British Guiana &amp; Brazil (Amazonas),NA,185050-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1948&rft.spage=415&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/185050-2,IPNI,NA,NA,NA,NA,
Passiflora mediterrana,Passifloraceae,Passiflora,mediterrana,Vell.,tax_nov,spec.,FALSE,Fl. Flumin. Icon. 9: t. 72. 1831 [1827 publ. 29 Oct 1831] ,Fl. Flumin. Icon.,1831,9: t. 72,12892-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,324158-2,FALSE,NA,1827 publ. 29 Oct 1831,NA,NA,www.ipni.org/n/324158-2,IPNI,NA,NA,NA,NA,
Passiflora muralis,Passifloraceae,Passiflora,muralis,Barb.Rodr.,tax_nov,spec.,FALSE,"Vellosia ed. 2, 1: 29, pl. 13b. 1891 ",Vellosia,1891,"ed. 2, 1: 29, pl. 13b",3884-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,185082-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/185082-2,IPNI,NA,NA,NA,NA,
Passiflora neumannii,Passifloraceae,Passiflora,neumannii,A.Cels & J.F.Cels,tax_nov,spec.,FALSE,Ann. Fl. Pomone 1837–38: 251 (1838). ,Ann. Fl. Pomone,1838,1837–38: 251 (1838),6785-2,FALSE,NA,NA,NA,NA,Brazil.,NA,1013952-1,TRUE,NA,1838,NA,NA,www.ipni.org/n/1013952-1,IPNI,NA,NA,NA,NA,
Passiflora purii,Passifloraceae,Passiflora,purii,"Mezzonato, L.M.C.Lima & Gelli de Faria",tax_nov,spec.,FALSE,Acta Bot. Brasil. 36-e20220147: 2. [28 Oct 2022] [epublished],Acta Bot. Brasil.,2022,36-e20220147: 2,1225-2,FALSE,holotype CESJ;isotype RB,A.P.G.de Faria &amp; L.M.C.Lima,239,25 Jan 2021,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",Município de Rio Preto,77312890-1,TRUE,NA,28 Oct 2022,"doi:10.1590/1677-941X-ABB-2022-0122 Etymology: the specific epithet honours the Puri ethnicity, which, before the arrival of the Portuguese, inhabited the regions of SM located in the basins of the Paraíba do Sul River and the upper Rio Doce.",[epublished],www.ipni.org/n/77312890-1,IPNI,NA,NA,NA,NA,
Passiflora timboensis,Passifloraceae,Passiflora,timboensis,T.S.Nunes & L.P.Queiroz,tax_nov,spec.,FALSE,"Syst. Bot. 39(4): 1167. 2014 [9 Jul 2014] [epublished], as 'timboënsis'",Syst. Bot.,2014,39(4): 1167,1295-2,FALSE,holotype HUEFS;isotype CEPEC;isotype NY;isotype K,"Amorim, Jardim, Ferreira, Perdiz, Paixão &amp; Gomes",7027,18 Dec 2007,"Bahia (Brazil Northeast, Brazil, Southern America)","Mun. Amargosa, Serra do Timbó, com acesso pelo Morro Pelado",77147497-1,TRUE,NA,9 Jul 2014,doi:10.1600/036364414X682553,"[epublished], as 'timboënsis'",www.ipni.org/n/77147497-1,IPNI,NA,NA,NA,NA,
