name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Ottonia armondi,Piperaceae,Ottonia,armondi,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 697. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 697,8208-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,177402-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=697&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177402-2,IPNI,NA,NA,NA,NA,
Ottonia douglasii,Piperaceae,Ottonia,douglasii,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 701. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 701,8208-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,177417-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=701&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177417-2,IPNI,NA,NA,NA,NA,
Ottonia grandifolia,Piperaceae,Ottonia,grandifolia,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 705. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 705,8208-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,177430-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=705&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177430-2,IPNI,NA,NA,NA,NA,
Ottonia hammarii,Piperaceae,Ottonia,hammarii,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 705. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 705,8208-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,177431-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=705&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177431-2,IPNI,NA,NA,NA,NA,
Ottonia mendoncae,Piperaceae,Ottonia,mendoncae,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 708. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 708,8208-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,177445-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=708&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177445-2,IPNI,NA,NA,NA,NA,
Ottonia santa-annae,Piperaceae,Ottonia,santa-annae,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 713. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 713,8208-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,177465-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=713&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177465-2,IPNI,NA,NA,NA,NA,
Ottonia santa-ludoviciana,Piperaceae,Ottonia,santa-ludoviciana,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 714. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 714,8208-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,177466-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177466-2,IPNI,NA,NA,NA,NA,
Ottonia santa-ritana,Piperaceae,Ottonia,santa-ritana,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 714. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 714,8208-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,177467-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177467-2,IPNI,NA,NA,NA,NA,
Ottonia stationis,Piperaceae,Ottonia,stationis,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 714. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 714,8208-2,FALSE,NA,NA,NA,NA,"Bahia (Brazil, Southern America)",NA,177469-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177469-2,IPNI,NA,NA,NA,NA,
Ottonia striaticaulis,Piperaceae,Ottonia,striaticaulis,Trel.,tax_nov,spec.,FALSE,Proc. Amer. Philos. Soc. 75: 715. 1935 ,Proc. Amer. Philos. Soc.,1935,75: 715,8208-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,177471-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=715&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/177471-2,IPNI,NA,NA,NA,NA,
