name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Plantago campestris,Plantaginaceae,Plantago,campestris,Hassemer,tax_nov,spec.,FALSE,"PeerJ 9(e11848): 4, figs. 1-7. 2021 [25 Aug 2021] (epublished)",PeerJ,2021,"9(e11848): 4, figs. 1-7",20017696-1,FALSE,holotype HTL,G.Hassemer &amp; J.M.da Silva,812,16 Oct 2015,"Paraná (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);","Paraná: Candói, Lagoa Seca, em lajeado à beira da estrada, 945 m",77218209-1,TRUE,NA,25 Aug 2021,doi:10.7717/peerj.11848,(epublished),www.ipni.org/n/77218209-1,IPNI,NA,NA,NA,NA,
Plantago cantagallensis,Plantaginaceae,Plantago,cantagallensis,Zahlbr. ex Wawra,tax_nov,spec.,FALSE,"Itin. Princ. S. Coburgi 2: 56, pl. 11. 1888 ",Itin. Princ. S. Coburgi,1888,"2: 56, pl. 11",14558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,201260-2,FALSE,NA,NA,"[Gandhi; K. Rahn, Fl. Fanerog. Argentina 3: 13. 1995]",NA,www.ipni.org/n/201260-2,IPNI,NA,NA,NA,NA,
Angelonia bisaccata,Plantaginaceae,Angelonia,bisaccata,Benth.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:798922-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:798922-1,
Bacopa semiserrata,Plantaginaceae,Bacopa,semiserrata,(Schrank) B.L.Rob.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:28365-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:28365-2,
Basistemon pulchellus,Plantaginaceae,Basistemon,pulchellus,(S.Moore) Barringer,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:273134-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:273134-2,
Bacopa pennellii,Plantaginaceae,Bacopa,pennellii,G.M.Barroso & Ichaso,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:28351-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:28351-2,
Angelonia hookeriana,Plantaginaceae,Angelonia,hookeriana,Gardner ex Benth.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:798940-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:798940-1,
Angelonia serrata,Plantaginaceae,Angelonia,serrata,Benth.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:798953-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:798953-1,
Bacopa bacopoides,Plantaginaceae,Bacopa,bacopoides,(Benth.) Pulle,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:28283-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:28283-2,
Chodaphyton ericifolium,Plantaginaceae,Chodaphyton,ericifolium,(Kuntze) Minod,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:57036-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:57036-2,
Scoparia nudicaulis,Plantaginaceae,Scoparia,nudicaulis,Chodat & Hassl.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:230928-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:230928-2,
Scoparia plebeia,Plantaginaceae,Scoparia,plebeia,Cham. & Schltdl.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:809001-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:809001-1,
Matourea scutellarioides,Plantaginaceae,Matourea,scutellarioides,(Benth.) Colletta & V.C.Souza,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77215001-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77215001-1,
Bacopa laxiflora,Plantaginaceae,Bacopa,laxiflora,(Benth.) Edwall,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:1107917-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:1107917-2,
Benjaminia reflexa,Plantaginaceae,Benjaminia,reflexa,(Benth.) D'Arcy,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:31242-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:31242-2,
Limosella australis,Plantaginaceae,Limosella,australis,R.Br.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:329497-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:329497-2,
Nuttallanthus canadensis,Plantaginaceae,Nuttallanthus,canadensis,(L.) D.A.Sutton,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:281417-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:281417-2,
