name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Aemulanthus decumbens,Poaceae,Aemulanthus,decumbens,R.P.Oliveira & F.M.Ferreira,tax_nov,spec.,Bot. J. Linn. Soc. [2024]: [16 of 20]. [4 May 2024] [epublished],Bot. J. Linn. Soc.,2024,[2024]: [16 of 20],1172-2,holotype HUEFS 268238;isotype HUEFS,"R.P.Oliveira, M.C.Dórea, I.L.C.Oliveira &amp; A.A.S.Mascarenhas",2324,5 Sep 2016,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Santa Leopoldina, Fazenda Caioaba, propriedade do Sr. Virloni, c. 240 m",77341525-1,4 May 2024,doi:10.1093/botlinnean/boae017 Etymology: 'The name of this new species refers to the presence of synflorescences only in decumbent culms'.,www.ipni.org/n/77341525-1,IPNI
Agrosticula muralis,Poaceae,Agrosticula,muralis,Raddi,tax_nov,spec.,Agrostogr. Bras. [Raddi] 33. t. 1. f. 2. 1823 ,Agrostogr. Bras. [Raddi],1823,33. t. 1. f. 2,10486-2,lectotype PI;isolectotype PI,Raddi,s.n.,NA,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",Invenitur in veteribus muris prope Rio-janeiro,385356-1,NA,NA,www.ipni.org/n/385356-1,IPNI
Agrostis jurgensii,Poaceae,Agrostis,jurgensii,Hack.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 7: 318. 1909 ,Repert. Spec. Nov. Regni Veg.,1909,7: 318,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,7670-2,NA,NA,www.ipni.org/n/7670-2,IPNI
Anthaenantiopsis racemosa,Poaceae,Anthaenantiopsis,racemosa,Renvoize,tax_nov,spec.,Kew Bull. 42(4): 924. 1987 [11 Nov 1987] ,Kew Bull.,1987,42(4): 924,987-2,holotype PKDC,L.T.D.Dombrowski,6528,NA,Brazil (Southern America),NA,272208-2,11 Nov 1987,NA,www.ipni.org/n/272208-2,IPNI
Apoclada arenicola,Poaceae,Apoclada,arenicola,McClure,tax_nov,spec.,"Smithsonian Contr. Bot. 9: 9, figs. 1,2. 1973 ",Smithsonian Contr. Bot.,1973,"9: 9, figs. 1,2",1335-2,holotype US,A.Chase,11886,NA,"Mato Grosso (Brazil, Southern America)",NA,16493-2,NA,NA,www.ipni.org/n/16493-2,IPNI
Aristida acuminata,Poaceae,Aristida,acuminata,Hack.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 7: 313. 1909 ,Repert. Spec. Nov. Regni Veg.,1909,7: 313,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,19123-2,NA,NA,www.ipni.org/n/19123-2,IPNI
Aristida gardneriana,Poaceae,Aristida,gardneriana,Steud.,tax_nov,spec.,Syn. Pl. Glumac. 1(2): 137. 1854 [1855 publ. 2-3 Mar 1854] ,Syn. Pl. Glumac.,1854,1(2): 137,8010-2,null P?,George Gardner,2371,NA,"Piaui (Brazil, Southern America)",NA,327976-2,1855 publ. 2-3 Mar 1854,NA,www.ipni.org/n/327976-2,IPNI
Aristida marginalis,Poaceae,Aristida,marginalis,Ekman,tax_nov,spec.,"Ark. Bot. 10, no. 17: 23, pl. 3, 6. 1911 ",Ark. Bot.,1911,"10, no. 17: 23, pl. 3, 6",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,19251-2,NA,NA,www.ipni.org/n/19251-2,IPNI
Aristida sellowii,Poaceae,Aristida,sellowii,Mez,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 17: 148. 1921 ,Repert. Spec. Nov. Regni Veg.,1921,17: 148,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,19343-2,NA,NA,www.ipni.org/n/19343-2,IPNI
Aristida succedanea,Poaceae,Aristida,succedanea,Henrard,tax_nov,spec.,"Meded. Rijks-Herb. 58(A): 294, pl. 144. 1932 [1 Jul 1932] Without Latin diagnosis.  Mededeel. Rijks Herb. Leiden, Suppl. 54C: 740, fig. 1933",Meded. Rijks-Herb.,1932,"58(A): 294, pl. 144",1232-2,NA,NA,NA,NA,Brazil (Southern America),NA,19997-2,1 Jul 1932,NA,www.ipni.org/n/19997-2,IPNI
