name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Bredemeyera isabeliana,Polygalaceae,Bredemeyera,isabeliana,Barb.Rodr.,tax_nov,spec.,"Vellosia 1: 5, pl. 4. 1888 ",Vellosia,1888,"1: 5, pl. 4",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,36312-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=5&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/36312-2,IPNI,NA
Monnina confusa,Polygalaceae,Monnina,confusa,Ferreyra,tax_nov,spec.,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot. no. 14: 2. 1963 ","Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot.",1963,no. 14: 2,8297-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,163552-2,NA,NA,NA,www.ipni.org/n/163552-2,IPNI,NA
Monnina wurdackii,Polygalaceae,Monnina,wurdackii,Ferreyra,tax_nov,spec.,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot. no. 14: 4. 1963 ","Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot.",1963,no. 14: 4,8297-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,163703-2,NA,NA,NA,www.ipni.org/n/163703-2,IPNI,NA
Mundia brasiliensis,Polygalaceae,Mundia,brasiliensis,Kunth,tax_nov,spec.,Nov. Gen. Sp. [H.B.K.] 5(23): 307 (ed. fol.); 392 (ed. qto.). 1823 [24 Mar 1823] ,Nov. Gen. Sp. [H.B.K.],1823,5(23): 307 (ed. fol.); 392 (ed. qto.),1023-2,lectotype P,A. F. C. P. Saint-Hilaire,C1 1061,1816,"Sao Paulo (Brazil, Southern America)",prov. de Saint-Paul,60455171-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=23&rft.spage=307&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/640&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,24 Mar 1823,NA,www.ipni.org/n/60455171-2,IPNI,NA
Polygala alfredi,Polygalaceae,Polygala,alfredi,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 172, t. 21. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 172, t. 21",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205357-2,NA,NA,NA,www.ipni.org/n/205357-2,IPNI,NA
Polygala bahiensis,Polygalaceae,Polygala,bahiensis,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 49, t. 15. 1893 ",Mém. Soc. Phys. Genève,1893,"31, pt. 2, no. 2: 49, t. 15",723-2,NA,NA,NA,NA,Brazil (Southern America),NA,205403-2,NA,NA,NA,www.ipni.org/n/205403-2,IPNI,NA
Polygala bennettii,Polygalaceae,Polygala,bennettii,Chodat,tax_nov,spec.,"Mém. Soc. Phys. Genève 30, pt. 2, no. 8: 113, t. 32. 1889 ",Mém. Soc. Phys. Genève,1889,"30, pt. 2, no. 8: 113, t. 32",723-2,NA,NA,NA,NA,Brazil &amp; Paraguay,NA,205409-2,NA,NA,NA,www.ipni.org/n/205409-2,IPNI,NA
Polygala bevilacquae,Polygalaceae,Polygala,bevilacquae,Marques,tax_nov,spec.,Hoehnea 30(3): 213 (-215; fig.). 2003 [30 Dec 2003] ,Hoehnea,2003,30(3): 213 (-215; fig.),2305-2,holotype HRCB;isotype RB,O.Cesar,393,18 Jan 1985,"São Paulo (Brazil Southeast, Brazil, Southern America)",Itirapina,77061720-1,NA,30 Dec 2003,NA,www.ipni.org/n/77061720-1,IPNI,NA
Polygala bracteglandulosa,Polygalaceae,Polygala,bracteglandulosa,Chodat ex Grondona,tax_nov,spec.,"Darwiniana 9: 32, fig. 5. 1949 ",Darwiniana,1949,"9: 32, fig. 5",900-2,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,205428-2,NA,NA,NA,www.ipni.org/n/205428-2,IPNI,NA
Polygala bringelii,Polygalaceae,Polygala,bringelii,J.F.B.Pastore & Antar,tax_nov,spec.,Eur. J. Taxon. 762: 135. 2021 [16 Aug 2021] [epublished],Eur. J. Taxon.,2021,762: 135,20016745-1,holotype CTBS 3715;isotype SPF SPF00220131,G.M.Antar &amp; L.F.Nascimento,380,24 Jan 2014,"Tocantins (Brazil North, Brazil, Southern America)","Mateiros, Próximo a Fazenda Lua Cheia, acessado pela antiga estrada São Felix Mateiros, 543 m",77219129-1,NA,16 Aug 2021,"doi:10.5852/ejt.2021.762.1459 The specific epithet honours Dr João Bernardo de Azevedo Bringel Junior, a prominent Brazilian synanterologist and connoisseur of the Cerrado flora.",www.ipni.org/n/77219129-1,IPNI,https://doi.org/10.5852/ejt.2021.762.1459
