name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Bilderdykia alfonsi-joannis,Polygonaceae,Bilderdykia,alfonsi-joannis,Reitz,tax_nov,spec.,"Anais Bot. Herb. Barbosa Rodrigues 4: 31, tab. 9. 1952 ",Anais Bot. Herb. Barbosa Rodrigues,1952,"4: 31, tab. 9",3877-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,33087-2,NA,NA,NA,www.ipni.org/n/33087-2,IPNI,NA
Bilderdykia binoti,Polygonaceae,Bilderdykia,binoti,R.C.J.Gerard,tax_nov,spec.,"Journ. Soc. Hort. Rhone 1896: 1. Fedde, Rep. Spec. Nov. 14: 242.  1916.  Brazil ?",Journ. Soc. Hort. Rhone,1896,1896: 1,NA,NA,NA,NA,NA,Brazil (Southern America),NA,33101-2,NA,NA,NA,www.ipni.org/n/33101-2,IPNI,NA
Bilderdykia buchholtzii,Polygonaceae,Bilderdykia,buchholtzii,Mez,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 16: 7. 1919 ,Repert. Spec. Nov. Regni Veg.,1919,16: 7,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,33108-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/185631&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/33108-2,IPNI,NA
Coccoloba cerifera,Polygonaceae,Coccoloba,cerifera,Schwacke,tax_nov,spec.,Pl. Nov. Mineir. 7. 1898 ,Pl. Nov. Mineir.,1898,7,11591-2,NA,NA,NA,NA,Brazil (Southern America),NA,62024-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.spage=7&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/62024-2,IPNI,NA
Coccoloba cylindrostachya,Polygonaceae,Coccoloba,cylindrostachya,Lindau,tax_nov,spec.,Bot. Jahrb. Syst. 13(2): 163. 1890 [28 Oct 1890] ,Bot. Jahrb. Syst.,1890,13(2): 163,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,62051-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/200724&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,28 Oct 1890,NA,www.ipni.org/n/62051-2,IPNI,NA
Coccoloba douradensis,Polygonaceae,Coccoloba,douradensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 571. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 571,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,62059-2,NA,NA,NA,www.ipni.org/n/62059-2,IPNI,NA
Coccoloba erecta,Polygonaceae,Coccoloba,erecta,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 572. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 572,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,62065-2,NA,NA,NA,www.ipni.org/n/62065-2,IPNI,NA
Coccoloba lanceolata,Polygonaceae,Coccoloba,lanceolata,Lindau,tax_nov,spec.,Bot. Jahrb. Syst. 17(5): 517. 1893 [7 Nov 1893] ,Bot. Jahrb. Syst.,1893,17(5): 517,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,62118-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/202835&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,7 Nov 1893,NA,www.ipni.org/n/62118-2,IPNI,NA
Coccoloba rubra,Polygonaceae,Coccoloba,rubra,L.B.Sm.,tax_nov,spec.,"J. Wash. Acad. Sci. 45: 197, fig. 1-4. 1955 ",J. Wash. Acad. Sci.,1955,"45: 197, fig. 1-4",686-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,62261-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.spage=197&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/62261-2,IPNI,NA
Coccoloba senae,Polygonaceae,Coccoloba,senae,Lindau,tax_nov,spec.,Bot. Jahrb. Syst. 17(5): 517. 1893 [7 Nov 1893] ,Bot. Jahrb. Syst.,1893,17(5): 517,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,62282-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/202835&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,7 Nov 1893,NA,www.ipni.org/n/62282-2,IPNI,NA
