name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Eichhornia tricolor,Pontederiaceae,Eichhornia,tricolor,Seub.,tax_nov,spec.,FALSE,"Fl. Bras. (Martius) 3(1): 92, t. 11. 1847 [1 Jun 1847] Pontederia tricolor Martius, nom. nud.",Fl. Bras. (Martius),1847,"3(1): 92, t. 11",629-2,FALSE,lectotype B,F.Sellow,164,NA,Brazil (Southern America),NA,303104-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135510&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jun 1847,NA,"Pontederia tricolor Martius, nom. nud.",www.ipni.org/n/303104-2,IPNI,NA,NA,NA,NA,
Hydrothrix barrosoana,Pontederiaceae,Hydrothrix,barrosoana,Machado,tax_nov,spec.,FALSE,"Revista Brasil. Biol. 7: 124, fig. 1947 ",Revista Brasil. Biol.,1947,"7: 124, fig",3736-2,FALSE,NA,NA,NA,NA,"Pernambuco (Brazil, Southern America)",NA,125344-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/125344-2,IPNI,NA,NA,NA,NA,
Pontederia crassipes,Pontederiaceae,Pontederia,crassipes,Mart.,tax_nov,spec.,FALSE,"Nov. Gen. Sp. Pl. (Martius) 1(1): 9, t. 4. 1823 [late 1823 or Jan-Feb 1824] ",Nov. Gen. Sp. Pl. (Martius),1823,"1(1): 9, t. 4",16214-2,FALSE,lectotype M,C.F.P.Martius,60,NA,"Bahia (Brazil, Southern America)",NA,310928-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=1&rft.spage=9&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,late 1823 or Jan-Feb 1824,NA,NA,www.ipni.org/n/310928-2,IPNI,NA,NA,NA,NA,
Pontederia heterantherimorpha,Pontederiaceae,Pontederia,heterantherimorpha,O.Schwartz,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 61(2-3, Beibl. 139): 41. 1927 [15 Jun 1927] ",Bot. Jahrb. Syst.,1927,"61(2-3, Beibl. 139): 41",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,208149-2,TRUE,NA,15 Jun 1927,NA,NA,www.ipni.org/n/208149-2,IPNI,NA,NA,NA,NA,
Reussia grazielae,Pontederiaceae,Reussia,grazielae,Machado,tax_nov,spec.,FALSE,"Revista Brasil. Biol. 7: 177, fig. 3. 1947 ",Revista Brasil. Biol.,1947,"7: 177, fig. 3",3736-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,218796-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/218796-2,IPNI,NA,NA,NA,NA,
Reussia triflora,Pontederiaceae,Reussia,triflora,Endl. ex Seub.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 3(1): 96. 1847 [1 Jun 1847] ,Fl. Bras. (Martius),1847,3(1): 96,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,284198-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135512&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jun 1847,NA,NA,www.ipni.org/n/284198-2,IPNI,NA,NA,NA,NA,
Pontederia meyeri,Pontederiaceae,Pontederia,meyeri,(A.G.Schulz) M.Pell. & C.N.Horn,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:60476935-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:60476935-2,
Heteranthera gardneri,Pontederiaceae,Heteranthera,gardneri,(Hook.f.) M.Pell.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77174590-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77174590-1,
Pontederia paradoxa,Pontederiaceae,Pontederia,paradoxa,Mart. ex Schult. & Schult.f.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:698176-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:698176-1,
Pontederia heterosperma,Pontederiaceae,Pontederia,heterosperma,(Alexander) M.Pell. & C.N.Horn,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77188086-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77188086-1,
