name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Claytonia odorata,Portulacaceae,Claytonia,odorata,Barb.Rodr.,tax_nov,spec.,Vellosia 1: 22. 1888 ,Vellosia,1888,1: 22,3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,60005-2,NA,NA,www.ipni.org/n/60005-2,IPNI
Portulaca catingaensis,Portulacaceae,Portulaca,catingaensis,Poelln.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 50: 109. 1941 ,Repert. Spec. Nov. Regni Veg.,1941,50: 109,788-2,NA,NA,NA,NA,"Pernambuco (Brazil, Southern America)",NA,208545-2,NA,NA,www.ipni.org/n/208545-2,IPNI
Portulaca costata,Portulacaceae,Portulaca,costata,Poelln.,tax_nov,spec.,"Bol. Soc. Brot. sér. 2, 15: 33. 1941 ",Bol. Soc. Brot.,1941,"sér. 2, 15: 33",550-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,208556-2,NA,NA,www.ipni.org/n/208556-2,IPNI
Portulaca diversifolia,Portulacaceae,Portulaca,diversifolia,Poelln.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 33: 160. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,33: 160,788-2,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,208568-2,NA,NA,www.ipni.org/n/208568-2,IPNI
Portulaca irwinii,Portulacaceae,Portulaca,irwinii,D.Legrand,tax_nov,spec.,"Comun. Bot. Mus. Hist. Nat. Montevideo no. 53: 2, fig. 1970 ",Comun. Bot. Mus. Hist. Nat. Montevideo,1970,"no. 53: 2, fig",2549-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,208614-2,NA,NA,www.ipni.org/n/208614-2,IPNI
Portulaca minutiflora,Portulacaceae,Portulaca,minutiflora,Poelln.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 50: 107. 1941 ,Repert. Spec. Nov. Regni Veg.,1941,50: 107,788-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,208632-2,NA,NA,www.ipni.org/n/208632-2,IPNI
Portulaca regnelliana,Portulacaceae,Portulaca,regnelliana,D.Legrand,tax_nov,spec.,"Comun. Bot. Mus. Hist. Nat. Montevideo 2 (no. 27): 6, tab. 3. 1953 ",Comun. Bot. Mus. Hist. Nat. Montevideo,1953,"2 (no. 27): 6, tab. 3",2549-2,NA,NA,NA,NA,Brazil (Southern America),NA,208688-2,NA,NA,www.ipni.org/n/208688-2,IPNI
Portulaca saxi-sacchari,Portulacaceae,Portulaca,saxi-sacchari,Poelln.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 49: 210. 1940 ,Repert. Spec. Nov. Regni Veg.,1940,49: 210,788-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,208694-2,NA,NA,www.ipni.org/n/208694-2,IPNI
Portulaca stipitata,Portulacaceae,Portulaca,stipitata,D.Legrand,tax_nov,spec.,"Anais Reunião Sul-Amer. Bot. 3: 98, fig. 1940 ",Anais Reunião Sul-Amer. Bot.,1940,"3: 98, fig",4693-2,NA,NA,NA,NA,"Pernambuco (Brazil, Southern America)",NA,208701-2,NA,NA,www.ipni.org/n/208701-2,IPNI
Portulaca ulei,Portulacaceae,Portulaca,ulei,Poelln.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 50: 108. 1941 ,Repert. Spec. Nov. Regni Veg.,1941,50: 108,788-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,208709-2,NA,NA,www.ipni.org/n/208709-2,IPNI
Portulaca ferricola,Portulacaceae,Portulaca,ferricola,J.R.Ferraz & Hassemer,NA,Species,Phytotaxa 560: 72 (2022),NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,77304592-1,NA,NA,https://powo.science.kew.org/taxon/77304592-1,POWO
Portulaca daninii,Portulacaceae,Portulaca,daninii,"Galasso, Banfi & Soldano",NA,Species,Atti Soc. Ital. Sci. Nat. Mus. Civico Storia Nat. Milano 152: 96 (2011),NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,77116747-1,NA,NA,https://powo.science.kew.org/taxon/77116747-1,POWO
Portulaca biloba,Portulacaceae,Portulaca,biloba,Urb.,NA,Species,Repert. Spec. Nov. Regni Veg. 22: 355 (1926),NA,1926,NA,NA,NA,NA,NA,NA,NA,NA,208539-2,NA,NA,https://powo.science.kew.org/taxon/208539-2,POWO
