name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Lacunaria acreana,Quiinaceae,Lacunaria,acreana,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 4: 141. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,4: 141,848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,134570-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/134570-2,IPNI,NA,NA,NA,NA,
Lacunaria coriacea,Quiinaceae,Lacunaria,coriacea,A.C.Sm.,tax_nov,spec.,FALSE,Trop. Woods 58: 31. 1939 ,Trop. Woods,1939,58: 31,1085-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,134572-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/134572-2,IPNI,NA,NA,NA,NA,
Lacunaria grandiflora,Quiinaceae,Lacunaria,grandiflora,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 4: 140, pl. 12. 1925 ",Arch. Jard. Bot. Rio de Janeiro,1925,"4: 140, pl. 12",848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,134575-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/134575-2,IPNI,NA,NA,NA,NA,
Lacunaria minor,Quiinaceae,Lacunaria,minor,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 4: 141. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,4: 141,848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,134579-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/134579-2,IPNI,NA,NA,NA,NA,
Lacunaria pulchrinervis,Quiinaceae,Lacunaria,pulchrinervis,Ducke,tax_nov,spec.,FALSE,Arq. Inst. Biol. Veg. 2(2): 169. 1935 [Dec 1935] ,Arq. Inst. Biol. Veg.,1935,2(2): 169,851-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,134583-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=2&rft.spage=169&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Dec 1935,NA,NA,www.ipni.org/n/134583-2,IPNI,NA,NA,NA,NA,
Macrodendron corcovadense,Quiinaceae,Macrodendron,corcovadense,Taub.,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 12(1-2, Beibl. 27): 19, pl. 1, A. 1890 [24 Jun 1890] ",Bot. Jahrb. Syst.,1890,"12(1-2, Beibl. 27): 19, pl. 1, A",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,148886-2,FALSE,NA,24 Jun 1890,NA,NA,www.ipni.org/n/148886-2,IPNI,NA,NA,NA,NA,
Quiina acutangula,Quiinaceae,Quiina,acutangula,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 4: 143. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,4: 143,848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,216641-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/216641-2,IPNI,NA,NA,NA,NA,
Quiina duckei,Quiinaceae,Quiina,duckei,Pires,tax_nov,spec.,FALSE,"Bol. Tecn. Inst. Agron. N. no. 20: 47, tab. 10. 1950 ",Bol. Tecn. Inst. Agron. N.,1950,"no. 20: 47, tab. 10",860-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,216649-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/216649-2,IPNI,NA,NA,NA,NA,
Quiina gracilis,Quiinaceae,Quiina,gracilis,A.C.Sm.,tax_nov,spec.,FALSE,Trop. Woods 58: 26. 1939 ,Trop. Woods,1939,58: 26,1085-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,216651-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/216651-2,IPNI,NA,NA,NA,NA,
Quiina guaporensis,Quiinaceae,Quiina,guaporensis,Pires,tax_nov,spec.,FALSE,Bol. Tecn. Inst. Agron. N. no. 38: 31. 1960 ,Bol. Tecn. Inst. Agron. N.,1960,no. 38: 31,860-2,FALSE,NA,NA,NA,NA,"Rondonia (Terr.) (Brazil, Southern America)",NA,216653-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/216653-2,IPNI,NA,NA,NA,NA,
Quiina juruana,Quiinaceae,Quiina,juruana,Ule,tax_nov,spec.,FALSE,Verh. Bot. Vereins Prov. Brandenburg 48: 184. 1907 ,Verh. Bot. Vereins Prov. Brandenburg,1907,48: 184,823-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,216656-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=184&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/216656-2,IPNI,NA,NA,NA,NA,
Quiina magallano-gomesii,Quiinaceae,Quiina,magallano-gomesii,Schwacke,tax_nov,spec.,FALSE,"Pl. Nov. Mineir. 6, pl. 3. 1898 ",Pl. Nov. Mineir.,1898,"6, pl. 3",11591-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,216660-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/216660-2,IPNI,NA,NA,NA,NA,
Quiina pubescens,Quiinaceae,Quiina,pubescens,A.C.Sm.,tax_nov,spec.,FALSE,Trop. Woods 58: 29. 1939 ,Trop. Woods,1939,58: 29,1085-2,FALSE,NA,NA,NA,NA,"Acre (Brazil, Southern America)",NA,216671-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/216671-2,IPNI,NA,NA,NA,NA,
Quiina rigidifolia,Quiinaceae,Quiina,rigidifolia,Pires,tax_nov,spec.,FALSE,"Bol. Tecn. Inst. Agron. N. no. 20: 45, tab. 9. 1950 ",Bol. Tecn. Inst. Agron. N.,1950,"no. 20: 45, tab. 9",860-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,216672-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/216672-2,IPNI,NA,NA,NA,NA,
Quiina spruceana,Quiinaceae,Quiina,spruceana,Engl.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 12(1): 481. 1888 [1 Apr 1888] ,Fl. Bras. (Martius),1888,12(1): 481,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,216675-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144686&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Apr 1888,NA,NA,www.ipni.org/n/216675-2,IPNI,NA,NA,NA,NA,
Touroulia decastyla,Quiinaceae,Touroulia,decastyla,Radlk.,tax_nov,spec.,FALSE,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 19: 218. 1889 ,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München,1889,19: 218,326-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,255567-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=218&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/125291&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/255567-2,IPNI,NA,NA,NA,NA,
Touroulia pteridophylla,Quiinaceae,Touroulia,pteridophylla,Radlk.,tax_nov,spec.,FALSE,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 19: 218. 1889 ,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München,1889,19: 218,326-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,255569-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=218&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/125291&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/255569-2,IPNI,NA,NA,NA,NA,
