name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Colubrina solanacea,Rhamnaceae,Colubrina,solanacea,Rizzini,tax_nov,spec.,FALSE,"Leandra no. 4-5: 11[-12], fig. 11. 1974 ",Leandra,1974,"no. 4-5: 11[-12], fig. 11",2466-2,FALSE,holotype RB,Lima,13130,NA,"Bahia (Brazil, Southern America)",NA,63472-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/63472-2,IPNI,NA,NA,NA,NA,
Cormonema sprucei,Rhamnaceae,Cormonema,sprucei,Suess.,tax_nov,spec.,FALSE,Bot. Arch. 39: 387. 1939 ,Bot. Arch.,1939,39: 387,1652-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,66052-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=387&rft.volume=39&rft_id=http://www.biodiversitylibrary.org/bibliography/51865&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/66052-2,IPNI,NA,NA,NA,NA,
Crumenaria diffusa,Rhamnaceae,Crumenaria,diffusa,Suess.,tax_nov,spec.,FALSE,Lilloa 4: 134. 1939 ,Lilloa,1939,4: 134,1250-2,FALSE,NA,NA,NA,NA,"Ceará (Brazil, Southern America)",NA,71161-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/71161-2,IPNI,NA,NA,NA,NA,
Gouania ulei,Rhamnaceae,Gouania,ulei,Pilg.,tax_nov,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 315. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,6: 315,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,112870-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=315&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/112870-2,IPNI,NA,NA,NA,NA,
Ziziphus oblongifolius,Rhamnaceae,Ziziphus,oblongifolius,S.Moore,tax_nov,spec.,FALSE,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 339, pl. 24. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 339, pl. 24",1084-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,271221-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/271221-2,IPNI,NA,NA,NA,NA,
Ziziphus pseudojoazeiro,Rhamnaceae,Ziziphus,pseudojoazeiro,Mansf.,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 9: 39. 1924 ,Notizbl. Bot. Gart. Berlin-Dahlem,1924,9: 39,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,271227-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1924&rft.spage=39&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/271227-2,IPNI,NA,NA,NA,NA,
Gouania acalyphoides,Rhamnaceae,Gouania,acalyphoides,Reissek,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:717420-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:717420-1,
Ziziphus cotinifolia,Rhamnaceae,Ziziphus,cotinifolia,Reissek,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:719281-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:719281-1,
Ziziphus guaranitica,Rhamnaceae,Ziziphus,guaranitica,Malme,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:271210-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:271210-2,
Gouania virgata,Rhamnaceae,Gouania,virgata,Reissek,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:717544-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:717544-1,
