name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Allophylus chrysoneurus,Sapindaceae,Allophylus,chrysoneurus,Radlk.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 13(3): 479. 1900 [1 Apr 1900] ,Fl. Bras. (Martius),1900,13(3): 479,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,9124-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142639&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Apr 1900,NA,NA,www.ipni.org/n/9124-2,IPNI,NA,NA,NA,NA,
Allophylus leucophloeus,Sapindaceae,Allophylus,leucophloeus,Radlk.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 13(3): 478. 1900 [1 Apr 1900] ,Fl. Bras. (Martius),1900,13(3): 478,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,9162-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142638&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Apr 1900,NA,NA,www.ipni.org/n/9162-2,IPNI,NA,NA,NA,NA,
Cardiospermum cristobaliae,Sapindaceae,Cardiospermum,cristobaliae,Ferrucci & Urdampill.,tax_nov,spec.,FALSE,Brittonia 63(4): 479 (figs. 1-4). 2011 [1 Dec 2011] ,Brittonia,2011,63(4): 479 (figs. 1-4),561-2,FALSE,holotype UEC;isotype CTES,"J. D. Urdampilleta, M. S. Ferrucci &amp; M. L. Las Peñas",421,23 Feb 2008,"Minas Gerais (Brazil, Southern America)","Municipio Botumirim, afloramento rochoso na beira Rio do Peixe, a 8 km ao sur da estrada Botumirim-Cristália (Fz Botafogo), alt. 808 m",77119070-1,TRUE,NA,1 Dec 2011,"Etimología: Esta especie está dedicada a la Dra. Carmen Lelia Cristóbal, especialista en la familia Malvaceae y reconocida botánica argentina, directora de la tesis doctoral de la primera autora. doi:10.1007/s12228-011-9203-3",NA,www.ipni.org/n/77119070-1,IPNI,NA,NA,NA,NA,
Cardiospermum giganteum,Sapindaceae,Cardiospermum,giganteum,Barb.Rodr.,tax_nov,spec.,FALSE,"Pl. Jard. Rio de Janeiro 3: 9, pl. 2. 1893 ",Pl. Jard. Rio de Janeiro,1893,"3: 9, pl. 2",3655-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,45466-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/45466-2,IPNI,NA,NA,NA,NA,
Cardiospermum oliveirae,Sapindaceae,Cardiospermum,oliveirae,Ferrucci,tax_nov,spec.,FALSE,"Bol. Soc. Argent. Bot. 24: 116 (-118), fig. 1985 ",Bol. Soc. Argent. Bot.,1985,"24: 116 (-118), fig",1242-2,FALSE,holotype BAH,E.L.P.G.de Oliveira,274,NA,Brazil (Southern America),NA,274030-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/274030-2,IPNI,NA,NA,NA,NA,
Cardiospermum terete,Sapindaceae,Cardiospermum,terete,Larrañaga,tax_nov,spec.,FALSE,Escritos Damaso Antonio Larranaga 1: 395. 1922 Pub. Inst. Hist. Geog. Uruguay,Escritos Damaso Antonio Larranaga,1922,1: 395,1322-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,45481-2,TRUE,NA,NA,NA,Pub. Inst. Hist. Geog. Uruguay,www.ipni.org/n/45481-2,IPNI,NA,NA,NA,NA,
Casimira cardiophylla,Sapindaceae,Casimira,cardiophylla,Nied.,tax_nov,spec.,FALSE,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 60. 1926 ,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1926,8: 60,8771-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,251849-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/251849-2,IPNI,NA,NA,NA,NA,
Casimira cuneifolia,Sapindaceae,Casimira,cuneifolia,Kralik,tax_nov,spec.,FALSE,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 278. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 278,610-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,251865-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=278&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/251865-2,IPNI,NA,NA,NA,NA,
Casimira hetero-alata,Sapindaceae,Casimira,hetero-alata,Kralik,tax_nov,spec.,FALSE,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 277. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 277,610-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,251888-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=277&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/251888-2,IPNI,NA,NA,NA,NA,
Casimira jussieuana,Sapindaceae,Casimira,jussieuana,Nied.,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) [Heft 91] 4, Fam. 141, pt. 1: 169. 1928 ",Pflanzenr. (Engler),1928,"[Heft 91] 4, Fam. 141, pt. 1: 169",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,251898-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/251898-2,IPNI,NA,NA,NA,NA,
