name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Chromolucuma brevipedicellata,Sapotaceae,Chromolucuma,brevipedicellata,C.C.Vasconc. & Terra-Araujo,tax_nov,spec.,Brittonia 73(2): 213. 2021 [25 Mar 2021] [epublished],Brittonia,2021,73(2): 213,561-2,holotype INPA;isotype HUAM;isotype MG;isotype RB,C.C.Vasconcelos et al.,70,5 Dec 2015,"Amazonas (Brazil North, Brazil, Southern America)","Mun. Rio Preto da Eva, ARIE-PDBFF, Estrada ZF-3, Sítio amostral Km-37, Parcela CTFS-25ha, Quadrante 200 × 120, 150 m",77234105-1,NA,25 Mar 2021,"doi:10.1007/s12228-021-09663-y The specific epithet refers to the length of the pedicels, which is shorter than in congeneric species.",www.ipni.org/n/77234105-1,IPNI,https://doi.org/10.1007/s12228-021-09663-y
Chrysophyllum reitzianum,Sapotaceae,Chrysophyllum,reitzianum,Mattos,tax_nov,spec.,Loefgrenia no. 61: 1. 1974 ,Loefgrenia,1974,no. 61: 1,994-2,holotype HBR,J.R.Mattos,10389,NA,Brazil (Southern America),NA,57822-2,NA,NA,NA,www.ipni.org/n/57822-2,IPNI,NA
Imbricaria thouarsii,Sapotaceae,Imbricaria,thouarsii,Baill.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 442. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 442,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,128206-2,NA,NA,NA,www.ipni.org/n/128206-2,IPNI,NA
Lucuma elegans,Sapotaceae,Lucuma,elegans,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 439. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 439,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,144206-2,NA,NA,NA,www.ipni.org/n/144206-2,IPNI,NA
Lucuma glazioviana,Sapotaceae,Lucuma,glazioviana,Pierre,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 438. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 438,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,144214-2,NA,NA,NA,www.ipni.org/n/144214-2,IPNI,NA
Lucuma peroba,Sapotaceae,Lucuma,peroba,Hartwich,tax_nov,spec.,Neuen Arzneidrogen Pflanzenr. 200. 1897 ,Neuen Arzneidrogen Pflanzenr.,1897,200,17952-2,NA,NA,NA,NA,Brazil (Southern America),NA,144268-2,NA,NA,NA,www.ipni.org/n/144268-2,IPNI,NA
Lucuma petropolitana,Sapotaceae,Lucuma,petropolitana,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 439. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 439,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,144269-2,NA,NA,NA,www.ipni.org/n/144269-2,IPNI,NA
Lucuma pomifera,Sapotaceae,Lucuma,pomifera,Peckolt,tax_nov,spec.,"Pharm. Rundschau (Berlin & New York) 6: 33. 1888 February, 1888 ",Pharm. Rundschau (Berlin & New York),1888,6: 33,17957-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,144272-2,NA,"February, 1888",NA,www.ipni.org/n/144272-2,IPNI,NA
Martiusella bahiensis,Sapotaceae,Martiusella,bahiensis,Pierre,tax_nov,spec.,Notes Bot. Sapot. 66. 1891 ,Notes Bot. Sapot.,1891,66,13242-2,NA,NA,NA,NA,Brazil (Southern America),NA,153732-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.spage=66&rft_id=http://www.biodiversitylibrary.org/bibliography/10315&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/153732-2,IPNI,NA
Pouteria mongaguensis,Sapotaceae,Pouteria,mongaguensis,Mattos,tax_nov,spec.,Loefgrenia 101: 1 (1992). ,Loefgrenia,1992,101: 1 (1992),994-2,NA,NA,NA,NA,Brazil Southeast (São Paulo).,NA,992955-1,NA,1992,NA,www.ipni.org/n/992955-1,IPNI,NA
