name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Alonsoa minor,Scrophulariaceae,Alonsoa,minor,Edwin,tax_nov,spec.,"Fieldiana, Bot. 31: 229. 1967 ","Fieldiana, Bot.",1967,31: 229,626-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,9544-2,NA,NA,www.ipni.org/n/9544-2,IPNI
Bacopa diffusa,Scrophulariaceae,Bacopa,diffusa,(J.A.Schmidt) Edwall,tax_nov,spec.,"Bol. Commiss. Geogr. Estado Sao Paulo 13(Fl. Paul., pt. 2): 176, in clavi. 1897 ",Bol. Commiss. Geogr. Estado Sao Paulo,1897,"13(Fl. Paul., pt. 2): 176, in clavi.",1350-2,NA,NA,NA,NA,Brazil (Southern America),NA,28304-2,NA,Reference to the basionym lacking; Shenzhen Code Art. 41.4 applies,www.ipni.org/n/28304-2,IPNI
Bacopa divaricata,Scrophulariaceae,Bacopa,divaricata,(J.A.Schmidt) Edwall,tax_nov,spec.,"Bol. Commiss. Geogr. Estado Sao Paulo 13(Fl. Paul., pt. 2): 176, in clavi. 1897 ",Bol. Commiss. Geogr. Estado Sao Paulo,1897,"13(Fl. Paul., pt. 2): 176, in clavi.",1350-2,NA,NA,NA,NA,Brazil (Southern America),NA,28305-2,NA,Reference to the basionym lacking; Shenzhen Code Art. 41.4 applies,www.ipni.org/n/28305-2,IPNI
Bartsia glabra,Scrophulariaceae,Bartsia,glabra,Edwin,tax_nov,spec.,Phytologia 19(6): 365. 1970 ,Phytologia,1970,19(6): 365,1034-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,29720-2,NA,NA,www.ipni.org/n/29720-2,IPNI
Basistemon brasiliensis,Scrophulariaceae,Basistemon,brasiliensis,Moldenke,tax_nov,spec.,Revista Sudamer. Bot. 4: 15. 1937 ,Revista Sudamer. Bot.,1937,4: 15,1064-2,NA,NA,NA,NA,Brazil (Southern America),NA,29786-2,NA,NA,www.ipni.org/n/29786-2,IPNI
Beyrichia ocymoides,Scrophulariaceae,Beyrichia,ocymoides,Cham. & Schltdl.,tax_nov,spec.,Linnaea 3: 21. 1828 ,Linnaea,1828,3: 21,703-2,NA,H.K.Beyrich,s.n.,NA,"Rio de Janeiro (Brazil, Southern America)",NA,32259-2,NA,NA,www.ipni.org/n/32259-2,IPNI
Caconapea verticillata,Scrophulariaceae,Caconapea,verticillata,Pennell & Gleason,tax_nov,spec.,Bull. Torrey Bot. Club 56: 403. 1929 ,Bull. Torrey Bot. Club,1929,56: 403,586-2,NA,NA,NA,NA,Brazil (Southern America),NA,39489-2,NA,NA,www.ipni.org/n/39489-2,IPNI
Calceolaria aequilateralis,Scrophulariaceae,Calceolaria,aequilateralis,Edwin,tax_nov,spec.,Phytologia 19(6): 369. 1970 ,Phytologia,1970,19(6): 369,1034-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,41196-2,NA,NA,www.ipni.org/n/41196-2,IPNI
Calceolaria colcammarensis,Scrophulariaceae,Calceolaria,colcammarensis,Edwin,tax_nov,spec.,Phytologia 19(6): 374. 1970 ,Phytologia,1970,19(6): 374,1034-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,41282-2,NA,NA,www.ipni.org/n/41282-2,IPNI
Calceolaria flosparva,Scrophulariaceae,Calceolaria,flosparva,Edwin,tax_nov,spec.,Phytologia 19(6): 380. 1970 ,Phytologia,1970,19(6): 380,1034-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,41361-2,NA,NA,www.ipni.org/n/41361-2,IPNI
Calceolaria luteocalyx,Scrophulariaceae,Calceolaria,luteocalyx,Edwin,tax_nov,spec.,Phytologia 19 (6): 388. 1970 ,Phytologia,1970,19 (6): 388,1034-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,41471-2,NA,NA,www.ipni.org/n/41471-2,IPNI
Calceolaria solaniifolia,Scrophulariaceae,Calceolaria,solaniifolia,Edwin,tax_nov,spec.,Phytologia 19(6): 397. 1970 ,Phytologia,1970,19(6): 397,1034-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,41656-2,NA,NA,www.ipni.org/n/41656-2,IPNI
