name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Athenaea altoserranae,Solanaceae,Athenaea,altoserranae,I.M.C.Rodrigues & Stehmann,tax_nov,spec.,"PhytoKeys 178: 3, figs. 1-3. 2021 [18 May 2021] [epublished]",PhytoKeys,2021,"178: 3, figs. 1-3",20011997-1,holotype SP 106084,J.Mattos &amp; N.Mattos,15078,18 Oct 1967,"Sao Paulo (Brazil, Southern America)","Santo André, Distrito de Paranapiacaba, mais ou menos no km 3 da rodovia Estação de Campo Grande – Paranapiacaba",77217158-1,18 May 2021,"doi:10.3897/phytokeys.178.64609 Etymology: 'The specific epithet is a reference to 'Alto da Serra', located in the District of Paranapiacaba'.",www.ipni.org/n/77217158-1,IPNI
Athenaea hunzikeriana,Solanaceae,Athenaea,hunzikeriana,I.M.C.Rodrigues & Stehmann,tax_nov,spec.,"PhytoKeys 178: 8, figs. 3-5. 2021 [18 May 2021] [epublished]",PhytoKeys,2021,"178: 8, figs. 3-5",20011997-1,holotype BHCB 182684;isotype BM (to be distributed);isotype RB (to be distributed),"J.R.Stehmann, L.L.Giacomin, S.Knapp &amp; L.Bohs",6328,1 Nov 2013,"Minas Gerais (Brazil, Southern America)","Santa Maria do Salto, Fazenda Duas Barras, 817 m",77217159-1,18 May 2021,"doi:10.3897/phytokeys.178.64609 Etymology: 'The specific epithet honours Ing. Armando Teodoro Hunziker (1919–2001), who dedicated his life to the study of the family Solanaceae in the Neotropics and whose mentorship formed a whole generation of Solanaceae workers.'",www.ipni.org/n/77217159-1,IPNI
Atropa hirtella,Solanaceae,Atropa,hirtella,Spreng.,tax_nov,spec.,"Syst. Veg., ed. 16 [Sprengel] 1: 699. 1824 [dated 1825; publ. in late 1824] ","Syst. Veg., ed. 16 [Sprengel]",1824,1: 699,14620-2,NA,NA,NA,NA,Brazil (Southern America),NA,26508-2,dated 1825; publ. in late 1824,NA,www.ipni.org/n/26508-2,IPNI
Brunfelsia capitata,Solanaceae,Brunfelsia,capitata,Benth.,tax_nov,spec.,Prodr. [A. P. de Candolle] 10: 198. 1846 [8 Apr 1846] ,Prodr. [A. P. de Candolle],1846,10: 198,1051-2,holotype K,George Gardner,563,NA,"Rio de Janeiro (Brazil, Southern America)",NA,316464-2,8 Apr 1846,[Gandhi 30 Sep 1998; Fieldiana Bot. 39: 86],www.ipni.org/n/316464-2,IPNI
Brunfelsia tastevini,Solanaceae,Brunfelsia,tastevini,Benoist,tax_nov,spec.,Bull. Soc. Bot. France 75: 295. 1928 ,Bull. Soc. Bot. France,1928,75: 295,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,37568-2,NA,NA,www.ipni.org/n/37568-2,IPNI
Cestrum brasiliense,Solanaceae,Cestrum,brasiliense,Larrañaga,tax_nov,spec.,Escritos Damaso Antonio Larranaga 1: 412. 1922 Pub. Inst. Hist. Geog. Uruguay,Escritos Damaso Antonio Larranaga,1922,1: 412,1322-2,NA,NA,NA,NA,Brazil (Southern America),NA,53505-2,NA,NA,www.ipni.org/n/53505-2,IPNI
Cestrum bupleurifolium,Solanaceae,Cestrum,bupleurifolium,Dunal,tax_nov,spec.,Prodr. [A. P. de Candolle] 13(1): 628. 1852 [10 May 1852] ,Prodr. [A. P. de Candolle],1852,13(1): 628,1051-2,NA,NA,NA,NA,Brazil (Southern America),NA,330726-2,10 May 1852,NA,www.ipni.org/n/330726-2,IPNI
Cestrum claussenii,Solanaceae,Cestrum,claussenii,Dunal,tax_nov,spec.,Prodr. [A. P. de Candolle] 13(1): 637. 1852 [10 May 1852] ,Prodr. [A. P. de Candolle],1852,13(1): 637,1051-2,lectotype MPU;isotype G;isotype P,P.Claussen,446,NA,"Minas Gerais (Brazil, Southern America)",NA,316384-2,10 May 1852,[Gandhi 16 Sep 1998] As clausseni,www.ipni.org/n/316384-2,IPNI
Cestrum raimondianum,Solanaceae,Cestrum,raimondianum,Francey,tax_nov,spec.,Candollea 6: 382. 1935 ,Candollea,1935,6: 382,885-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,53728-2,NA,NA,www.ipni.org/n/53728-2,IPNI
Cestrum ramulosum,Solanaceae,Cestrum,ramulosum,Francey,tax_nov,spec.,Candollea 6: 163. 1935 ,Candollea,1935,6: 163,885-2,NA,NA,NA,NA,"Pernambuco (Brazil, Southern America)",NA,53729-2,NA,NA,www.ipni.org/n/53729-2,IPNI
Chaetochilus lateriflorus,Solanaceae,Chaetochilus,lateriflorus,Vahl,tax_nov,spec.,Enum. Pl. [Vahl] 1: 101. 1804 ,Enum. Pl. [Vahl],1804,1: 101,5500-2,NA,NA,NA,NA,Brazil (Southern America),NA,54076-2,NA,NA,www.ipni.org/n/54076-2,IPNI
Cyphomandra kuhlmanniana,Solanaceae,Cyphomandra,kuhlmanniana,J.Guaranha & Mattos,tax_nov,spec.,Loefgrenia 75: 1 (1981). ,Loefgrenia,1981,75: 1 (1981),994-2,NA,NA,NA,NA,Brazil.,NA,897530-1,1981,NA,www.ipni.org/n/897530-1,IPNI
Datura insignis,Solanaceae,Datura,insignis,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 62. 1891 ",Vellosia,1891,"ed. 2, 1: 62",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,76941-2,NA,NA,www.ipni.org/n/76941-2,IPNI
Franciscea eximia,Solanaceae,Franciscea,eximia,Scheidw. ex Moore & Ayres,tax_nov,spec.,Gard. Mag. Bot. 1: 16. 1850 ,Gard. Mag. Bot.,1850,1: 16,11468-2,NA,NA,NA,NA,Brazil (Southern America),NA,105584-2,NA,[Gandhi; LT],www.ipni.org/n/105584-2,IPNI
Franciscea lindeniana,Solanaceae,Franciscea,lindeniana,Planch.,tax_nov,spec.,"Belgique Hort. 15: 100, t. 16. 1865 ",Belgique Hort.,1865,"15: 100, t. 16",4831-2,NA,NA,NA,NA,Brazil (Southern America),NA,316466-2,NA,[Gandhi 30 Sep 1998],www.ipni.org/n/316466-2,IPNI
Franciscea macrantha,Solanaceae,Franciscea,macrantha,Lem.,tax_nov,spec.,"Jard. Fleur. 3: 349, t. 249. 1853 ",Jard. Fleur.,1853,"3: 349, t. 249",3674-2,NA,NA,NA,NA,Brazil (Southern America),NA,105585-2,NA,[Gandhi; LT],www.ipni.org/n/105585-2,IPNI
Markea parviflora,Solanaceae,Markea,parviflora,Ducke,tax_nov,spec.,Bull. Mus. Hist. Nat. (Paris) (ser. 2) 4: 747. 1932 as Marcka,Bull. Mus. Hist. Nat. (Paris),1932,(ser. 2) 4: 747,576-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,153419-2,NA,"[Gandhi; Hunziker, Kurtziana 25: 110. 1997]",www.ipni.org/n/153419-2,IPNI
Markea peckoltiorum,Solanaceae,Markea,peckoltiorum,Gilg,tax_nov,spec.,"Bot. Jahrb. Syst. 44(2-3, Beibl. 101): 17. 1910 [22 Mar 1910] ",Bot. Jahrb. Syst.,1910,"44(2-3, Beibl. 101): 17",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,153420-2,22 Mar 1910,"[Gandhi; Hunziker, Kurtziana 25: 111. 1997]",www.ipni.org/n/153420-2,IPNI
Markea uniflora,Solanaceae,Markea,uniflora,Lundell,tax_nov,spec.,Phytologia 1: 340. 1939 ,Phytologia,1939,1: 340,1034-2,NA,NA,NA,NA,Brazil (Southern America),NA,153429-2,NA,"[Gandhi; Hunziker, Kurtziana 25: 87. 1997]",www.ipni.org/n/153429-2,IPNI
Markea verrucosa,Solanaceae,Markea,verrucosa,Rusby,tax_nov,spec.,Mem. Torrey Bot. Club 6: 92. 1896 ,Mem. Torrey Bot. Club,1896,6: 92,1007-2,holotype NY,M.Bang,1294,NA,"Espirito Santo (Brazil, Southern America)",NA,280427-2,NA,NA,www.ipni.org/n/280427-2,IPNI
Matthissonia paniculata,Solanaceae,Matthissonia,paniculata,Raddi,tax_nov,spec.,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis. 18: 390, fig. 7. 1820 Repr. as: Quaranta Piante Nuove del Brasile.... [p. 11]","Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis.",1820,"18: 390, fig. 7",3885-2,NA,NA,NA,NA,Brazil (Southern America),NA,154785-2,NA,NA,www.ipni.org/n/154785-2,IPNI
