name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Barberina tetrandra,Symplocaceae,Barberina,tetrandra,Mart.,tax_nov,spec.,FALSE,Syst. Mat. Med. Bras. 49. 1843 [23 May-30 Jun 1843] ,Syst. Mat. Med. Bras.,1843,49,16470-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,248038-2,TRUE,NA,23 May-30 Jun 1843,NA,NA,www.ipni.org/n/248038-2,IPNI,NA,NA,NA,NA,
Symplocos aegrota,Symplocaceae,Symplocos,aegrota,Brand,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 242: 71. 1901 ",Pflanzenr. (Engler),1901,"4, Fam. 242: 71",3295-2,FALSE,lectotype G;isolectotype K;isolectotype P,A.F.M.Glaziou,15203,1885,Brazil (Southern America),Bei Nova Friburgo,247131-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247131-2,IPNI,NA,NA,NA,NA,
Symplocos ascendens,Symplocaceae,Symplocos,ascendens,Brand,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 242: 71. 1901 ",Pflanzenr. (Engler),1901,"4, Fam. 242: 71",3295-2,FALSE,lectotype K;isolectotype C;isolectotype G;isolectotype P;isolectotype US,A.F.M.Glaziou,20212,1892,Brazil (Southern America),Alto do Macahé bei Nova Friburgo,247141-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247141-2,IPNI,NA,NA,NA,NA,
Symplocos barbacenae,Symplocaceae,Symplocos,barbacenae,Brand,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 242: 81. 1901 ",Pflanzenr. (Engler),1901,"4, Fam. 242: 81",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,247147-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247147-2,IPNI,NA,NA,NA,NA,
Symplocos campestris,Symplocaceae,Symplocos,campestris,Brand,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 242: 84. 1901 ",Pflanzenr. (Engler),1901,"4, Fam. 242: 84",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,247155-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247155-2,IPNI,NA,NA,NA,NA,
Symplocos candelabra,Symplocaceae,Symplocos,candelabra,"Aranha, P.W.Fritsch & Almeda",tax_nov,spec.,FALSE,"Proc. Calif. Acad. Sci. ser. 4, 56(23): 296 (-299; figs. 1-3). 2005 [26 Aug 2005] ",Proc. Calif. Acad. Sci.,2005,"ser. 4, 56(23): 296 (-299; figs. 1-3)",1045-2,FALSE,holotype UEC;isotype CAS,"F.Almeda, P.W.Fritsch, J.L.M.Aranha Filho &amp; R.Belinello",8910,22 Nov 2004,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Serra do Cipó, Município Santana do Riacho, 6km S of the turnoff to Morro do Pilar on the road to Conceição do Mato Dentro, 1350m",77068858-1,TRUE,NA,26 Aug 2005,NA,NA,www.ipni.org/n/77068858-1,IPNI,NA,NA,NA,NA,
Symplocos catarinensis,Symplocaceae,Symplocos,catarinensis,Mattos,tax_nov,spec.,FALSE,Loefgrenia 6: [1]. 1962 ,Loefgrenia,1962,6: [1],994-2,FALSE,holotype SP,J; Mattos,10269,NA,"Santa Catarina (Brazil, Southern America)",NA,247880-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247880-2,IPNI,NA,NA,NA,NA,
Symplocos commutata,Symplocaceae,Symplocos,commutata,Brand,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 242: 82. 1901 ",Pflanzenr. (Engler),1901,"4, Fam. 242: 82",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,247893-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247893-2,IPNI,NA,NA,NA,NA,
Symplocos cordata,Symplocaceae,Symplocos,cordata,Gontsch.,tax_nov,spec.,FALSE,Bot. Mater. Gerb. Glavn. Bot. Sada S.S.S.R. 6: 19. 1926 ,Bot. Mater. Gerb. Glavn. Bot. Sada S.S.S.R.,1926,6: 19,4400-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,247895-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247895-2,IPNI,NA,NA,NA,NA,
Symplocos densiflora,Symplocaceae,Symplocos,densiflora,Brand,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 242: 71. 1901 ",Pflanzenr. (Engler),1901,"4, Fam. 242: 71",3295-2,FALSE,lectotype G;isolectotype K;isolectotype P,A.F.M.Glaziou,7769,1876,Brazil (Southern America),Rancho do Morro Cavado,247903-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/247903-2,IPNI,NA,NA,NA,NA,
