name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Freziera guianensis,Theaceae,Freziera,guianensis,Wawra,tax_nov,spec.,Fl. Bras. (Martius) 12(1): 284. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,12(1): 284,629-2,null B?,M.R.Schomburgk,909,NA,"prope Roraima (Brazil?), Guyana (Northern South America, Southern America)",NA,105997-2,1 Apr 1886,Wawra cited a reference to Lettsomia guianensis Klotszch (nom. nud.),www.ipni.org/n/105997-2,IPNI
Freziera microphylla,Theaceae,Freziera,microphylla,Sandwith in Hook.,tax_nov,spec.,"Hooker's Icon. Pl. 35, pt. 2: tab. 3450. 1943 ",Hooker's Icon. Pl.,1943,"35, pt. 2: tab. 3450",967-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,106010-2,NA,NA,www.ipni.org/n/106010-2,IPNI
Freziera parva,Theaceae,Freziera,parva,Kobuski,tax_nov,spec.,J. Arnold Arbor. 22: 485. 1941 ,J. Arnold Arbor.,1941,22: 485,981-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,106013-2,NA,NA,www.ipni.org/n/106013-2,IPNI
Haemocharis dimidiata,Theaceae,Haemocharis,dimidiata,Mart. & Zucc.,tax_nov,spec.,Flora 8(1): 30. 1825 [14 Jan 1825] ,Flora,1825,8(1): 30,648-2,NA,NA,NA,NA,Brazil (Southern America),NA,77216100-1,14 Jan 1825,NA,www.ipni.org/n/77216100-1,IPNI
Haemocharis discolor,Theaceae,Haemocharis,discolor,Mart. & Zucc.,tax_nov,spec.,Flora 8(1): 30. 1825 [14 Jan 1825] ,Flora,1825,8(1): 30,648-2,NA,NA,NA,NA,Brazil (Southern America),NA,77216101-1,14 Jan 1825,NA,www.ipni.org/n/77216101-1,IPNI
Laplacea camellioides,Theaceae,Laplacea,camellioides,Sond.,tax_nov,spec.,Linnaea 22(5): 549 (-550). 1849 [Sep 1849] ,Linnaea,1849,22(5): 549 (-550),703-2,NA,NA,NA,NA,Brazil (Southern America),NA,135436-2,Sep 1849,NA,www.ipni.org/n/135436-2,IPNI
Ternstroemia atlantica,Theaceae,Ternstroemia,atlantica,J.R.Grande,tax_nov,spec.,Acta Bot. Venez. 43(1-2): 52. 2021 [2020 publ. after 12 Jul 2021] ,Acta Bot. Venez.,2021,43(1-2): 52,1342-2,holotype G 374620;isotype NY 1081170,Glaziou,8278,1876,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America);Alagoas (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Ceará (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);Piauí (Brazil Northeast, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);;",Rio de Janeiro: Restinga de Mana ['Maná' en el isótipo],77233977-1,2020 publ. after 12 Jul 2021,NA,www.ipni.org/n/77233977-1,IPNI
Ternstroemia ostracophylla,Theaceae,Ternstroemia,ostracophylla,J.R.Grande,tax_nov,spec.,Phytologia 104(3): 29. 2022 [20 Sep 2022] [epublished],Phytologia,2022,104(3): 29,1034-2,holotype NY 1183331;isotype RB 435987,Amaral,1637,20 Feb 1984,"Amazonas (Brazil North, Brazil, Southern America);Colombia (Western South America, Southern America);Venezuela (Northern South America, Southern America);","Amazonas: mun. Barcelos, platô da  Serra Aracá, serra N, 6 h O do campo de pouso, 1150 m",77324165-1,20 Sep 2022,"Etymology: makes reference to the hardness and general aspect of leaves (ϕύλλον), similar when dry to a fragment of old pottery (ὄστρακον).",www.ipni.org/n/77324165-1,IPNI
Wikstroemia fruticosa,Theaceae,Wikstroemia,fruticosa,Schrad.,tax_nov,spec.,Gött. Gel. Anz. 1821(71): 711. [5 May 1821] (as fructicosa),Gött. Gel. Anz.,1821,1821(71): 711,8865-2,NA,NA,NA,NA,Brazil (Southern America),NA,268561-2,5 May 1821,Schrader's epithet fructicosa doest exist as a Latin term and is treated as a typographical error for fruticosa (= shrub),www.ipni.org/n/268561-2,IPNI
Gordonia tomentosa,Theaceae,Gordonia,tomentosa,(Mart.) Spreng.,NA,Species,"Syst. Veg., ed. 16. 4(2): 260 (1827)",NA,1827,NA,NA,NA,NA,NA,NA,NA,NA,828904-1,NA,NA,https://powo.science.kew.org/taxon/828904-1,POWO
Gordonia acutifolia,Theaceae,Gordonia,acutifolia,(Wawra) H.Keng,NA,Species,Gard. Bull. Singapore 33: 310 (1980),NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,112590-2,NA,NA,https://powo.science.kew.org/taxon/112590-2,POWO
Gordonia spathulata,Theaceae,Gordonia,spathulata,(Kobuski) H.Keng,NA,Species,Gard. Bull. Singapore 33: 311 (1980),NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,112608-2,NA,NA,https://powo.science.kew.org/taxon/112608-2,POWO
