name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Boehmeria stipulata,Urticaceae,Boehmeria,stipulata,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 646. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 646,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,34165-2,TRUE,NA,NA,"Invalid name (nom. nud.); Glaziou 774 (Original material) is¹at BR, K, P; see Wilmot-Dear & Friis, Opera Bot. 129: 23.¹1996",NA,www.ipni.org/n/34165-2,IPNI,NA,NA,NA,NA,
Phenax debilis,Urticaceae,Phenax,debilis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 647. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 647,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,192691-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/192691-2,IPNI,NA,NA,NA,NA,
Phenax organensis,Urticaceae,Phenax,organensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 647. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 647,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,192708-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/192708-2,IPNI,NA,NA,NA,NA,
Pilea bradei,Urticaceae,Pilea,bradei,J.F.Soares,tax_nov,spec.,FALSE,Phytotaxa 584(3): 162. 2023 [16 Feb 2023] [epublished],Phytotaxa,2023,584(3): 162,20011462-1,FALSE,holotype ICN 203106;isotype K;isotype MBM;isotype NY;isotype RB,"J.F.Soares, W.S.Piovesani &amp; I.P.V.Chaves",149,8 Feb 2020,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);","Rio de Janeiro: Itatiaia, Parque Nacional do Itatiaia, parte baixa, nas pedras ao redor do poço da Cachoeira Véu de Noiva, 1198 m",77314317-1,TRUE,NA,16 Feb 2023,doi:10.11646/phytotaxa.584.3.3 Etymology: the specific epithet honours Alexander Curt Brade (1881–1971).,[epublished],www.ipni.org/n/77314317-1,IPNI,NA,NA,NA,NA,
Pilea lundii,Urticaceae,Pilea,lundii,Liebm.,tax_nov,spec.,FALSE,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 5, 2: 299. 1851 ","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1851,"ser. 5, 2: 299",988-2,FALSE,lectotype C,P.W.Lund,s.n.,NA,Brazil (Southern America),NA,196249-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/196249-2,IPNI,NA,NA,NA,NA,
Pilea ulei,Urticaceae,Pilea,ulei,Killip,tax_nov,spec.,FALSE,J. Wash. Acad. Sci. 24: 42. 1934 ,J. Wash. Acad. Sci.,1934,24: 42,686-2,FALSE,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,196450-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=42&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/196450-2,IPNI,NA,NA,NA,NA,
Tramoia lactifera,Urticaceae,Tramoia,lactifera,Schwacke & Taub. ex Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 647. 1913 nom. subnud.; generic name invalid,Bull. Soc. Bot. France,1913,59(Mém. 3g): 647,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,256486-2,FALSE,NA,NA,NA,nom. subnud.; generic name invalid,www.ipni.org/n/256486-2,IPNI,NA,NA,NA,NA,
Urtica scabrella,Urticaceae,Urtica,scabrella,Hornem. ex Schrank,tax_nov,spec.,FALSE,Denkschr. Königl.-Baier. Bot. Ges. Regensburg 2: 29. 1822 ,Denkschr. Königl.-Baier. Bot. Ges. Regensburg,1822,2: 29,4189-2,FALSE,NA,NA,NA,NA,"India (Indian Subcontinent, Asia-Tropical);Brazil (Southern America);",NA,857902-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1822&rft.spage=29&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/5802&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/857902-1,IPNI,NA,NA,NA,NA,
Cecropia candida,Urticaceae,Cecropia,candida,Snethl.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:50833-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:50833-2,
Coussapoa leprieurii,Urticaceae,Coussapoa,leprieurii,Benoist,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:67358-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:67358-2,
