name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Barbacenia albiflora,Velloziaceae,Barbacenia,albiflora,L.B.Sm.,tax_nov,spec.,FALSE,"Contr. U.S. Natl. Herb. 35: 292, tab. 12, fig. 69, 70. 1962 ",Contr. U.S. Natl. Herb.,1962,"35: 292, tab. 12, fig. 69, 70",605-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,29336-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/400051&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/29336-2,IPNI,NA,NA,NA,NA,
Barbacenia bibiriensis,Velloziaceae,Barbacenia,bibiriensis,L.B.Sm. & Ayensu,tax_nov,spec.,FALSE,"Smithsonian Contr. Bot. no. 30: 33 (-34), pl. 26, 37a, b. 1976 ",Smithsonian Contr. Bot.,1976,"no. 30: 33 (-34), pl. 26, 37a, b",1335-2,FALSE,holotype US,G.Hatschbach,30190,NA,Brazil (Southern America),NA,29342-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/29342-2,IPNI,NA,NA,NA,NA,
Barbacenia bishopii,Velloziaceae,Barbacenia,bishopii,L.B.Sm.,tax_nov,spec.,FALSE,"Bradea 4: 157, fig. 1985 ",Bradea,1985,"4: 157, fig",1276-2,FALSE,holotype US,"R.M.King, L.E.Bishop",8440,NA,Brazil (Southern America),NA,273068-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/273068-2,IPNI,NA,NA,NA,NA,
Barbacenia burle-marxii,Velloziaceae,Barbacenia,burle-marxii,L.B.Sm. & Ayensu,tax_nov,spec.,FALSE,"Smithsonian Contr. Bot. no. 30: 15 (-16), pl. 7, 31 a, b. 1976 ",Smithsonian Contr. Bot.,1976,"no. 30: 15 (-16), pl. 7, 31 a, b",1335-2,FALSE,holotype US," E.S.Ayensu,Lyman B.Smith",16014,NA,Brazil (Southern America),NA,29349-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/29349-2,IPNI,NA,NA,NA,NA,
Barbacenia caricina,Velloziaceae,Barbacenia,caricina,Goethart & Henrard,tax_nov,spec.,FALSE,"Blumea 2: 340, fig. B. 1937 ",Blumea,1937,"2: 340, fig. B",549-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,29350-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/29350-2,IPNI,NA,NA,NA,NA,
Barbacenia coronata,Velloziaceae,Barbacenia,coronata,Ravenna,tax_nov,spec.,FALSE,"Smithsonian Contr. Bot. no. 30: 27, pl. 18, 34 c, d. 1976 ",Smithsonian Contr. Bot.,1976,"no. 30: 27, pl. 18, 34 c, d",1335-2,FALSE,holotype US,G.Hatschbach,27513,NA,Brazil (Southern America),NA,29356-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/29356-2,IPNI,NA,NA,NA,NA,
Barbacenia fragrans,Velloziaceae,Barbacenia,fragrans,Goethart & Henrard,tax_nov,spec.,FALSE,Blumea 2: 345. 1937 ,Blumea,1937,2: 345,549-2,FALSE,NA,NA,NA,NA,"Minas Geraes &amp; Sao Paulo, Brazil (Southern America)",NA,29369-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/29369-2,IPNI,NA,NA,NA,NA,
Barbacenia glaucescens,Velloziaceae,Barbacenia,glaucescens,C.A.Ferreira-Junior & Andr.Cabral,tax_nov,spec.,FALSE,Phytotaxa 616(3): 280. 2023 [28 Sep2023] [epublished],Phytotaxa,2023,616(3): 280,20011462-1,FALSE,holotype SPF;isotype BHZB;isotype RB,N.L.Menezes,1395,28 Jan 1999,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Santana do Riacho, Serra do Cipó. Estrada Santana do Riacho-Lapinha",77327620-1,TRUE,NA,28 Sep2023,doi:10.11646/phytotaxa.616.3.7 Etymology: 'The epithet refers to the glaucous leaves'.,[epublished],www.ipni.org/n/77327620-1,IPNI,NA,NA,NA,NA,
Barbacenia inclinata,Velloziaceae,Barbacenia,inclinata,Goethart & Henrard,tax_nov,spec.,FALSE,Blumea 2: 352. 1937 ,Blumea,1937,2: 352,549-2,FALSE,holotype L,A.F.M.Glaziou,19921,NA,Brazil (Southern America),NA,29387-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/29387-2,IPNI,NA,NA,NA,NA,
Barbacenia ionantha,Velloziaceae,Barbacenia,ionantha,L.B.Sm.,tax_nov,spec.,FALSE,Phytologia 9: 262. 1963 ,Phytologia,1963,9: 262,1034-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,29389-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1963&rft.spage=262&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/29389-2,IPNI,NA,NA,NA,NA,
