name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Bouchea chascanoides,Verbenaceae,Bouchea,chascanoides,Moldenke,tax_nov,spec.,FALSE,Phytologia 3: 58. 1949 ,Phytologia,1949,3: 58,1034-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,35420-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1949&rft.spage=58&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/35420-2,IPNI,NA,NA,NA,NA,
Bouchea cipoensis,Verbenaceae,Bouchea,cipoensis,Moldenke,tax_nov,spec.,FALSE,Phytologia 3: 261. 1950 ,Phytologia,1950,3: 261,1034-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,35421-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1950&rft.spage=261&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/35421-2,IPNI,NA,NA,NA,NA,
Bouchea inopinata,Verbenaceae,Bouchea,inopinata,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 37: 214. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,37: 214,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,35427-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=214&rft.volume=37&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/35427-2,IPNI,NA,NA,NA,NA,
Casselia mansoi,Verbenaceae,Casselia,mansoi,Schauer,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 9: 175. 1851 [1 Oct 1851] ,Fl. Bras. (Martius),1851,9: 175,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,48227-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145877&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Oct 1851,NA,NA,www.ipni.org/n/48227-2,IPNI,NA,NA,NA,NA,
Citharexylum amazonicum,Verbenaceae,Citharexylum,amazonicum,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 37: 216. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,37: 216,788-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,59417-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=216&rft.volume=37&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/59417-2,IPNI,NA,NA,NA,NA,
Citharexylum glaziovii,Verbenaceae,Citharexylum,glaziovii,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 37: 224. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,37: 224,788-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,59459-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=224&rft.volume=37&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/59459-2,IPNI,NA,NA,NA,NA,
Citharexylum krukovii,Verbenaceae,Citharexylum,krukovii,Moldenke,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 37: 228. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,37: 228,788-2,FALSE,NA,NA,NA,NA,"Maranhao (Brazil, Southern America)",NA,59477-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=228&rft.volume=37&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/59477-2,IPNI,NA,NA,NA,NA,
Citharexylum obtusifolium,Verbenaceae,Citharexylum,obtusifolium,Kuhlm.,tax_nov,spec.,FALSE,"Arq. Inst. Biol. Veg. 3(1): 48, pl. 6. 1936 [Dec 1936] as Cytarexylum",Arq. Inst. Biol. Veg.,1936,"3(1): 48, pl. 6",851-2,FALSE,NA,NA,NA,NA,"Espirito Santo (Brazil, Southern America)",NA,59501-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.issue=1&rft.spage=48&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Dec 1936,NA,as Cytarexylum,www.ipni.org/n/59501-2,IPNI,NA,NA,NA,NA,
Citharexylum ramizii,Verbenaceae,Citharexylum,ramizii,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 545. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 545,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,59515-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/59515-2,IPNI,NA,NA,NA,NA,
Citharexylum reitzii,Verbenaceae,Citharexylum,reitzii,Moldenke,tax_nov,spec.,FALSE,Phytologia 3: 59. 1949 ,Phytologia,1949,3: 59,1034-2,FALSE,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,59516-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1949&rft.spage=59&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/59516-2,IPNI,NA,NA,NA,NA,
