name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Callisthene clausseniana,Vochysiaceae,Callisthene,clausseniana,Briq.,tax_nov,spec.,FALSE,Annuaire Conserv. Jard. Bot. Genève 20: 378. 1919 ,Annuaire Conserv. Jard. Bot. Genève,1919,20: 378,1145-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,42474-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=378&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/42474-2,IPNI,NA,NA,NA,NA,
Callisthene durifolia,Vochysiaceae,Callisthene,durifolia,Briq.,tax_nov,spec.,FALSE,Annuaire Conserv. Jard. Bot. Genève 20: 377. 1919 ,Annuaire Conserv. Jard. Bot. Genève,1919,20: 377,1145-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,42476-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=377&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/42476-2,IPNI,NA,NA,NA,NA,
Callisthene elisha-florae,Vochysiaceae,Callisthene,elisha-florae,Duarte,tax_nov,spec.,FALSE,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 16, fig. 5. 1968 [Oct 1968] ",Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,"1: 16, fig. 5",16544-2,FALSE,holotype RB?,A. P. Duarte,9509,25 Oct 1965,Brazil (Southern America),"beside the road then being built between Sao Domingos, Goais and Barreiras, Bahia, Chapada do Alto da Serra das Divisoes",60466411-2,TRUE,NA,Oct 1968,"Eponymy: late Ms. Elisha Flora Wanderley Duarte, daughter of the author",NA,www.ipni.org/n/60466411-2,IPNI,NA,NA,NA,NA,
Callisthene glazioui,Vochysiaceae,Callisthene,glazioui,Briq.,tax_nov,spec.,FALSE,Annuaire Conserv. Jard. Bot. Genève 20: 379. 1919 ,Annuaire Conserv. Jard. Bot. Genève,1919,20: 379,1145-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,42477-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=379&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/42477-2,IPNI,NA,NA,NA,NA,
Callisthene revoluta,Vochysiaceae,Callisthene,revoluta,Duarte,tax_nov,spec.,FALSE,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 13, fig. 4. 1968 [Oct 1968] ",Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,"1: 13, fig. 4",16544-2,FALSE,holotype RB?,A. P. Duarte,9537,28 Oct 1965,"Bahia (Brazil, Southern America)","stony savannah, besides the road from Barreiras to Caatete",60466410-2,TRUE,NA,Oct 1968,NA,NA,www.ipni.org/n/60466410-2,IPNI,NA,NA,NA,NA,
Erisma djalma-batistae,Vochysiaceae,Erisma,djalma-batistae,Paula,tax_nov,spec.,FALSE,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 28: 2. 1967 ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1967,28: 2,1871-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,95995-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/95995-2,IPNI,NA,NA,NA,NA,
Erisma macrophyllum,Vochysiaceae,Erisma,macrophyllum,Ducke,tax_nov,spec.,FALSE,Arq. Inst. Biol. Veg. 4(1): 44. 1938 [Jun 1938] ,Arq. Inst. Biol. Veg.,1938,4(1): 44,851-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,96000-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.issue=1&rft.spage=44&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jun 1938,NA,NA,www.ipni.org/n/96000-2,IPNI,NA,NA,NA,NA,
Erisma megalophyllum,Vochysiaceae,Erisma,megalophyllum,Stafleu,tax_nov,spec.,FALSE,"Acta Bot. Neerl. 3: 471, fig. 3c-d. 1954 ",Acta Bot. Neerl.,1954,"3: 471, fig. 3c-d",1640-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,96001-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/96001-2,IPNI,NA,NA,NA,NA,
Erisma pallidiflorum,Vochysiaceae,Erisma,pallidiflorum,Ducke,tax_nov,spec.,FALSE,Arq. Inst. Biol. Veg. 2(1): 54. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,2(1): 54,851-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,96002-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=54&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Sep 1935,NA,NA,www.ipni.org/n/96002-2,IPNI,NA,NA,NA,NA,
Erisma parvifolium,Vochysiaceae,Erisma,parvifolium,Gleason,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 60: 362. 1933 ,Bull. Torrey Bot. Club,1933,60: 362,586-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,96003-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=362&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/96003-2,IPNI,NA,NA,NA,NA,
Erisma petiolatum,Vochysiaceae,Erisma,petiolatum,Gleason,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 60: 363. 1933 ,Bull. Torrey Bot. Club,1933,60: 363,586-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,96006-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=363&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/96006-2,IPNI,NA,NA,NA,NA,
Erisma tomentosum,Vochysiaceae,Erisma,tomentosum,Ducke,tax_nov,spec.,FALSE,Arq. Inst. Biol. Veg. 2(1): 55. 1935 [Sep 1935] ,Arq. Inst. Biol. Veg.,1935,2(1): 55,851-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,96009-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=55&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Sep 1935,NA,NA,www.ipni.org/n/96009-2,IPNI,NA,NA,NA,NA,
Qualea amapaensis,Vochysiaceae,Qualea,amapaensis,Balslev & S.A.Mori,tax_nov,spec.,FALSE,"Brittonia 33: 5 (-6), figs. 1981 ",Brittonia,1981,"33: 5 (-6), figs",561-2,FALSE,holotype IAN,H.S.Irwin et al.,48210,NA,Brazil (Southern America),NA,215231-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/215231-2,IPNI,NA,NA,NA,NA,
Qualea arirambae,Vochysiaceae,Qualea,arirambae,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 1: 47, pl. 15, 19. 1915 ",Arch. Jard. Bot. Rio de Janeiro,1915,"1: 47, pl. 15, 19",848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,215234-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/215234-2,IPNI,NA,NA,NA,NA,
Qualea cassiquiarensis,Vochysiaceae,Qualea,cassiquiarensis,Spruce ex Warm.,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 13(2): 34. 1875 [1 Mar 1875] ,Fl. Bras. (Martius),1875,13(2): 34,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,215239-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1875&rft.issue=2&rft.spage=34&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/454&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Mar 1875,NA,NA,www.ipni.org/n/215239-2,IPNI,NA,NA,NA,NA,
Qualea clavata,Vochysiaceae,Qualea,clavata,Stafleu,tax_nov,spec.,FALSE,"Acta Bot. Neerl. 2(2): 156, fig. 5. 1953 ",Acta Bot. Neerl.,1953,"2(2): 156, fig. 5",1640-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,215241-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/215241-2,IPNI,NA,NA,NA,NA,
