name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Abolboda chapadensis,Xyridaceae,Abolboda,chapadensis,Hoehne,tax_nov,spec.,FALSE,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas Annexo 5, Bot. pt. 5: 11, pl. 80, fig. 2. 1915 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1915,"Annexo 5, Bot. pt. 5: 11, pl. 80, fig. 2",16436-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,9-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/9-2,IPNI,NA,NA,NA,NA,
Abolboda gracilis,Xyridaceae,Abolboda,gracilis,Huber,tax_nov,spec.,FALSE,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 323. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,5: 323,4221-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,17-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/17-2,IPNI,NA,NA,NA,NA,
Abolboda longifolia,Xyridaceae,Abolboda,longifolia,Malme,tax_nov,spec.,FALSE,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 22, Afd. 3, No. 2: 20, pl. 2, fig. 6. 1896 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1896,"22, Afd. 3, No. 2: 20, pl. 2, fig. 6",546-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,24-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/24-2,IPNI,NA,NA,NA,NA,
Xyris angustifolia,Xyridaceae,Xyris,angustifolia,Poulsen,tax_nov,spec.,FALSE,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1891: 147. 1892 ,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1892,1891: 147,1089-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,269974-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.spage=147&rft.volume=1891&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/269974-2,IPNI,NA,NA,NA,NA,
Xyris araracuarae,Xyridaceae,Xyris,araracuarae,Maguire & L.B.Sm.,tax_nov,spec.,FALSE,Mem. New York Bot. Gard. 10(5): 34. 1964 ,Mem. New York Bot. Gard.,1964,10(5): 34,719-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,269978-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1964&rft.issue=5&rft.spage=34&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/269978-2,IPNI,NA,NA,NA,NA,
Xyris calcarata,Xyridaceae,Xyris,calcarata,Heimerl,tax_nov,spec.,FALSE,"Ann. K. K. Naturhist. Hofmus. 21: 68, pl. 4, fig. 1-3. 1906 ",Ann. K. K. Naturhist. Hofmus.,1906,"21: 68, pl. 4, fig. 1-3",1241-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,269996-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=68&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/4999&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/269996-2,IPNI,NA,NA,NA,NA,
Xyris commixta,Xyridaceae,Xyris,commixta,Malme,tax_nov,spec.,FALSE,"Ark. Bot. 13, no. 3: 59. 1913 ",Ark. Bot.,1913,"13, no. 3: 59",536-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,270011-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/270011-2,IPNI,NA,NA,NA,NA,
Xyris connectens,Xyridaceae,Xyris,connectens,Malme,tax_nov,spec.,FALSE,"Ark. Bot. 19, no. 13: 2. 1925 ",Ark. Bot.,1925,"19, no. 13: 2",536-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,270015-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/270015-2,IPNI,NA,NA,NA,NA,
Xyris cristata,Xyridaceae,Xyris,cristata,L.A.Nilsson,tax_nov,spec.,FALSE,"Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 56, pl. 3. 1892 ",Kongl. Svenska Vetensk.-Akad. Handl.,1892,"24(14): 56, pl. 3",20010256-1,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,270021-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=56&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/270021-2,IPNI,NA,NA,NA,NA,
Xyris extensula,Xyridaceae,Xyris,extensula,Malme,tax_nov,spec.,FALSE,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24, Afd. 3, No. 3: 15, pl. I, fig. 2. 1898 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1898,"24, Afd. 3, No. 3: 15, pl. I, fig. 2",546-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,270046-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/270046-2,IPNI,NA,NA,NA,NA,
