family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Boraginaceae,Antiphytum,NA,Antiphytum_bornmuelleri var. asperior,NA,Antiphytum bornmuelleri var. asperior Pilg.,Heterotypic Synonym,Antiphytum bornmuelleri Pilg.,Repert. Spec. Nov. Regni Veg. 3: 25 (1906),NA,NA,NA,NA,NA,15869-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:15869-2,POWO,1906,NA
Boraginaceae,Chamissoniophila,NA,Chamissoniophila_cruciata,NA,Chamissoniophila cruciata (Cham.) Brand,Homotypic Synonym,Antiphytum cruciatum (Cham.) A.DC.,Repert. Spec. Nov. Regni Veg. 27: 149 (1929),NA,NA,NA,NA,NA,55518-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:55518-2,POWO,1929,NA
Boraginaceae,Chamissoniophila,NA,Chamissoniophila_stoechadifolia,NA,Chamissoniophila stoechadifolia (Cham.) Brand,Homotypic Synonym,Antiphytum stoechadifolium (Cham.) A.DC.,Repert. Spec. Nov. Regni Veg. 27: 149 (1929),NA,NA,NA,NA,NA,55519-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:55519-2,POWO,1929,NA
Boraginaceae,Cordia,aberrans,Cordia_aberrans,I.M.Johnst.,Cordia aberrans I.M.Johnst.,Unknown,NA,J. Arnold Arbor. 16: 173 (1935),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,65173-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65173-2,POWO,1935,taxon_novo
Boraginaceae,Cordia,NA,Cordia_mucronata,NA,Cordia mucronata Fresen.,Homotypic Synonym,Cordia aberrans I.M.Johnst.,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 8(1): 9 (1857)",NA,NA,NA,NA,NA,65451-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65451-2,POWO,1857,NA
Boraginaceae,Cordia,acutifolia,Cordia_acutifolia,Fresen.,Cordia acutifolia Fresen.,Unknown,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 8(1): 11 (1857)",FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,274882-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:274882-2,POWO,1857,taxon_novo
Boraginaceae,Lithocardium,NA,Lithocardium_acutifolium,NA,Lithocardium acutifolium Kuntze,Heterotypic Synonym,Cordia acutifolia Fresen.,Revis. Gen. Pl. 2: 976 (1891),NA,NA,NA,NA,NA,141532-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:141532-2,POWO,1891,NA
Boraginaceae,Gerascanthus,NA,Gerascanthus_acutifolius,NA,Gerascanthus acutifolius (Fresen.) Borhidi,Homotypic Synonym,Cordia acutifolia Fresen.,Acta Bot. Hung. 34: 398 (1988),NA,NA,NA,NA,NA,946274-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:946274-1,POWO,1988,NA
Boraginaceae,Cordia,affinis,Cordia_affinis,Fresen.,Cordia affinis Fresen.,Unknown,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 8(1): 22 (1857)",FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,113938-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:113938-1,POWO,1857,taxon_novo
Boraginaceae,Lithocardium,NA,Lithocardium_affine,NA,Lithocardium affine Kuntze,Heterotypic Synonym,Cordia affinis Fresen.,Revis. Gen. Pl. 2: 976 (1891),NA,NA,NA,NA,NA,141534-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:141534-2,POWO,1891,NA
Boraginaceae,Cordia,alliodora,Cordia_alliodora,(Ruiz & Pav.) Oken,Cordia alliodora (Ruiz & Pav.) Oken,Unknown,NA,Allg. Naturgesch. 3(2): 1098 (1841),FALSE,"Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Leeward Is., Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Southwest Caribbean, Suriname, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.","Argentina Northwest, Belize, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Leeward Is., Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Southwest Caribbean, Suriname, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.","Galapagos, Indonesia, Malaysia, Mauritius, Papua New Guinea, Solomon Islands, Seychelles, United States, Vanuatu","Borneo, Galapagos, Hawaii, Mauritius, Seychelles, Solomon Is., Vanuatu",113943-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:113943-1,POWO,1841,comb_nova
Boraginaceae,Solanum,NA,Solanum_mucronatum,NA,Solanum mucronatum O.E.Schulz,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Symb. Antill. 6: 191 (1909),NA,NA,NA,NA,NA,239316-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:239316-2,POWO,1909,NA
Boraginaceae,Varronia,NA,Varronia_tuberosa,NA,Varronia tuberosa Sessé & Moc.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"Naturaleza (Mexico City), ser. 2, 1(App.): 30 (1888)",NA,NA,NA,NA,NA,262685-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:262685-2,POWO,1888,NA
Boraginaceae,Varronia,NA,Varronia_rusbyi,NA,Varronia rusbyi (Britton ex Rusby) Borhidi,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Acta Bot. Hung. 34: 387 (1988),NA,NA,NA,NA,NA,286750-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:286750-2,POWO,1988,NA
Boraginaceae,Lithocardium,NA,Lithocardium_hartwigsiana,NA,Lithocardium hartwigsiana Kuntze,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Revis. Gen. Pl. 2: 976 (1891),NA,NA,NA,NA,NA,141614-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:141614-2,POWO,1891,NA
Boraginaceae,Lithocardium,NA,Lithocardium_cujabense,NA,Lithocardium cujabense (Silva Manso & Lhotzky ex Cham.) Kuntze,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Revis. Gen. Pl. 2: 976 (1891),NA,NA,NA,NA,NA,141572-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:141572-2,POWO,1891,NA
Boraginaceae,Gerascanthus,NA,Gerascanthus_velutinus,NA,Gerascanthus velutinus Fresen.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 8(1): 5 (1857)",NA,NA,NA,NA,NA,116485-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:116485-1,POWO,1857,NA
Boraginaceae,Gerascanthus,NA,Gerascanthus_cujabensis,NA,Gerascanthus cujabensis (Silva Manso & Lhotzky ex Cham.) Borhidi,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Acta Bot. Hung. 34: 396 (1988),NA,NA,NA,NA,NA,946245-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:946245-1,POWO,1988,NA
Boraginaceae,Cordia,NA,Cordia_velutina,NA,Cordia velutina Mart.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Herb. Fl. Bras.: 268 (1841),NA,NA,NA,NA,NA,114641-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:114641-1,POWO,1841,NA
Boraginaceae,Cordia,NA,Cordia_rusbyi,NA,Cordia rusbyi Britton,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Mem. Torrey Bot. Club 6: 83 (1896),NA,NA,NA,NA,NA,275039-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:275039-2,POWO,1896,NA
Boraginaceae,Cordia,NA,Cordia_hartwissiana,NA,Cordia hartwissiana Regel,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Gartenflora 6: 342 (1857),NA,NA,NA,NA,NA,114213-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:114213-1,POWO,1857,NA
Boraginaceae,Cordia,NA,Cordia_goudotii,NA,Cordia goudotii Chodat,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"Bull. Soc. Bot. Genève, sér. 2, 12: 215 (1920 publ. 1921)",NA,NA,NA,NA,NA,65340-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65340-2,POWO,1921,NA
Boraginaceae,Cordia,NA,Cordia_gerascanthus var. subcanescens,NA,Cordia gerascanthus var. subcanescens A.DC.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"A.P.de Candolle, Prodr. 9: 472 (1845)",NA,NA,NA,NA,NA,65325-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65325-2,POWO,1845,NA
Boraginaceae,Cordia,NA,Cordia_gerascanthus f. martinicensis,NA,Cordia gerascanthus f. martinicensis Chodat,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"Bull. Soc. Bot. Genève, sér. 2, 12: 210 (1920 publ. 1921)",NA,NA,NA,NA,NA,65323-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65323-2,POWO,1921,NA
Boraginaceae,Cordia,NA,Cordia_cujabensis,NA,Cordia cujabensis Silva Manso & Lhotzky ex Cham.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,Linnaea 8: 12 (1833),NA,NA,NA,NA,NA,65276-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65276-2,POWO,1833,NA
Boraginaceae,Cordia,NA,Cordia_chamissoniana var. complicata,NA,Cordia chamissoniana var. complicata Chodat,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"Bull. Soc. Bot. Genève, sér. 2, 12: 215 (1920 publ. 1921)",NA,NA,NA,NA,NA,65244-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65244-2,POWO,1921,NA
Boraginaceae,Cordia,NA,Cordia_cerdana,NA,Cordia cerdana Roem. & Schult.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"Syst. Veg., ed. 15[bis]. 4: 467 (1819)",NA,NA,NA,NA,NA,114037-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:114037-1,POWO,1819,NA
Boraginaceae,Cordia,NA,Cordia_andina,NA,Cordia andina Chodat,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"Bull. Soc. Bot. Genève, sér. 2, 12: 211 (1920 publ. 1921)",NA,NA,NA,NA,NA,65187-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65187-2,POWO,1921,NA
Boraginaceae,Cordia,NA,Cordia_alliodora var. tomentosa,NA,Cordia alliodora var. tomentosa A.DC.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"A.P.de Candolle, Prodr. 9: 472 (1845)",NA,NA,NA,NA,NA,65183-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65183-2,POWO,1845,NA
Boraginaceae,Cordia,NA,Cordia_alliodora var. glabra,NA,Cordia alliodora var. glabra A.DC.,Heterotypic Synonym,Cordia alliodora (Ruiz & Pav.) Oken,"A.P.de Candolle, Prodr. 9: 472 (1845)",NA,NA,NA,NA,NA,65182-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:65182-2,POWO,1845,NA
