name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Blechnum bradei,Blechnaceae,Blechnum,bradei,Markgr.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 15: 214. 1940 ,Notizbl. Bot. Gart. Berlin-Dahlem,1940,15: 214,1019-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,33511-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=214&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/33511-2,IPNI,NA
Blechnum exiguum,Blechnaceae,Blechnum,exiguum,Dutra,tax_nov,spec.,Anais Reunião Sul-Amer. Bot. 2: 36. 1940 ,Anais Reunião Sul-Amer. Bot.,1940,2: 36,4693-2,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,33547-2,NA,NA,NA,www.ipni.org/n/33547-2,IPNI,NA
Blechnum itatiaiense,Blechnaceae,Blechnum,itatiaiense,Brade,tax_nov,spec.,"Arq. Inst. Biol. Veg. 1(3): 225, f.3, pl.4. 1935 [Aug 1935] ",Arq. Inst. Biol. Veg.,1935,"1(3): 225, f.3, pl.4",851-2,NA,NA,NA,NA,Brazil (Southern America),NA,33582-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=3&rft.spage=225&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Aug 1935,NA,www.ipni.org/n/33582-2,IPNI,NA
Blechnum macahense,Blechnaceae,Blechnum,macahense,Brade,tax_nov,spec.,"Anais Reunião Sul-Amer. Bot. 2: 6, t.3. 1940 ",Anais Reunião Sul-Amer. Bot.,1940,"2: 6, t.3",4693-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,33610-2,NA,NA,NA,www.ipni.org/n/33610-2,IPNI,NA
Blechnum mexiae,Blechnaceae,Blechnum,mexiae,Copel.,tax_nov,spec.,"Univ. Calif. Publ. Bot. 17: 32, t.7. 1932 ",Univ. Calif. Publ. Bot.,1932,"17: 32, t.7",1087-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,33621-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=32&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/4268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/33621-2,IPNI,NA
Blechnum minutulum,Blechnaceae,Blechnum,minutulum,Christ in Schwacke,tax_nov,spec.,"Pl. Nov. Mineir. 2: 27. 1900 Bull. Herb. Boiss. ser. 2, 2: 552.  1902.  Brazil",Pl. Nov. Mineir.,1900,2: 27,11591-2,NA,NA,NA,NA,Brazil (Southern America),NA,33624-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=27&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/33624-2,IPNI,NA
Blechnum rosenstockii,Blechnaceae,Blechnum,rosenstockii,de la Sota,tax_nov,spec.,"Darwiniana 18: 254, t.5, 7a. 1973 ",Darwiniana,1973,"18: 254, t.5, 7a",900-2,holotype US,E.Rosenstock,315,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,33675-2,NA,NA,NA,www.ipni.org/n/33675-2,IPNI,NA
Blechnum simile,Blechnaceae,Blechnum,simile,Sehnem in Reitz,tax_nov,spec.,"Fl. Ilustr. Catarin. 1(fasc. Blec): 56, f.1. 1968 ",Fl. Ilustr. Catarin.,1968,"1(fasc. Blec): 56, f.1",2164-2,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,33693-2,NA,NA,NA,www.ipni.org/n/33693-2,IPNI,NA
Blechnum stierii,Blechnaceae,Blechnum,stierii,Rosenst.,tax_nov,spec.,Festschrift Albert von Bamberg 60. 1905 Einige neue Farne aus Sudbrasilien,Festschrift Albert von Bamberg,1905,60,17457-2,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,33705-2,NA,NA,NA,www.ipni.org/n/33705-2,IPNI,NA
Lomaria glaziovii,Blechnaceae,Lomaria,glaziovii,Christ,tax_nov,spec.,Annuaire Conserv. Jard. Bot. Genève 3: 42. 1899 ,Annuaire Conserv. Jard. Bot. Genève,1899,3: 42,1145-2,NA,NA,NA,NA,Brazil (Southern America),NA,142973-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1899&rft.spage=42&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/142973-2,IPNI,NA
