name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Alsophila cipoensis,Cyatheaceae,Alsophila,cipoensis,Sehnem in Reitz,tax_nov,spec.,Fl. Ilustr. Catarin. fasc. CIAT: 96 (-98). 1978 ,Fl. Ilustr. Catarin.,1978,fasc. CIAT: 96 (-98),2164-2,holotype ASSL,G.Hatschbach,29880,NA,Brazil (Southern America),NA,9939-2,NA,NA,NA,www.ipni.org/n/9939-2,IPNI,NA
Alsophila killipii,Cyatheaceae,Alsophila,killipii,Maxon,tax_nov,spec.,Amer. Fern J. 32: 58. 1942 ,Amer. Fern J.,1942,32: 58,1714-2,NA,NA,NA,NA,Peru (Loreto) &amp; Brazil. (Amazonas).,NA,10015-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=58&rft.volume=32&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/10015-2,IPNI,NA
Alsophila polyphlebia,Cyatheaceae,Alsophila,polyphlebia,Domin,tax_nov,spec.,Bull. Misc. Inform. Kew 1929(7): 218. [28 Aug 1929] ,Bull. Misc. Inform. Kew,1929,1929(7): 218,4940-2,NA,NA,NA,NA,Brazil (Southern America),NA,10081-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.issue=7&rft.spage=218&rft.volume=1929&rft_id=http://www.biodiversitylibrary.org/bibliography/62170&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,28 Aug 1929,NA,www.ipni.org/n/10081-2,IPNI,NA
Alsophila submarginalis,Cyatheaceae,Alsophila,submarginalis,Domin,tax_nov,spec.,Bull. Misc. Inform. Kew 1929(7): 217. [28 Aug 1929] ,Bull. Misc. Inform. Kew,1929,1929(7): 217,4940-2,NA,NA,NA,NA,Brazil (Southern America),NA,10126-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.issue=7&rft.spage=217&rft.volume=1929&rft_id=http://www.biodiversitylibrary.org/bibliography/62170&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,28 Aug 1929,NA,www.ipni.org/n/10126-2,IPNI,NA
Alsophila ulei,Cyatheaceae,Alsophila,ulei,Christ,tax_nov,spec.,Hedwigia 44: 367. 1905 ,Hedwigia,1905,44: 367,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,10141-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=367&rft.volume=44&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/10141-2,IPNI,NA
Cyathea abbreviata,Cyatheaceae,Cyathea,abbreviata,I.Fern.,tax_nov,spec.,"Bradea 8(31): 193. 2000 , as 'abreviata'",Bradea,2000,8(31): 193,1276-2,NA,NA,NA,NA,Brazil Northeast (Pernambuco).,NA,17573980-1,NA,2000,NA,www.ipni.org/n/17573980-1,IPNI,NA
Cyathea chamaedendron,Cyatheaceae,Cyathea,chamaedendron,Copel.,tax_nov,spec.,"Univ. Calif. Publ. Bot. 17: 31, pl. 5. 1932 ",Univ. Calif. Publ. Bot.,1932,"17: 31, pl. 5",1087-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,73152-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=31&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/4268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/73152-2,IPNI,NA
Cyathea delgadoi,Cyatheaceae,Cyathea,delgadoi,Pohl,tax_nov,spec.,Vers. Fl. Vorwelt 1(Heft 4): 47. t. B. 1825 (as 'Delgadii'),Vers. Fl. Vorwelt,1825,1(Heft 4): 47. t. B,8642-2,NA,NA,NA,NA,"Goiás (Brazil, Southern America)","Habitat in Brasiliae Capitania Goyaz ad Gancho do Generale Delgado, in via ad Caldas novas",327594-2,NA,NA,"Pohl provided the name and description. Eponymy: Nomen specificum creatum in memoriam Illustris Ferdinandi Delgado Freire de Castilho, Gubernatori Generali Capitaniae Goyaz, discipulo Vandellii, Botanices studio semper addicto, expeditionis nostrae fautori munifico",www.ipni.org/n/327594-2,IPNI,NA
Cyathea denticulata,Cyatheaceae,Cyathea,denticulata,Goldm.,tax_nov,spec.,Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur. 19(Suppl. I): 466. 1843 ,Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.,1843,19(Suppl. I): 466,3178-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,17072460-1,NA,NA,NA,www.ipni.org/n/17072460-1,IPNI,NA
Cyathea grevilleana,Cyatheaceae,Cyathea,grevilleana,Mart.,tax_nov,spec.,Icon. Pl. Crypt. 78. 1834 ,Icon. Pl. Crypt.,1834,78,6585-2,holotype BR,R.K.Greville,1832,NA,Brazil (Southern America),NA,73220-2,NA,NA,NA,www.ipni.org/n/73220-2,IPNI,NA
Cyathea mamillata,Cyatheaceae,Cyathea,mamillata,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 176, t.63, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"1: 176, t.63, f.2",7203-2,null P?;isotype BR,P.Claussen,247,NA,Brazil (Southern America),NA,322595-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=176&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,[Gandhi 22 Mar 2002] Type collector & no. cited as Galeotti 247 in the protologue (an error; see Amer. Fern J. 91(4): 229. 2001),www.ipni.org/n/322595-2,IPNI,NA
Cyathea schenckii,Cyatheaceae,Cyathea,schenckii,Christ,tax_nov,spec.,Hedwigia 35: 155. 1896 ,Hedwigia,1896,35: 155,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,73378-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.spage=155&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/73378-2,IPNI,NA
Hemitelia maxonii,Cyatheaceae,Hemitelia,maxonii,Rosenst.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 21: 344. 1925 ,Repert. Spec. Nov. Regni Veg.,1925,21: 344,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,292427-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.spage=344&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/292427-2,IPNI,NA
Hemitelia traillii,Cyatheaceae,Hemitelia,traillii,Baker,tax_nov,spec.,Ann. Bot. (Oxford) 5(2): 188. 1891 [Apr 1891] ,Ann. Bot. (Oxford),1891,5(2): 188,1756-2,NA,NA,NA,NA,Brazil (Southern America),NA,120188-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.issue=2&rft.spage=188&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Apr 1891,NA,www.ipni.org/n/120188-2,IPNI,NA
Cyathea flexuosa,Cyatheaceae,Cyathea,flexuosa,(Fée) Domin,NA,Species,Pteridophyta: 262 (1929),NA,1929,NA,NA,NA,NA,NA,NA,NA,NA,73206-2,NA,NA,NA,https://powo.science.kew.org/taxon/73206-2,POWO,NA
Cyathea aurea,Cyatheaceae,Cyathea,aurea,Klotzsch ex H.Karst.,NA,Species,Linnaea 28: 460 (1857),NA,1857,NA,NA,NA,NA,NA,NA,NA,NA,17071920-1,NA,NA,NA,https://powo.science.kew.org/taxon/17071920-1,POWO,NA
Gymnosphaera polypodioides,Cyatheaceae,Gymnosphaera,polypodioides,(Sw.) ined.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3311027-4,NA,NA,NA,https://powo.science.kew.org/taxon/3311027-4,POWO,NA
Cyathea subincisa,Cyatheaceae,Cyathea,subincisa,Domin,NA,Species,Pteridophyta: 264 (1929),NA,1929,NA,NA,NA,NA,NA,NA,NA,NA,73401-2,NA,NA,NA,https://powo.science.kew.org/taxon/73401-2,POWO,NA
Gymnosphaera salvinii,Cyatheaceae,Gymnosphaera,salvinii,(Hook.) S.Y.Dong,NA,Species,Ann. Missouri Bot. Gard. 103: 18 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77187600-1,NA,NA,NA,https://powo.science.kew.org/taxon/77187600-1,POWO,NA
Plagiogyria pectinata,Cyatheaceae,Plagiogyria,pectinata,(Liebm.) Lellinger,NA,Species,Amer. Fern J. 61: 115 (1971),NA,1971,NA,NA,NA,NA,NA,NA,NA,NA,201151-2,NA,NA,NA,https://powo.science.kew.org/taxon/201151-2,POWO,NA
