name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Aspidium basilare,Dryopteridaceae,Aspidium,basilare,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 135, t.43, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"1: 135, t.43, f.2",7203-2,NA,NA,NA,NA,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,17025420-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=135&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/17025420-1,IPNI,NA
Aspidium brachynevron,Dryopteridaceae,Aspidium,brachynevron,Fée,tax_nov,spec.,Crypt. Vasc. Bresil 1: 133. 1869 ,Crypt. Vasc. Bresil,1869,1: 133,7203-2,NA,NA,NA,NA,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,17025710-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=133&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/17025710-1,IPNI,NA
Aspidium caesarianum,Dryopteridaceae,Aspidium,caesarianum,Christ,tax_nov,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 20, pl. 3. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,"79: 20, pl. 3",610-2,NA,NA,NA,NA,Brazil (Southern America),NA,21513-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=20&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/21513-2,IPNI,NA
Aspidium glaziovii,Dryopteridaceae,Aspidium,glaziovii,Christ,tax_nov,spec.,Bull. Herb. Boissier (ser. 2) 2: 633. 1902 ,Bull. Herb. Boissier,1902,(ser. 2) 2: 633,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,21611-2,NA,NA,NA,www.ipni.org/n/21611-2,IPNI,NA
Aspidium hemiotis,Dryopteridaceae,Aspidium,hemiotis,Christ,tax_nov,spec.,Hedwigia 45: 191. 1906 ,Hedwigia,1906,45: 191,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,21626-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=191&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/21626-2,IPNI,NA
Aspidium huberi,Dryopteridaceae,Aspidium,huberi,Christ,tax_nov,spec.,Hedwigia 45: 192. 1906 ,Hedwigia,1906,45: 192,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,21629-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=192&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/21629-2,IPNI,NA
Aspidium macropus,Dryopteridaceae,Aspidium,macropus,Mett.,tax_nov,spec.,Fil. Lechl. 2: 20. 1859 ,Fil. Lechl.,1859,2: 20,7298-2,NA,NA,NA,NA,Brazil (Southern America),NA,21666-2,NA,NA,NA,www.ipni.org/n/21666-2,IPNI,NA
Aspidium paludosum,Dryopteridaceae,Aspidium,paludosum,Raddi,tax_nov,spec.,"Pl. Bras. Nov. Gen. 29, t. 1825 ",Pl. Bras. Nov. Gen.,1825,"29, t",11455-2,NA,NA,NA,NA,Brazil (Southern America),NA,21735-2,NA,NA,NA,www.ipni.org/n/21735-2,IPNI,NA
Aspidium purusense,Dryopteridaceae,Aspidium,purusense,Christ,tax_nov,spec.,Hedwigia 45: 192. 1906 ,Hedwigia,1906,45: 192,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,21779-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=192&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/21779-2,IPNI,NA
Aspidium quadrangulare,Dryopteridaceae,Aspidium,quadrangulare,Fée,tax_nov,spec.,Crypt. Vasc. Bresil 1: 145. 1869 ,Crypt. Vasc. Bresil,1869,1: 145,7203-2,null P,A.F.M.Glaziou,962,NA,"Rio de Janeiro (Brazil, Southern America)",NA,21782-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=145&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/21782-2,IPNI,NA
