name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Acrostichum acuminans,Pteridaceae,Acrostichum,acuminans,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 12, t.1, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"1: 12, t.1, f.2",7203-2,lectotype P 00249800;isolectotype P 00249801; 00249802;isolectotype BR,Glaziou,2438,22 May 1868,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",Serra de Nova Friburgo,17000660-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=12&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/17000660-1,IPNI,NA
Acrostichum curupirae,Pteridaceae,Acrostichum,curupirae,Lindm.,tax_nov,spec.,Hedwigia 43: 311. 1904 ,Hedwigia,1904,43: 311,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,3700-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=311&rft.volume=43&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/3700-2,IPNI,NA
Acrostichum gilleanum,Pteridaceae,Acrostichum,gilleanum,Glaz. ex Baker,tax_nov,spec.,J. Bot. 20: 310. 1882 (as 'Gillianum'),J. Bot.,1882,20: 310,678-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)","& Collection: 'Woods at Arasenahy ... gathered by M. Gille, Glaziou 13341'",17003190-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/8947110&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,.,www.ipni.org/n/17003190-1,IPNI,NA
Acrostichum pervium,Pteridaceae,Acrostichum,pervium,Lindm.,tax_nov,spec.,"Ark. Bot. 1: 254, pl.8, f.7. 1903 ",Ark. Bot.,1903,"1: 254, pl.8, f.7",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,3809-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.spage=254&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/3809-2,IPNI,NA
Litobrochia horizontalis,Pteridaceae,Litobrochia,horizontalis,Fée,tax_nov,spec.,Crypt. Vasc. Bresil 1: 48. 1869 ,Crypt. Vasc. Bresil,1869,1: 48,7203-2,NA,NA,NA,NA,Brazil (Southern America),NA,141859-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=48&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,"[Gandhi; Arbelaez, Fl. Colombia (1983+) 18: 50. 1996]",www.ipni.org/n/141859-2,IPNI,NA
Litobrochia sericea,Pteridaceae,Litobrochia,sericea,Fée,tax_nov,spec.,Crypt. Vasc. Bresil 1: 48. 1869 ,Crypt. Vasc. Bresil,1869,1: 48,7203-2,lectotype P;isotype K;isotype SPF(PHOTO) (PHOTO),A.F.M.Glaziou,2312,NA,"Rio de Janeiro (Brazil, Southern America)",NA,301783-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=48&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/301783-2,IPNI,NA
Pteris gaudichaudii,Pteridaceae,Pteris,gaudichaudii,J.Agardh,tax_nov,spec.,Recens. Spec. Pter. 42. 1839 ,Recens. Spec. Pter.,1839,42,11551-2,lectotype AWH,P.W.Lund,s.n.,NA,"Rio de Janeiro, Rio de Janeiro (Brazil, Southern America)",NA,313817-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1839&rft.spage=42&rft_id=http://www.biodiversitylibrary.org/bibliography/143613&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/313817-2,IPNI,NA
Pteris goeldii,Pteridaceae,Pteris,goeldii,Christ,tax_nov,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 37. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 37,610-2,NA,NA,NA,NA,Brazil (Southern America),NA,213886-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=37&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/213886-2,IPNI,NA
Pteris luderwaldtii,Pteridaceae,Pteris,luderwaldtii,Rosenst.,tax_nov,spec.,Hedwigia 56: 361. 1915 ,Hedwigia,1915,56: 361,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,213936-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=361&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/213936-2,IPNI,NA
Pteris paulistana,Pteridaceae,Pteris,paulistana,Rosenst.,tax_nov,spec.,Hedwigia 46: 89. 1906 ,Hedwigia,1906,46: 89,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,213958-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=89&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/213958-2,IPNI,NA
